osm_type,osm_id,name,name:be,name:ru
way,1091273138,8-я улица,,
way,682701062,Весенняя улица,,
way,601045842,Виноградная улица,,
way,601045831,Лесная улица,,
way,1091258694,Лесная улица,,
way,601108809,Молодежная улица,,
way,1086606695,Некоторые легковые авто проезжают.,,
way,601108815,Охотничья улица,,
way,601108812,Садовая улица,,
way,681392580,Татьянин переулок,,
way,300534266,Улица Лесная,,
way,601045833,Цветочная улица,,
way,1090923203,Цветочная улица,,
way,601045832,Центральная улица,,
way,601108817,Центральная улица,,
way,1008203161,Центральная улица,,
