osm_type,osm_id,name,name:be,name:ru
way,634904101,1-й проезд,1-ы праезд,
way,634904103,2-й проезд,2-і праезд,
way,681386692,3-й проезд,3-і праезд,
way,681386694,4-й проезд,4-ы праезд,
way,681386693,5-й проезд,5-ы праезд,
way,1091273138,8-я улица,8-я вуліца,
way,648832970,Абрикосовая улица,Абрыкосавая вуліца,
way,1099808919,Болотная улица,Балотная вуліца,
way,702464991,Весенняя улица,Вясенняя вуліца,
way,1101694058,Дачная улица,Дачная вуліца,
way,1101694059,Дачная улица,Дачная вуліца,
way,555437440,Молодежная улица,Маладзежная вуліца,
way,648832978,Молодежная улица,Маладзёжная вуліца,
way,648832982,Молодежная улица,Маладзёжная вуліца,
way,648832985,Молодежная улица,Маладзёжная вуліца,
way,226507948,Пионерская улица,Піянерская вуліца,
way,649571373,Полевая улица,Палявая вуліца,
way,648832975,Сиреневая улица,Бэзавая вуліца,
way,648832976,Сиреневая улица,Бэзавая вуліца,
way,649569090,Сосновая улица,Сасновая вуліца,
way,226507969,улица Трутько,вуліца Труцько,
