osm_type,osm_id,name,name:be,name:ru
way,1010936648,Скидельское шоссе,Скідзельская шаша,Скидельское шоссе
way,1014431443,Скидельское шоссе,Скідзельская шаша,Скидельское шоссе
way,1014431446,Скидельское шоссе,Скідзельская шаша,Скидельское шоссе
way,1042605520,Скидельское шоссе,Скідзельская шаша,Скидельское шоссе
way,228882374,Совхозная улица,Саўгасная вуліца,Совхозная улица
node,4593241590,Улица Тарусичская,Вуліца Тарусіцкая,Улица Тарусичская
way,146568466,проспект Космонавтов,праспект Касманаўтаў,проспект Космонавтов
way,717460289,проспект Космонавтов,праспект Касманаўтаў,проспект Космонавтов
way,1102161849,проспект Космонавтов,праспект Касманаўтаў,проспект Космонавтов
way,1102384590,проспект Космонавтов,праспект Касманаўтаў,проспект Космонавтов
way,766881529,улица Девятовка,вуліца Дзевятоўка,улица Девятовка
way,1088156787,улица Девятовка,вуліца Дзевятоўка,улица Девятовка
way,29160957,улица Карского,вуліца Карскага,улица Карского
way,41418938,улица Карского,вуліца Карскага,улица Карского
way,1106916528,улица Карского,вуліца Карскага,улица Карского
way,1098325791,улица Некрасова,вуліца Някрасава,улица Некрасова
