osm_type,osm_id,name,name:be,name:ru
way,205022173,"""Бабушкина крынка""","""Бабулін гладыш""","""Бабушкина крынка"""
way,211119059,"""Водстрой""","""Водбуд""","""Водстрой"""
way,25393476,"""Мингаз""","""Мінгаз""","""Мингаз"""
way,40127897,"""Тракторсервис""","""Трактарсэрвіс""","""Тракторсервис"""
way,442184284,(Бобруйские электрические сети) ТП,(Бабруйскія электрычныя сеткі) ТП,(Бобруйские электрические сети) ТП
way,102824841,14-е депо,14-е дэпо,14-е депо
way,265408918,140-ой ремонтный завод,140-ы рамонтны завод,140-ой ремонтный завод
way,265601855,2-ая площадка Автогидроусилителя,2-ая пляцоўка Аўтагідраўзмацняльніка,2-ая площадка Автогидроусилителя
way,205216012,2-й цех,2-і цэх,2-й цех
way,25322646,4-й РЭС филиала Минские кабельные сети,4-ы РЭС філіяла Мінскія кабельныя сеткі,4-й РЭС филиала Минские кабельные сети
way,25322644,5-й РЭС филиала Минские кабельные сети,5-ы РЭС філіяла Мінскія кабельныя сеткі,5-й РЭС филиала Минские кабельные сети
way,25322609,6-й РЭС филиала Минские кабельные сети,6-ы РЭС філіяла Мінскія кабельныя сеткі,6-й РЭС филиала Минские кабельные сети
way,475377971,"OOO ""ОрбитаПрофит""","ТАА ""АрбітаПрофіт""","OOO ""ОрбитаПрофит"""
node,5767826296,АБК Газокомпрессорной станции,АБК Газакампрэсарнай станцыі,АБК Газокомпрессорной станции
way,288613220,АБК Октябрьский РГС,АБК Кастрычніцкі РГС,АБК Октябрьский РГС
way,279287740,АБК РУДНИК,АБК РУДНІК,АБК РУДНИК
way,279287148,АБК СОФ,АБК САФ,АБК СОФ
way,508439754,АДАНИ Технолоджис,АДАНІ Тэхналоджыс,АДАНИ Технолоджис
way,564740370,"АТС ""Киселевичи"" Белтелеком","АТС ""Кісялевічы"" Белтэлекам","АТС ""Киселевичи"" Белтелеком"
way,904458872,Автодворик,Аўтадворык,Автодворик
way,289263158,Автолюкс,Аўталюкс,Автолюкс
