osm_type,osm_id,name,name:be,name:ru
way,287691238,АВМ,,АВМ
way,204105082,Автопарк №21,,Автопарк №21
way,1015415031,Артезианская скважина №3,,Артезианская скважина №3
way,459028609,База КУП «Гомельское областное управление капитального строительства»,,База КУП «Гомельское областное управление капитального строительства»
way,370340205,"База производственного обслуживания ГП ""НПЦ по геологии"" Мозырская Нефтеразведочная экспедиция глубокого бурения",,"База производственного обслуживания ГП ""НПЦ по геологии"" Мозырская Нефтеразведочная экспедиция глубокого бурения"
way,205163755,Башня Шуховская,,Башня Шуховская
way,444438655,Белшина,,Белшина
way,239663831,Березовская ГРЭС,,Березовская ГРЭС
way,104384398,БигСервисОйл,,БигСервисОйл
way,377576008,Блочно-модульная котельная,,Блочно-модульная котельная
way,343026590,Брест-Западная,,Брест-Западная
relation,3282790,"Бумажная Фабрика ""Герой Труда""",,"Бумажная Фабрика ""Герой Труда"""
way,260425759,Бывшая насосная станция,,Бывшая насосная станция
way,517065841,Бювет,,Бювет
way,29127267,ВИАЛИ-спецтранс,,ВИАЛИ-спецтранс
way,368720843,ВХКС,,ВХКС
way,205491797,ВитГран,,ВитГран
way,459085167,"Водозабор ""Коренёвский""",,"Водозабор ""Коренёвский"""
way,458831400,Водозабор Северный,,Водозабор Северный
way,283094558,Водозабор юго-западный,,Водозабор юго-западный
way,1044159698,Водозабор № 6,,Водозабор № 6
way,1044159693,Водозабор № 7,,Водозабор № 7
way,307486249,Водяная Мельница 19в.,,Водяная Мельница 19в.
way,242566124,Водяная мельница 1930-е гг,,Водяная мельница 1930-е гг
way,29126310,ВудИнвестТрейдинг,,ВудИнвестТрейдинг
way,267253709,ГАЗ,,ГАЗ
way,29126505,ГКНС Дубль,,ГКНС Дубль
way,269759088,"ГП ""Белоруснефть-Промсервис""",,"ГП ""Белоруснефть-Промсервис"""
way,252799887,ГРП,,ГРП
way,904387196,ГРП,,ГРП
way,579530452,ГРП №43,,ГРП №43
way,267253662,ГРС,,ГРС
way,368157968,ГРС-3,,ГРС-3
way,234410437,Главная дорога,,Главная дорога
way,172568427,Главный корпус,,Главный корпус
way,693965725,Главный корпус,,Главный корпус
way,449050213,"Гомельэнергоспецремонт филиал РУП ""Гомельэнерго""",,"Гомельэнергоспецремонт филиал РУП ""Гомельэнерго"""
way,135322566,Грануляция,,Грануляция
way,29126967,ГродноБурВод,,ГродноБурВод
way,29126326,Гроднокинотехпром,,Гроднокинотехпром
way,29128862,Гродфуд,,Гродфуд
way,287489483,ДКПУП “Экопластсервис”,,ДКПУП “Экопластсервис”
way,459049154,"ДСУ-44 ""Дорожно-строительный трест №2, г. Гомель""",,"ДСУ-44 ""Дорожно-строительный трест №2, г. Гомель"""
way,275516453,ДЭУ-35,,ДЭУ-35
relation,3713997,Давид-Городокский электромеханический завод,,Давид-Городокский электромеханический завод
way,386566248,Дизель-генератор,,Дизель-генератор
way,245497291,Добрыня,,Добрыня
way,368720880,Дымовая труба,,Дымовая труба
way,368720881,Дымовая труба,,Дымовая труба
way,242860173,"ЗАО ""Белакта""",,"ЗАО ""Белакта"""
way,205043440,ЗМШ,,ЗМШ
way,29126311,ЗОВ-Стоун,,ЗОВ-Стоун
way,27898645,Завод дренажных труб,,Завод дренажных труб
way,448932629,Завод по производству бутилированной воды,,Завод по производству бутилированной воды
way,671311949,Здание релейных панелей 330 кВ,,Здание релейных панелей 330 кВ
way,325368127,ИП Коледа Е.Л.,,ИП Коледа Е.Л.
way,377997722,Изоком Пласт,,Изоком Пласт
way,169413396,Имельда,,Имельда
way,431464325,"КДУП ""Леспаркхоз""",,"КДУП ""Леспаркхоз"""
way,428539114,"КЖРЭУП ""Центральное""",,"КЖРЭУП ""Центральное"""
way,242254604,"КЖУП ""Мозырский райжилкомхоз""",,"КЖУП ""Мозырский райжилкомхоз"""
way,301483035,КН Котельная,,КН Котельная
way,467741844,КНС Северная,,КНС Северная
way,29129108,КНС Учхоз,,КНС Учхоз
way,333939659,КНС-13,,КНС-13
way,29125721,КНС-6,,КНС-6
way,525633947,КНС-Фолюш,,КНС-Фолюш
way,34128659,КНС-Форты,,КНС-Форты
way,29126630,КТП,,КТП
way,369648119,"КУП ""Язненское предприятие мелиоративных систем""",,"КУП ""Язненское предприятие мелиоративных систем"""
way,449054213,КУП «Гомельский городской дорожный строительно-ремонтный трест»,,КУП «Гомельский городской дорожный строительно-ремонтный трест»
way,46735871,Кислородная,,Кислородная
way,214093031,Кобринский хлебозавод,,Кобринский хлебозавод
way,242561712,Колбасный цех,,Колбасный цех
way,302626519,Колбасный цех,,Колбасный цех
way,670746459,Колбасный цех,,Колбасный цех
way,243539479,Комбикормовый цех,,Комбикормовый цех
way,323005285,"Комбинат пищевых продуктов ""Полесье""",,"Комбинат пищевых продуктов ""Полесье"""
way,29126186,Конденсаторная,,Конденсаторная
way,254330809,Консервный цех,,Консервный цех
way,254330810,Консервный цех,,Консервный цех
way,335618554,Корпус Бровара с Хозпостройкой начала 20в.,,Корпус Бровара с Хозпостройкой начала 20в.
way,322078726,"Котельная ""Гезгалы""",,"Котельная ""Гезгалы"""
way,164449747,"Котельная ""Центральная""",,"Котельная ""Центральная"""
way,232789956,Котельная - больницы,,Котельная - больницы
way,223413361,Котельная - маслозавода,,Котельная - маслозавода
way,210195036,Котельная ЖКХ МАЗОЛОВО,,Котельная ЖКХ МАЗОЛОВО
way,305842708,Котельная СШ№2,,Котельная СШ№2
way,245994980,Котельная газ-мазут,,Котельная газ-мазут
way,218587491,Котельная льнозавода,,Котельная льнозавода
way,245994987,Котельная на опилках,,Котельная на опилках
way,492660996,Котельная улица,,Котельная улица
way,78326731,Котельная №1,,Котельная №1
way,581213071,Котельная №8,,Котельная №8
way,379782574,Крахмальный завод,,Крахмальный завод
way,273045672,ЛДД-432,,ЛДД-432
way,368720876,Лавсан,,Лавсан
way,499360753,Литейный цех,,Литейный цех
way,1026171180,Логистический центр БелВиллесден Ярково,,Логистический центр БелВиллесден Ярково
way,280436332,Лона,,Лона
way,238971790,Любанская Швейная фабрика,,Любанская Швейная фабрика
way,678750271,"Любчанский сыродельный цех ОАО ""Молочная компания Новогрудские Дары""",,"Любчанский сыродельный цех ОАО ""Молочная компания Новогрудские Дары"""
way,264071764,МПОВТ,,МПОВТ
way,216593809,Мастерская,,Мастерская
way,465479351,Мастерская,,Мастерская
way,29125504,Мастерские ЖЭС № 17,,Мастерские ЖЭС № 17
way,455092891,Мебельный цех,,Мебельный цех
way,126775759,Механизорованная колонна № 87,,Механизорованная колонна № 87
way,915029960,"Мини-ТЭЦ ""Барань""",,"Мини-ТЭЦ ""Барань"""
way,374564337,"МиниГЭС ""Комарово""",,"МиниГЭС ""Комарово"""
way,287038393,Миникотельная,,Миникотельная
way,134893008,Миорский РЭС,,Миорский РЭС
way,704523991,Миорский металлопрокатный завод,,Миорский металлопрокатный завод
way,242389129,Мозырские электрические сети,,Мозырские электрические сети
way,242268766,Мозырьводоканал,,Мозырьводоканал
way,155261077,Молоко ОАО Новолукомльский филиал,,Молоко ОАО Новолукомльский филиал
way,400184302,Молочный завод,,Молочный завод
way,25323526,НИИ Импульсных процессов,,НИИ Импульсных процессов
way,958375576,Навес,,Навес
way,671311950,Насосная станция здания турбины,,Насосная станция здания турбины
way,700941628,Насосная станция здания турбины,,Насосная станция здания турбины
way,671311940,Насосная станция масла и ДТ,,Насосная станция масла и ДТ
way,391697293,Насосная технической воды,,Насосная технической воды
way,239876169,Нефтеснабкомплект,,Нефтеснабкомплект
node,3340273452,ОАО  «Светлогорский машиностроительный завод»,,ОАО  «Светлогорский машиностроительный завод»
way,242265517,"ОАО ""Авторемонтный завод""",,"ОАО ""Авторемонтный завод"""
way,242265515,"ОАО ""Беларуськабель""",,"ОАО ""Беларуськабель"""
way,378288862,"ОАО ""ГОТТЦ ""Гарант""",,"ОАО ""ГОТТЦ ""Гарант"""
way,279072259,"ОАО ""Гомельский комбинат строительных конструкций""",,"ОАО ""Гомельский комбинат строительных конструкций"""
way,56401262,"ОАО ""Коминтерн""",,"ОАО ""Коминтерн"""
way,69139806,"ОАО ""Красносельскавтотранс""",,"ОАО ""Красносельскавтотранс"""
