osm_type,osm_id,name,name:be,name:ru
way,1303633059,"ООО ""ИнтСелПартс""",,"ООО ""ИнтСелПартс"""
way,1386674790,Овощехранилище,,Овощехранилище
way,698016193,"Склад ООО""Альфасад""",,"Склад ООО""Альфасад"""
way,1257155511,"Склад ООО""Кастом-Сервис""",,"Склад ООО""Кастом-Сервис"""
way,424125811,Склад минеральных удобрений,,Склад минеральных удобрений
way,1533351402,Склад минеральных удобрений,,Склад минеральных удобрений
way,1533351406,Склад минеральных удобрений,,Склад минеральных удобрений
way,252591081,Складской комплекс ТЛЦ-2,,Складской комплекс ТЛЦ-2
way,392714041,Склады Диском,,Склады Диском
way,939490951,Фруктохранилище,,Фруктохранилище
