osm_type,osm_id,name,name:be,name:ru
way,1233925254,"""Краснознаменский Комбикормовый Завод""",,
way,545723899,Асфальтобетонный завод,,
way,1155403191,Бывшая текстильная фабрика имени Н. К. Крупской,,
way,1254574180,"Группа задвижек нефтепровода ""Дружба"" 248 км",,
way,1270645234,Зона таможенного контроля,,
way,1254160035,Контрольная точка трубопровода,,
way,1235193995,"Контрольная точка трубопровода ""Дружба""",,
way,379558315,Нефтебаза,,
way,1235162962,"ОАО ""Пинскэлектромонтаж""",,
way,419453866,"ОАО ""СПМК-28""",,
way,1126249144,"ООО ""Астория""",,
way,1233813205,"ОСП ""Вино-водочный завод ""Колос""",,
way,1176630207,Пинский районный узел почтовой связи,,
way,1251966241,Произвлдствення база,,
way,1226723847,"Производственная база ГУПП ""Пинское ПМС""",,
way,1268160455,Производство монокристалического кремния,,
way,149585967,Склад Колодищи,,
way,1235162966,Специализированная передвижная механизированная колонна №35,,
way,362554401,Транспортный участок,,
way,1264711809,Транспортный участок,,
way,1264711810,Транспортный участок и ЛТУ Смолевического ЗУЭС,,
way,1268158778,Усадьба Молотковичского лесничества,,
way,419775877,Фабрика матрацев Пинскдрев,,
way,1131612969,"Цех деревобработки ООО ""ПетроПлавДрев""",,
