osm_type,osm_id,name,name:be,name:ru
node,2925261752,Армтек,Армтэк,Армтек
node,4023576814,Армтек,Армтэк,Армтек
node,4333580422,Армтек,Армтэк,Армтек
node,4620986851,Армтек,Армтэк,Армтек
node,4660227818,Армтек,Армтэк,Армтек
node,4665010207,Армтек,Армтэк,Армтек
node,5229101291,Армтек,Армтэк,Армтек
node,5390918341,Армтек,Армтэк,Армтек
node,5404271460,Армтек,Армтэк,Армтек
node,5659163050,Армтек,Армтэк,Армтек
node,5659163051,Армтек,Армтэк,Армтек
node,5659163052,Армтек,Армтэк,Армтек
node,5659163053,Армтек,Армтэк,Армтек
node,5659163054,Армтек,Армтэк,Армтек
node,5659163055,Армтек,Армтэк,Армтек
node,5659163056,Армтек,Армтэк,Армтек
node,5749083472,Армтек,Армтэк,Армтек
node,5749130201,Армтек,Армтэк,Армтек
node,5749137554,Армтек,Армтэк,Армтек
node,5749137555,Армтек,Армтэк,Армтек
node,5749139721,Армтек,Армтэк,Армтек
node,5749314624,Армтек,Армтэк,Армтек
node,5749426425,Армтек,Армтэк,Армтек
node,5749539606,Армтек,Армтэк,Армтек
node,5749616008,Армтек,Армтэк,Армтек
node,5749641402,Армтек,Армтэк,Армтек
node,5749641410,Армтек,Армтэк,Армтек
node,5749643155,Армтек,Армтэк,Армтек
node,5749718888,Армтек,Армтэк,Армтек
node,5749719966,Армтек,Армтэк,Армтек
node,5749719967,Армтек,Армтэк,Армтек
node,5749719969,Армтек,Армтэк,Армтек
node,5749721189,Армтек,Армтэк,Армтек
node,5749721348,Армтек,Армтэк,Армтек
node,5749722071,Армтек,Армтэк,Армтек
node,5749722838,Армтек,Армтэк,Армтек
node,5749722841,Армтек,Армтэк,Армтек
node,5749723107,Армтек,Армтэк,Армтек
node,5749726338,Армтек,Армтэк,Армтек
node,5749730569,Армтек,Армтэк,Армтек
node,5749731316,Армтек,Армтэк,Армтек
node,5749731654,Армтек,Армтэк,Армтек
node,5749737193,Армтек,Армтэк,Армтек
node,5749738436,Армтек,Армтэк,Армтек
node,5749738503,Армтек,Армтэк,Армтек
node,5749738504,Армтек,Армтэк,Армтек
node,5749738544,Армтек,Армтэк,Армтек
node,5749738953,Армтек,Армтэк,Армтек
node,5749739021,Армтек,Армтэк,Армтек
node,5749739022,Армтек,Армтэк,Армтек
node,5749739155,Армтек,Армтэк,Армтек
node,5749739182,Армтек,Армтэк,Армтек
node,5749739225,Армтек,Армтэк,Армтек
node,5749739252,Армтек,Армтэк,Армтек
node,5749739666,Армтек,Армтэк,Армтек
node,5749753618,Армтек,Армтэк,Армтек
node,5749754321,Армтек,Армтэк,Армтек
node,5749755255,Армтек,Армтэк,Армтек
node,5749758778,Армтек,Армтэк,Армтек
node,5749761318,Армтек,Армтэк,Армтек
node,5799284785,Армтек,Армтэк,Армтек
node,5887860365,Армтек,Армтэк,Армтек
way,580370947,Армтек,Армтэк,Армтек
way,161132438,Бакалея Гродно,Бакалея Гродна,Бакалея Гродно
