osm_type,osm_id,name,name:be,name:ru
way,616069432,Motorlаnd,,
way,1208362738,"КУМПП ""Пинское районное ЖКХ""",,
way,1211310307,Котельная,,
way,1206236251,Насосная станция,,
way,1208462996,Насосная станция,,
way,1208458471,Насосная станция 1 км южнее д. Стаховичи,,
way,1211641111,Площадка для хранения металлолома,,
way,1211641103,Площадка для хранения строительных материалов,,
way,90479487,Пункт приема вторичных материальных ресурсов,,
way,438406499,Пункт приема вторичных материальных ресурсов,,
way,1210417956,Скважина №25,,
way,1211641114,Склад горюче-смазочных материалов (ГСМ),,
way,1210241863,Учебная база ПГПК,,
way,1211929976,котельная,,
