osm_type,osm_id,name,name:be,name:ru
way,1235162966,«СПМК-35» ААТ «Пінсксаўгасбуд»,,Специализированная передвижная механизированная колонна №35
way,977025090,ААТ «Пінскрайаграсэрвіс»,,"ОАО ""Пинскрайагросервис"""
way,341759285,АгрыПА-Бел,,АгриПО-Бел
way,1268160455,Вытворчасьць монакрысталічнага крэмню,,Производство монокристалического кремния
way,224133158,Кацельня №2,,Котельная №2
way,1321596222,Падземнае сховішча паліва,,Подземное топливное хранилище
way,419453871,"Пінскі філіял №2 Брэсцкая вабасная база \""Бакалея\""""",,"Пинский филиал №2 Брестская областная база ""Бакалея"""
way,1001536480,"Станцыя ""Бераж""",,"Станция ""Береж"""
way,1270947255,Трубавы гідразатвор,,Трубопроводный гидрозатвор
way,1357773960,УМ-238 ААТ «Будаўніча-,,УМ-238 ОАО «Строительно-монтажный трест #27»
