osm_type,osm_id,name,name:be,name:ru
way,1068003100,Артезианская скважина и станция обезжелезивания,,
way,590576403,Артскважина,,
way,672452305,Артскважина№ 52102/06,,
node,4979396850,Брузгі (TIR),,
node,4979396851,Брузгі (TIR),,
node,4979396852,Брузгі (TIR),,
node,4979396853,Брузгі (TIR),,
node,4979435063,Брузгі (TIR),,
node,4979444398,Брузгі (TIR),,
node,2793868812,"Брузгі (≤3,5t)",,
node,2793868814,"Брузгі (≤3,5t)",,
node,2793868816,"Брузгі (≤3,5t)",,
node,2793868818,"Брузгі (≤3,5t)",,
node,2793868819,"Брузгі (≤3,5t)",,
node,2793868820,"Брузгі (≤3,5t)",,
node,4979396848,"Брузгі (≤3,5t)",,
node,4979396849,"Брузгі (≤3,5t)",,
node,4979451447,"Брузгі (≤3,5t)",,
way,46726468,ГСК Ударник,,
way,213213083,Ганцевичский гортоп,,
way,362793641,Дисненский участок электросетей,,
way,655430882,КФХ «Надежда-Лань»,,
way,1066586943,Кладбище д.Раховичи,,
node,9769889103,Ловушка короед-типограф,,
node,9769889104,Ловушка короед-типограф,,
way,566140913,"Насосная станция, скважина и станция обезжелезивания",,
way,663000086,Отделение Рясна ОАО Беловежский,,
way,48185900,Парковка TIR,,
way,1062300223,Скважина и канализационный коллектор,,
way,1076303836,Сфера,,
node,6774589192,"Центральный вход, парк животных Диприз",,
way,379851525,Ясли-сад № 44,,
