osm_type,osm_id,name,name:be,name:ru
way,396432769,"""Лясны гарадок""",,"""Лясны гарадок"""
way,396434698,"""Лясны гарадок""",,"""Лясны гарадок"""
way,1022677634,«Быховский психоневрологический дом-интернат для престарелых и инвалидов»,,«Быховский психоневрологический дом-интернат для престарелых и инвалидов»
way,477178447,"АЗС ""Славнефть"" АЗС № 4",,"АЗС ""Славнефть"" АЗС № 4"
way,98000282,"Автодром ""КГАТК""",,"Автодром ""КГАТК"""
way,96771530,Автолюбитель-2002,,Автолюбитель-2002
way,124087741,Автостоянка Райжилкомхоз (платная),,Автостоянка Райжилкомхоз (платная)
way,403438253,Артезианская скважина №13,,Артезианская скважина №13
way,403438252,Артезианская скважина №14,,Артезианская скважина №14
way,403438257,Артезианская скважина №3,,Артезианская скважина №3
way,403438256,Артезианская скважина №4,,Артезианская скважина №4
way,403438255,Артезианская скважина №5,,Артезианская скважина №5
way,403438254,Артезианская скважина №6,,Артезианская скважина №6
node,8690100977,"База отдыха ""Для Друзей""",,"База отдыха ""Для Друзей"""
way,542288928,"База отдыха ""Зеленый луг""",,"База отдыха ""Зеленый луг"""
way,542288929,"База отдыха ""Лесные дали""",,"База отдыха ""Лесные дали"""
way,587562898,База экологического туризма и отдыха трудящихся,,База экологического туризма и отдыха трудящихся
way,455022792,Бетонный забор,,Бетонный забор
way,442190133,Бобруйсктеплолюкс,,Бобруйсктеплолюкс
way,290891348,Братские могилки,,Братские могилки
way,288322589,Ворота усадьбы,,Ворота усадьбы
way,306351579,Воспитательная колония № 2,,Воспитательная колония № 2
node,1133979061,Вторые ворота,,Вторые ворота
node,7505710831,Въезд на кладбище,,Въезд на кладбище
way,282058482,ГЕУ №1,,ГЕУ №1
way,282058481,ГЕУ №2,,ГЕУ №2
way,282058479,ГЕУ №3,,ГЕУ №3
way,282058480,ГЕУ№4,,ГЕУ№4
node,9248064965,Главные ворота академии,,Главные ворота академии
node,1313850220,"Голубые озёра, национальный парк «Нарочанский»",,"Голубые озёра, национальный парк «Нарочанский»"
way,878888648,Гомсельмаш,,Гомсельмаш
way,542288927,"Гостинично-развлекательный комплекс ""Ранчо""",,"Гостинично-развлекательный комплекс ""Ранчо"""
way,689616652,"ДОЛ ""Солнечный круг""",,"ДОЛ ""Солнечный круг"""
way,367644773,ДРОЦ Романтика,,ДРОЦ Романтика
way,542285162,"Детский оздоровительный лагерь ""Салют""",,"Детский оздоровительный лагерь ""Салют"""
way,542285161,"Дома отдыха ""Алые паруса""",,"Дома отдыха ""Алые паруса"""
way,405189044,Женский ЛТП №2,,Женский ЛТП №2
way,331504367,ЗДТ,,ЗДТ
way,261810618,Забор ж.б,,Забор ж.б
way,444605751,Забор из сборных элементов,,Забор из сборных элементов
node,4932680248,"Знак ""Въезд и проход запрещен, зона радиоактивного загрязнения""",,"Знак ""Въезд и проход запрещен, зона радиоактивного загрязнения"""
node,7515151552,КПП Северный,,КПП Северный
node,7515151597,КПП Центральный,,КПП Центральный
node,5743341719,КПП Южный,,КПП Южный
node,4932653867,КПП преграничной зоны.,,КПП преграничной зоны.
node,3927604518,КПП рыбхоза,,КПП рыбхоза
way,912208264,Клецкий районный отдел по чрезвычвйным ситуациям,,Клецкий районный отдел по чрезвычвйным ситуациям
way,785366025,"Конный двор ""Пробег""",,"Конный двор ""Пробег"""
way,477766860,Кормянский льнозавод Речицкий участок,,Кормянский льнозавод Речицкий участок
way,291826899,ЛТП-3,,ЛТП-3
way,168866101,Ласточка,,Ласточка
way,377530172,МАКС АВТО,,МАКС АВТО
node,4398739255,МВД РБ БОДО,,МВД РБ БОДО
way,293568363,"Мемориальная усадьба ""Ласток""",,"Мемориальная усадьба ""Ласток"""
way,456112267,Метеоплощадка,,Метеоплощадка
way,359352028,Мой забор,,Мой забор
way,288322588,Ограда усадьбы,,Ограда усадьбы
way,552379599,"Оздоровительная база ""Олимпиец""",,"Оздоровительная база ""Олимпиец"""
way,25082305,"Оздоровительный лагерь ""Сказочная поляна""",,"Оздоровительный лагерь ""Сказочная поляна"""
way,168866099,Оздоровительный лагерь «Заря»,,Оздоровительный лагерь «Заря»
way,417829210,Октябрьский зоопарк,,Октябрьский зоопарк
way,276706494,Омега-люкс,,Омега-люкс
way,894639018,Отдел образования Быховского райисполкома,,Отдел образования Быховского райисполкома
way,376145556,"Официальная резиденция Президента Республики Беларусь ""Озерный""",,"Официальная резиденция Президента Республики Беларусь ""Озерный"""
way,1008205201,Очистные сооружения канализации г. Рогачева,,Очистные сооружения канализации г. Рогачева
way,442181231,ПО ЖКХ Бобруйская городская аварийно-диспетчерская служба,,ПО ЖКХ Бобруйская городская аварийно-диспетчерская служба
way,189833277,"ПТО 06650 ""Минск-Белтаможсервис-2""",,"ПТО 06650 ""Минск-Белтаможсервис-2"""
node,5115176592,Паддабранка (лакальны трафік),,Паддабранка (лакальны трафік)
way,612162778,"Пионерлагерь ""Луч""",,"Пионерлагерь ""Луч"""
way,542285160,"Пионерский лагерь ""Космос""",,"Пионерский лагерь ""Космос"""
way,509428395,"Питомник ""Карлуша""",,"Питомник ""Карлуша"""
way,128272279,Платная,,Платная
way,39674135,Платная стоянка автомобилей,,Платная стоянка автомобилей
node,3414558209,"Плохая почва, дальше не ехать!!!",,"Плохая почва, дальше не ехать!!!"
way,227664709,"Полигон ОАО ""БМЗ""",,"Полигон ОАО ""БМЗ"""
way,237353455,Поющий фонтан,,Поющий фонтан
node,306066869,"Проходная № 7 ОАО""Белшина""",,"Проходная № 7 ОАО""Белшина"""
node,420522494,Радиационный заповедник,,Радиационный заповедник
way,477766858,Речицаагрохимсервис,,Речицаагрохимсервис
way,354290342,"СП ""Ветинтерфарм""",,"СП ""Ветинтерфарм"""
way,375795717,Санаторий Подорожник,,Санаторий Подорожник
way,578837645,Санаторий Энергетик,,Санаторий Энергетик
