osm_type,osm_id,name,name:be,name:ru
way,538443154,10 Чех,,
way,97527903,23 Гож,,
way,106294965,25а Гож,,
way,97527910,26 Гож,,
way,374144544,БТС (ПНС),,
way,193976534,ГПК № 3,,
way,1084448877,Гардероб,,
way,334802972,КН ЦТП,,
way,180019513,КТК,,
way,1159256324,Котельная,,
way,1211641112,Кузнечный цех,,
way,309431552,ПАВ-42 Бм,,
way,62161291,СТО Peugeot Citroen,,
way,1204492318,ТП-1713,,
way,796376052,ТП-1718Н,,
way,1106266880,Трансформаторная подстанция №32,,
way,824659130,Хоз. блок Шале Greenwood,,
way,292852560,ШС,,
