osm_type,osm_id,name,name:be,name:ru
way,1057968356,Вспомогательное помещение,Дапаможнае памяшканне,
way,1057968353,Гальваника,Гальваніка,
way,1057968351,Заготовительный участок,Нарыхтоўчы ўчастак,
way,1057968357,Ремонтная зона,Рамонтная зона,
way,1027334347,Склад металлопрокатов и готовых изделий,Склад металапракатаў і гатовых вырабаў,
way,27900314,Теплопункт,Цеплапункт,
way,41098886,Теплопункт,Цеплапункт,
way,154652002,Теплопункт,Цеплапункт,
way,325513110,Тренировочный центр,Трэніровачны цэнтр,
way,1057968352,Участок полимерных покрытий,Участак палімерных пакрыццяў,
way,130637610,ЦТП №719,ЦЦП №719,
