osm_type,osm_id,name,name:be,name:ru
way,325145784,ГРП-14,,ГРП-14
way,399931722,ЗТК СП «КамСил»,,ЗТК СП «КамСил»
node,11008721582,Неринга,,Неринга
way,219497256,ПГРП-2,,ПГРП-2
way,277829888,РП-70,,РП-70
way,1188419825,Склад ОГМ,,Склад ОГМ
way,1188419826,Склад СГМ,,Склад СГМ
way,333809378,ТП КН,,ТП КН
way,346293826,ТП-367 Семена Трав,,ТП-367 Семена Трав
way,443448049,ТП-413,,ТП-413
way,205443783,ТП-6,,ТП-6
way,399931611,Холодильник,,Холодильник
way,216593817,ЦТП,,ЦТП
way,1276722915,ЦТП-43,,ЦТП-43
