osm_type,osm_id,name,name:be,name:ru
node,2948307250,"""Бочка""",,"""Бочка"""
node,5270296042,"""Сантехдеталь""",,"""Сантехдеталь"""
node,9248497403,"'ЗИОН"" металлические входные двери.",,"'ЗИОН"" металлические входные двери."
node,5799726210,(не функционирует) Городищанский-2,,(не функционирует) Городищанский-2
way,320840205,1-й равелин,,1-й равелин
way,514474502,1-й равелин,,1-й равелин
way,891246330,2 люнет Западного острова,,2 люнет Западного острова
way,320591022,2-й равелин,,2-й равелин
node,1236993966,"23/2740 Береза, Ленина, 61, ресторан ""Береза""",,"23/2740 Береза, Ленина, 61, ресторан ""Береза"""
way,891246332,3 люнет Западного острова,,3 люнет Западного острова
way,320586120,3-й равелин,,3-й равелин
way,891246331,4 люнет западного острова,,4 люнет западного острова
way,320235342,4 равелин,,4 равелин
node,499556233,4РУ,,4РУ
way,320511537,V бастион,,V бастион
way,320236696,VI бастион,,VI бастион
way,320244272,VII бастион,,VII бастион
way,320309915,VIII бастион,,VIII бастион
node,9248612121,"АБЗ ""Волма""",,"АБЗ ""Волма"""
way,253619778,АРТ СКВАЖИНА,,АРТ СКВАЖИНА
way,362437032,Автомобильная эстакада,,Автомобильная эстакада
node,6452227328,Агрометеорологическая станция,,Агрометеорологическая станция
way,192941616,Агрометеостанция Волковыск,,Агрометеостанция Волковыск
node,5398395008,Аистиное гнездо,,Аистиное гнездо
node,5638384501,Аистиное гнездо,,Аистиное гнездо
node,3804832621,Амалиенгоф,,Амалиенгоф
node,7845201780,АмантисМед,,АмантисМед
way,510767311,Аминаинтернейшнл СООО,,Аминаинтернейшнл СООО
node,5022634828,Амкодор Белвар,,Амкодор Белвар
node,5324410445,Арт скважина №1,,Арт скважина №1
node,5324410440,Арт скважина №2,,Арт скважина №2
node,4966377719,Арт. скважина №3,,Арт. скважина №3
way,403438253,Артезианская скважина №13,,Артезианская скважина №13
way,403438252,Артезианская скважина №14,,Артезианская скважина №14
way,403438257,Артезианская скважина №3,,Артезианская скважина №3
way,403438256,Артезианская скважина №4,,Артезианская скважина №4
way,403438255,Артезианская скважина №5,,Артезианская скважина №5
way,403438254,Артезианская скважина №6,,Артезианская скважина №6
way,492045600,Артскважина,,Артскважина
node,8325403313,Артскважина №4 Водозабор №3,,Артскважина №4 Водозабор №3
node,847188230,Артскважина №5,,Артскважина №5
node,8330812758,Артскважина №7,,Артскважина №7
node,4371688790,БЗПИ,,БЗПИ
node,5759279117,БРИЗ Завода,,БРИЗ Завода
node,5647977271,БС-340,,БС-340
