osm_type,osm_id,name,name:be,name:ru
node,11710802943,"61,1 км магистрального трубопровода",,
way,398125279,ГРП №58,,
way,322187242,ГРП №6,,
way,454205262,ГРП-5,,
node,11630622628,Газораспределительный пункт,,
node,11438835249,Газораспределительный пункт №7,,
node,11891412782,Доставка газа в город,,
way,1244888831,Емкостная установка сжиженого газа,,
way,204528951,КНС,,
way,1277611551,КНС,,
way,1276748372,КНС-1,,
way,1280131890,КНС-10,,
way,1279617351,КНС-11,,
way,443259982,КНС-12,,
way,1279618567,КНС-13,,
way,1279619060,КНС-14,,
way,1279619498,КНС-15,,
way,205594363,КНС-2,,
way,1277750402,КНС-2а,,
way,204093834,КНС-3,,
way,1279613382,КНС-4,,
way,1279614396,КНС-5,,
way,204530093,КНС-6,,
way,204511764,КНС-7,,
way,1276720413,КНС-8,,
way,443259834,КНС-8а,,
way,204633866,КНС-9,,
node,11543354815,Контрольная точка трубопровода,,
node,11710802936,Контрольно-измерительный прибор №374,,
way,337575201,Котельная 5-РКТ-1,,
node,11778375506,Отбор давления КП 248,,
way,256535860,ПНС,,
way,306205365,ПНС,,
way,316505606,ПНС,,
way,1121110237,ПНС,,
way,1277613974,ПНС,,
way,1279698834,ПНС,,
way,56700813,ПНС-2,,
way,70678958,ПНС-3,,
node,11655999757,Пинская газораспределительная станция,,
way,1271254513,Промежуточный газораспределительный пункт,,
node,11050700004,Промежуточный газораспределительный пункт №7 д. Пинсковичи,,
node,10782244376,Промежуточный газораспределительный пункт №9 п. Садовый,,
node,11659779684,Промежуточный газорегуляторный пункт природного газа №5,,
way,87608406,ТП-214 / ЦТП 2-3,,
way,996214041,ТП-215 / ЦТП 2-4,,
node,11494439316,Тепловой пункт №1,,
node,11494439317,Тепловой пункт №2,,
way,1270661036,Теплопункт,,
node,11515838030,Теплоузел,,
node,11515838032,Теплоузел,,
node,11515838033,Теплоузел,,
node,11515838039,Теплоузел,,
way,996591454,ЦТП 2-2 / ТП-232,,
way,1052729297,ЦТП 2-32 / ТП-144,,
way,306344936,ЦТП-1,,
way,837415500,ЦТП-1-9,,
way,1276529663,ЦТП-10,,
way,1277613975,ЦТП-103,,
way,548018122,ЦТП-11,,
way,57728831,ЦТП-111,,
way,1279609387,ЦТП-116,,
way,57728814,ЦТП-119,,
way,443337079,ЦТП-120,,
way,306351578,ЦТП-121,,
way,71249734,ЦТП-124,,
way,1279706542,ЦТП-126,,
way,204647348,ЦТП-127,,
way,57056766,ЦТП-130,,
way,57056579,ЦТП-131,,
way,204213262,ЦТП-132,,
way,566015486,ЦТП-133,,
way,1279609910,ЦТП-134,,
way,1279611281,ЦТП-135,,
way,442251261,ЦТП-136,,
way,1277755091,ЦТП-137,,
way,1276530059,ЦТП-14,,
way,1276718619,ЦТП-16,,
way,1276535937,ЦТП-18,,
way,1276362016,ЦТП-2,,
way,102279396,ЦТП-2-24 / ТП-521,,
way,1276736143,ЦТП-25,,
way,1276736702,ЦТП-26,,
way,205594169,ЦТП-27,,
way,173729001,ЦТП-28,,
way,1276363719,ЦТП-3,,
way,1276530695,ЦТП-33,,
way,443447461,ЦТП-36,,
way,1277617061,ЦТП-39,,
way,1276363718,ЦТП-4,,
way,1277753754,ЦТП-41,,
way,1276722915,ЦТП-43,,
way,1279684942,ЦТП-44,,
way,204353231,ЦТП-45,,
way,204353274,ЦТП-46,,
way,1279610329,ЦТП-48,,
way,205594210,ЦТП-49,,
way,1276507235,ЦТП-5,,
way,1276742155,ЦТП-50,,
way,306351575,ЦТП-51,,
way,205338627,ЦТП-54,,
way,1279693512,ЦТП-55,,
way,1279695082,ЦТП-56,,
way,1279608899,ЦТП-57,,
way,203702521,ЦТП-6,,
way,205594254,ЦТП-60,,
way,224969464,ЦТП-61,,
way,205338665,ЦТП-63,,
way,1279697118,ЦТП-64,,
way,205443848,ЦТП-66,,
way,1276509563,ЦТП-7,,
way,1279698532,ЦТП-71,,
way,1279698613,ЦТП-72,,
way,1279700350,ЦТП-73,,
way,204207729,ЦТП-76,,
way,1279702486,ЦТП-77,,
way,1279703895,ЦТП-78,,
way,204113175,ЦТП-79,,
way,223009487,ЦТП-8,,
way,1276717713,ЦТП-88,,
way,1280506108,ЦТП-99,,
way,1276533064,ЦТП=114,,
node,11612726148,Шкафной ГРП,,
node,11387929812,Шкафной газорегуляторный пункт,,
node,10799209400,Шкафной распределительный пункт,,
node,11761116936,Шкафной распределительный пункт д. Кошевичи,,
node,11634799257,Шкафной распределительный пункт №17,,
node,11634388886,Шкафной распределительный пункт №34,,
node,10054164418,Шкафной распределительный пункт №5,,
