osm_type,osm_id,name,name:be,name:ru
way,478380468,ВНС,,ВНС
way,217937927,ГРП,,ГРП
way,30646577,ГРП № 15,,ГРП № 15
way,172118074,ГРП № 66,,ГРП № 66
way,469224271,ГРП №1,,ГРП №1
way,319363517,ГРП №66 и ШРП №10,,ГРП №66 и ШРП №10
way,154660903,ГРП № 11,,ГРП № 11
way,154668906,ГРП № 8,,ГРП № 8
way,343399640,ГРП-135,,ГРП-135
way,334491952,ГРП-19,,ГРП-19
way,281854210,ГРП-3,,ГРП-3
way,1057258213,ГРС Пинск,,ГРС Пинск
way,29125504,Мастерские ЖЭС № 17,,Мастерские ЖЭС № 17
way,218433521,ПГРП - 4,,ПГРП - 4
way,29129003,ЦТП № 4-52,,ЦТП № 4-52
way,512334294,"ЦТП №5 ""Красные казармы""",,"ЦТП №5 ""Красные казармы"""
node,5206855447,ЦТП №6-71,,ЦТП №6-71
