osm_type,osm_id,name,name:be,name:ru
way,1318317725,2КТПБ-69,,
way,1058322108,БКТП-2846,,
way,1084920674,БКТП-3162,,
way,214111010,БКТП-3483,,
way,1054819634,БКТП-474,,
way,1332413879,Бг-851,,
way,783841213,ВЛ-10кВ №11,,
way,783841214,ВЛ-10кВ №13,,
way,784756654,ВЛ-110КВ Сошно - Лунинец;,,
node,11860537110,ВРУ-1141,,
node,11885043534,ВРУ-1221,,
way,952009539,Глубокое - Докшицы (участок Глубокое - Козлы),,
way,635702323,Глубокое - Докшицы (участок Козлы - Докшицы),,
node,10977548178,Городская комплекная трансформаторная подстанция №20,,
way,520534189,ЗТП-12,,
way,1212700664,ЗТП-С-1,,
way,802507891,КВЛ-10кВ №1,,
way,802507879,КВЛ-10кВ №10,,
way,802507890,КВЛ-10кВ №3,,
way,802507892,КВЛ-10кВ №4,,
way,802507878,КВЛ-10кВ №6,,
node,11843537920,КТП-1031,,
node,9724808120,КТП-2305,,
way,982774220,КТП-3474,,
node,12218706474,КТП-399,,
node,12307869193,КТП-529,,
node,12312130657,КТП-708,,
way,1273265496,КТП-ДПР№5 ЭЧ-3 БелЖД,,
way,1188016723,КТПБ-4219,,
way,1295691492,КТПБ-4728,,
way,1305450825,КТПБ-5001,,
way,1305450824,КТПБ-5002,,
way,1282897744,КТПБ-601,,
way,904854809,КТПБ-851,,
way,1312580744,КТПБ-92,,
way,1080593969,КТПМ-653,,
node,12123794810,КТПП-686,,
way,982774219,КТПб-470,,
way,1064077626,КТПб-472,,
way,1315742803,КТПб-5000,,
way,1314188311,Кабельная линия связи,,
node,11778374644,Колельня,,
way,1275270388,Комплектная трансформаторная подстанция №1069,,
node,11307829462,Комплектная трансформаторная подстанция №1122,,
node,9216086255,Комплектная трансформаторная подстанция №442 на ВЛ-224,,
node,11751469745,Комплектная трансформаторная подстанция №615,,
node,11761116956,Комплектная трансформаторная постанция №337-160,,
node,11522952189,Котельная,,
way,642180876,Котельная,,
way,1126724316,Котельная,,
node,11805340412,Котельня,,
node,11805566788,Котельня,,
node,11805566789,Котельня,,
way,344728489,Котельня,,
way,430015871,Котельня,,
way,1108787381,Котельня,,
way,1239093281,Котельня,,
way,1276773568,Котельня,,
way,1338003977,Л-1,,
way,1338303694,Л-1,,
way,1338003975,Л-1;Л-2,,
way,1338303691,Л-2,,
way,1338003984,Л-3;Л-4,,
way,1337992443,Л-4,,
way,1337992444,Л-4,,
way,1337992446,Л-4,,
way,1337992447,Л-4,,
way,1337992448,Л-4,,
way,1337992449,Л-4,,
way,1337992451,Л-4,,
way,1338003973,Л-4,,
way,1337992442,Л-4;Л-5,,
way,1337992450,Л-5,,
way,1338003982,Л-5,,
way,1338303693,Л-5,,
way,1338308976,Л-5,,
way,1338003980,Л-5;Л-6,,
way,1338003981,Л-6,,
way,1338303692,Л-7,,
way,1338303698,Л-7,,
way,1338313903,Л-7,,
way,628910806,Лахва - Велута,,
way,1251172478,Линия связи,,
node,12123794801,МТП-329,,
node,12310096272,МТП-684,,
way,301258156,Молотковичи - Рыловичи,,
way,784756657,"Отпайка на ПС Селище от ВЛ -110 КВ ""Ясельда-Сошно""",,
way,1089020296,"ПС ""Жидче"" - Домашицы",,
way,989031128,Пинск-Северная,,
way,1239093312,Проходная трансформаторная подстанция №1149,,
way,70561629,РП-1000,,
way,431002890,РП-170 / ЦТП 2-19,,
way,851906721,РП-2,,
way,1299493671,РП-2,,
way,674626530,РП-234,,
way,58202113,РП-250 / ЦТП 2-8,,
way,424987820,РП-257,,
way,323525246,РП-260,,
way,430396286,РП-27,,
way,833152455,РП-35,,
way,84072873,РП-380,,
way,1067516985,РП-390,,
way,62284962,РП-400,,
way,69416285,РП-450,,
way,517915203,РП-555,,
way,1287072319,РП-560,,
way,1236956442,РП-660,,
way,169539525,РП-670,,
way,441426776,РП-790,,
way,1106239899,РП-844,,
way,820221860,РП-85,,
way,1103227090,РП-850,,
way,1292099860,РП-860,,
way,791545452,РП-888,,
way,1184814832,РП-900,,
way,323314264,РП263,,
node,7468586434,"Распределительная подстанция ""Тепенец""",,
node,11818007422,Рп 445,,
node,11046387302,СР-49,,
node,12218740920,СР-5,,
node,11046424962,СР-51,,
node,11046420818,СР-52,,
node,11465608719,Солнечные батареи,,
way,628083820,Сошно - Лунинец,,
way,1055616526,Сошно - Лунинец,,
node,12009080157,Ср32 тп650-тп471,,
node,12009098661,Ср33,,
way,498645345,Старые Дороги - Дороганово,,
node,11434808683,ТП 1111,,
node,11434860970,ТП 1111,,
way,1303691314,ТП 24,,
way,847115512,ТП 363,,
node,11989735806,ТП 802,,
node,11836561011,ТП №958,,
way,1299493686,ТП-10,,
node,12152980520,ТП-1003,,
node,11465719825,ТП-1007,,
node,12282018192,ТП-1011,,
node,11892940742,ТП-1015,,
node,12219209822,ТП-1024,,
node,12146078525,ТП-1033,,
node,11627658622,ТП-1038,,
way,1127967716,ТП-104,,
node,11525081215,ТП-1047,,
way,833152464,ТП-106,,
node,12115167553,ТП-1065,,
node,11553484465,ТП-1066,,
node,12146123656,ТП-1071,,
node,12309518094,ТП-1072,,
way,1307499108,ТП-108,,
node,12259011058,ТП-1081,,
node,12287889931,ТП-1084,,
way,1274849284,ТП-11,,
way,1299493685,ТП-11,,
node,11696907452,ТП-1110,,
way,1311693092,ТП-112,,
node,11618034251,ТП-1120,,
way,1227344260,ТП-114,,
way,1315950658,ТП-114,,
way,676474561,ТП-12,,
way,1337456202,ТП-120,,
way,323997896,ТП-121,,
node,12174622729,ТП-123,,
way,1262539768,ТП-123,,
way,1311693091,ТП-126,,
way,1103885750,ТП-129,,
way,1282890433,ТП-136,,
way,1236955769,ТП-137,,
way,1123961474,ТП-139,,
node,12090361208,ТП-141,,
way,1262855434,ТП-142,,
way,1234000112,ТП-15,,
way,1264310971,ТП-152,,
way,1128014027,ТП-154,,
way,1219738774,ТП-156,,
node,12090193644,ТП-16,,
way,1305767139,ТП-165,,
way,1082702183,ТП-166,,
way,1266791114,ТП-171 / ЦТП 2-26,,
node,12110449829,ТП-178,,
node,11847228403,ТП-18,,
way,1313529203,ТП-183,,
node,11761097173,ТП-186,,
way,1267728926,ТП-186,,
way,982201926,ТП-186 / ЦТП 2-27,,
way,110689084,ТП-187,,
way,1054819635,ТП-191,,
node,12180814611,ТП-192,,
way,655652054,ТП-193,,
way,1081716549,ТП-197,,
way,1127523543,ТП-199,,
way,1273256631,ТП-20 ЭЧ-3 БелЖД,,
way,1127523560,ТП-201,,
way,1236957629,ТП-202,,
way,1052729300,ТП-203,,
way,1315950662,ТП-205,,
way,1302649285,ТП-214,,
way,1292094051,ТП-215,,
way,467741845,ТП-2176,,
way,1298044089,ТП-218,,
node,12259136490,ТП-219,,
way,368414436,ТП-220,,
way,87608428,ТП-223,,
way,996595000,ТП-226,,
way,1319643572,ТП-229,,
way,1273265095,ТП-23 ЭЧ-3 Бел ЖД,,
way,1286996866,ТП-232,,
way,1299233310,ТП-233,,
way,1234000055,ТП-235,,
way,1299228906,ТП-236,,
way,1303691324,ТП-241,,
way,850400099,ТП-244 / ЦТП 2-6,,
way,1236957063,ТП-245,,
node,11823944699,ТП-247,,
way,1322130599,ТП-248,,
way,1236956249,ТП-249,,
way,67169871,ТП-2523,,
way,66848120,ТП-2529,,
way,66848143,ТП-2530,,
node,12189530471,ТП-254,,
node,12365496524,ТП-255,,
node,11587375357,ТП-257,,
way,1274849754,ТП-258,,
way,1231328880,ТП-261,,
way,1275577620,ТП-262,,
way,1236016219,ТП-272,,
node,12315863060,ТП-273,,
node,12299682860,ТП-28,,
way,579512508,ТП-2803,,
way,1236957665,ТП-286,,
node,12237242996,ТП-287,,
way,1105440719,ТП-287,,
way,25390786,ТП-289,,
way,1187924466,ТП-289,,
way,431222747,ТП-29,,
way,1299493680,ТП-29,,
way,1292094049,ТП-290,,
way,1052194772,ТП-295,,
node,11846476905,ТП-297,,
way,1233075532,ТП-299,,
