osm_type,osm_id,name,name:be,name:ru
way,268779279,110kV Wólka Dobryńska - Брэст,Вулька-Добрыньска - Брэст,Вулька-Добрыньска - Брест
way,226887135,ВЛ-110КВ Дубовый Лес - Островы;ВЛ-110КВ Дубовый Лес - Шестиснопы,Дубовы лес - Астравы;Дубовы лес - Шасціснопы,Дубовый лес - Островы;Дубовый лес - Шестиснопы
way,1059853930,ВЛ-110КВ Колядичи - Курасовщина;ТЭЦ-4 - Химзавод,Калядзічы - Курасоўшчына;ЦЭЦ-4 - Хімзавод,Колядичи - Курасовщина;ТЭЦ-4 - Химзавод
way,295952080,ВЛ-110кВ ТЭЦ-5 - Руденск тяг.,ЦЭЦ-5 - Рудзенск-цягавая,ТЭЦ-5 - Руденск-тяговая
way,997803618,Гродно-Alytus,Гродна - Алітус,ВЛ-330КВ №368 Алитус - Гродно
way,25389398,К. Либкнехта,Карла Лібкнехта,Карла Либкнехта
way,229587733,Минск Северная - Олехновичи,Мінск Паўночная - Аляхновічы,Минск-Северная - Олехновичи
way,798882704,Октябрьская,Кастрычніцкая,Октябpьcкaя
way,728856233,ТЭЦ-3 - Завод запасных частей,ЦЭЦ-3 - Завод запасных частак,№ ТЭЦ-3 - Завод запасных частей
way,728856234,ТЭЦ-3 - Завод запасных частей,ЦЭЦ-3 - Завод запасных частак,№1 ТЭЦ-3 - Завод запасных частей
way,728856235,ТЭЦ-3 - Северная,ЦЭЦ-3 - Паўночная,ЦЭЦ-3 - Паўночная
way,728856239,ТЭЦ-3 - ТЭЦ-2,№1 ЦЭЦ-3 - ЦЭЦ-2,№2 ЦЭЦ-3 - ЦЭЦ-2
