osm_type,osm_id,name,name:be,name:ru
way,398888070,БелГРЭС-КС,,БелГРЭС-КС
way,786560278,Беларуская АЭС -,,Беларуская АЭС -
way,544709996,Берёза 110 - Берёза 35,,Берёза 110 - Берёза 35
node,4340541115,Бывшая ГЭС,,Бывшая ГЭС
way,289836314,ВЛ 110 кВ Ивацевичи-220-Доманово,,ВЛ 110 кВ Ивацевичи-220-Доманово
way,785715811,ВЛ 110 кВ Ивацевичи-220-Доманово,,ВЛ 110 кВ Ивацевичи-220-Доманово
way,301790285,ВЛ-110 Северная - Заднепровье с отп. на Дубровно и Крашино,,ВЛ-110 Северная - Заднепровье с отп. на Дубровно и Крашино
way,789085923,ВЛ-110КВ Барановичи - Ляховичи;ВЛ-110КВ Барановичи - Гай,,ВЛ-110КВ Барановичи - Ляховичи;ВЛ-110КВ Барановичи - Гай
way,869091345,ВЛ-110КВ Барановичи - Ляховичи;ВЛ-110КВ Барановичи - Гай,,ВЛ-110КВ Барановичи - Ляховичи;ВЛ-110КВ Барановичи - Гай
way,230054638,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки,,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки
way,230057322,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки,,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки
way,283532126,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки,,ВЛ-110КВ Барановичи-330 - Городище;ВЛ-110КВ Барановичи - Стайки
way,604621987,ВЛ-110КВ Барановичи-330 - Южная;ВЛ-35КВ Южная - Остров,,ВЛ-110КВ Барановичи-330 - Южная;ВЛ-35КВ Южная - Остров
way,685836747,ВЛ-110КВ ГРЭС - Антополь;ВЛ-110КВ Дрогичин - Остромичи,,ВЛ-110КВ ГРЭС - Антополь;ВЛ-110КВ Дрогичин - Остромичи
way,297326712,ВЛ-110КВ Дрогичин - Остромичи;?,,ВЛ-110КВ Дрогичин - Остромичи;?
way,685836748,ВЛ-110КВ Дрогичин - Остромичи;?,,ВЛ-110КВ Дрогичин - Остромичи;?
way,660151111,ВЛ-110КВ Ивацевичи - Бытень;ВЛ-110КВ Бытень - Слоним-южная,,ВЛ-110КВ Ивацевичи - Бытень;ВЛ-110КВ Бытень - Слоним-южная
way,240810391,ВЛ-110КВ Ивацевичи - Милейки; ВЛ-110КВ Милейки - Могилёвцы,,ВЛ-110КВ Ивацевичи - Милейки; ВЛ-110КВ Милейки - Могилёвцы
way,785715819,ВЛ-110КВ Ивацевичи - Милейки;ВЛ-110КВ Ивацевичи-110 - Ивацевичи-220,,ВЛ-110КВ Ивацевичи - Милейки;ВЛ-110КВ Ивацевичи-110 - Ивацевичи-220
way,625272916,ВЛ-110КВ Ивацевичи-220 - Доманово;ВЛ-110КВ Ивацевичи-220 - Бытень,,ВЛ-110КВ Ивацевичи-220 - Доманово;ВЛ-110КВ Ивацевичи-220 - Бытень
way,192882125,ВЛ-110КВ Орша 330 - Орша-КС1; ВЛ-110КВ Орша 330 - Орша-КС1 с отпайкой на Хлусово,,ВЛ-110КВ Орша 330 - Орша-КС1; ВЛ-110КВ Орша 330 - Орша-КС1 с отпайкой на Хлусово
way,671560025,ВЛ-110КВ Пружаны - Шерешево;ВЛ-35КВ Пружаны-110 - Пружаны-35,,ВЛ-110КВ Пружаны - Шерешево;ВЛ-35КВ Пружаны-110 - Пружаны-35
way,271034509,ВЛ-110КВ Стайки - Городея; ВЛ-110КВ Барановичи - Стайки,,ВЛ-110КВ Стайки - Городея; ВЛ-110КВ Барановичи - Стайки
way,704503554,ВЛ-110кВ ГРЭС - Обровская;ВЛ-110КВ ГРЭС - Застужье,,ВЛ-110кВ ГРЭС - Обровская;ВЛ-110КВ ГРЭС - Застужье
way,554316416,ВЛ-110кВ Пружаны-Шерешево; ВЛ-110кВ Шерешево-Каменец,,ВЛ-110кВ Пружаны-Шерешево; ВЛ-110кВ Шерешево-Каменец
way,315266606,ВЛ-220КВ №232 ГРЭС-15 - Брест-1;ВЛ-220КВ №206 ГРЭС-15 - Пинск,,ВЛ-220КВ №232 ГРЭС-15 - Брест-1;ВЛ-220КВ №206 ГРЭС-15 - Пинск
way,504318666,ВЛ-228 №2 Барановичи-330 - Барановичи-220,,ВЛ-228 №2 Барановичи-330 - Барановичи-220
way,704503553,ВЛ-330КВ Белоозерск - 7Т,,ВЛ-330КВ Белоозерск - 7Т
way,704503552,ВЛ-330КВ Белоозерск - 7Т-1,,ВЛ-330КВ Белоозерск - 7Т-1
way,856384806,ВЛ-330КВ №445 Поставы - Полоцк,,ВЛ-330КВ №445 Поставы - Полоцк
way,696861184,ВЛ-330КВ №450 №1 Поставы - Игналинская АЭС,,ВЛ-330КВ №450 №1 Поставы - Игналинская АЭС
way,302880635,ВЛ-345 Полоцк - Новосокольники,,ВЛ-345 Полоцк - Новосокольники
way,146210287,ВЛ-349 Витебск - Талашкино,,ВЛ-349 Витебск - Талашкино
way,952158401,ВЛ-35 Дубровно - Сова,,ВЛ-35 Дубровно - Сова
way,301873815,ВЛ-35 Крапивно - Дубровно,,ВЛ-35 Крапивно - Дубровно
way,296185363,ВЛ-35 Северная - Крапивно,,ВЛ-35 Северная - Крапивно
way,788177450,ВЛ-35КВ Голынка - Снов с отпайков на ПС Репичи,,ВЛ-35КВ Голынка - Снов с отпайков на ПС Репичи
way,829869717,ВЛ-35КВ Катминовцы - Молчадь;ВЛ-35КВ Городище - Катминовцы,,ВЛ-35КВ Катминовцы - Молчадь;ВЛ-35КВ Городище - Катминовцы
way,315266494,ВЛ-35КВ Ольсевичи - Стайки,,ВЛ-35КВ Ольсевичи - Стайки
way,283532138,ВЛ-35КВ Стайки - Голынка; ВЛ-35КВ Ольсевичи - Стайки,,ВЛ-35КВ Стайки - Голынка; ВЛ-35КВ Ольсевичи - Стайки
way,232990018,ВЛ-35КВ Стайки - Голынка;ВЛ-35КВ Голынка - Снов,,ВЛ-35КВ Стайки - Голынка;ВЛ-35КВ Голынка - Снов
way,597245226,ВЛ-35кВ Пружаны - Хорева; ВЛ-110кВ Пружаны - Клепачи,,ВЛ-35кВ Пружаны - Хорева; ВЛ-110кВ Пружаны - Клепачи
way,372313828,ВЛ-452 Поставы - Утена,,ВЛ-452 Поставы - Утена
way,946659494,ВЛ-824 ПС Сураж,,ВЛ-824 ПС Сураж
way,309896446,ГРЭС - Белоозёрск,,ГРЭС - Белоозёрск
way,288990627,ГРЭС - Берёза КСИ,,ГРЭС - Берёза КСИ
way,309889374,ГРЭС - Брест-1,,ГРЭС - Брест-1
way,309871288,ГРЭС - Дрогичин,,ГРЭС - Дрогичин
way,784658769,ГРЭС - Застужье,,ГРЭС - Застужье
way,288990638,ГРЭС - Ивацевичи,,ГРЭС - Ивацевичи
way,656247238,ГРЭС - Обровская,,ГРЭС - Обровская
way,485218144,Генератор,,Генератор
way,309870497,Дрогичин - Экзон,,Дрогичин - Экзон
way,309870500,Дрогичин - Экзон,,Дрогичин - Экзон
way,690439737,Дубровно-Жабыки,,Дубровно-Жабыки
way,952160017,Дубровно-Жабыки,,Дубровно-Жабыки
node,8327706318,ЕТПП-377,,ЕТПП-377
way,331504367,ЗДТ,,ЗДТ
way,479301437,Заеловье,,Заеловье
way,625377535,Ивацевичи 220 - Остров;Ивацевичи-220-Бытень,,Ивацевичи 220 - Остров;Ивацевичи-220-Бытень
way,292137835,Ивацевичи-110 - Коссово,,Ивацевичи-110 - Коссово
way,625272920,Ивацевичи-110- Ивацевичи-220,,Ивацевичи-110- Ивацевичи-220
way,785715816,Ивацевичи-110- Ивацевичи-220,,Ивацевичи-110- Ивацевичи-220
way,289836315,Ивацевичи-220 - Бытень,,Ивацевичи-220 - Бытень
way,785715810,Ивацевичи-220 - Бытень,,Ивацевичи-220 - Бытень
way,785715814,Ивацевичи-220 - Бытень,,Ивацевичи-220 - Бытень
way,616597064,Ивацевичи-220 - ИПЗ,,Ивацевичи-220 - ИПЗ
way,301483035,КН Котельная,,КН Котельная
way,162062638,Котельная ГРУПП ЖКХ,,Котельная ГРУПП ЖКХ
way,376193969,"Котельная ЧУП ""Западтранснефтепродукт""",,"Котельная ЧУП ""Западтранснефтепродукт"""
way,447266495,Котельная №23,,Котельная №23
way,705956558,Куково Бор,,Куково Бор
way,230054609,Литейная,,Литейная
way,754256904,Микашевичи-110,,Микашевичи-110
way,539265923,Милейки - Могилевцы,,Милейки - Могилевцы
way,736501950,Милейки - Могилевцы,,Милейки - Могилевцы
way,205632167,Обольцы -,,Обольцы -
way,952107551,Обольцы -,,Обольцы -
way,44644754,Отпайка на ЗКВ от ВЛ-110кВ Гродно-Южная - Фолюш,,Отпайка на ЗКВ от ВЛ-110кВ Гродно-Южная - Фолюш
way,380843737,Отпайка на ЗКВ от ВЛ-110кВ Гродно-Южная - Фолюш,,Отпайка на ЗКВ от ВЛ-110кВ Гродно-Южная - Фолюш
way,201908092,Отпайка на Княжеводцы от ВЛ-35кВ Скидель - Каменка (1976г),,Отпайка на Княжеводцы от ВЛ-35кВ Скидель - Каменка (1976г)
way,302352927,Отпайка на Кряжеводцы от ВЛ-35кВ Скидель-2 - Лунно (1976г),,Отпайка на Кряжеводцы от ВЛ-35кВ Скидель-2 - Лунно (1976г)
way,45441139,Отпайка на Кряжеводцы от ВЛ-35кВ Скидель-2 - Лунно; Отпайка на Кряжеводцы от ВЛ-35кВ Скидель - Каменка (1976г),,Отпайка на Кряжеводцы от ВЛ-35кВ Скидель-2 - Лунно; Отпайка на Кряжеводцы от ВЛ-35кВ Скидель - Каменка (1976г)
way,797111515,Отпайка на ПС БСГ от ВЛ-35КВ Южная - Остров,,Отпайка на ПС БСГ от ВЛ-35КВ Южная - Остров
way,785447549,Отпайка на ПС Белица от ВЛ-35КВ Поречье - Гезгалы,,Отпайка на ПС Белица от ВЛ-35КВ Поречье - Гезгалы
way,797658693,Отпайка на ПС Бронная Гора от ВЛ-35КВ Белоозёрск - Берёза,,Отпайка на ПС Бронная Гора от ВЛ-35КВ Белоозёрск - Берёза
way,501634437,Отпайка на ПС Девятковичи от ВЛ-110кВ Бытень - Слоним-Южная (1977г),,Отпайка на ПС Девятковичи от ВЛ-110кВ Бытень - Слоним-Южная (1977г)
way,44644753,Отпайка на ПС Занеманская от ВЛ-110кВ Гродно-Южная - ЗКВ,,Отпайка на ПС Занеманская от ВЛ-110кВ Гродно-Южная - ЗКВ
