osm_type,osm_id,name,name:be,name:ru
way,1058322108,БКТП-2846,,
way,1058322110,БКТП-2865,,
way,1084920674,БКТП-3162,,
node,9796708522,КТП,,
node,9796708520,КТП-1700,,
node,9796708521,КТП-1722,,
node,9724430413,КТП-2192,,
node,9724808119,КТП-2304,,
node,9724791010,КТП-2316,,
node,9796708519,КТП-2317,,
node,9796708523,КТП-2486,,
node,9983563944,КТП-3472,,
node,9920121628,КТП-678,,
node,9983563962,КТПБ-3461,,
node,9983563943,КТПБ-3465,,
way,1089061474,КТПМ,,
way,1091340422,КТПП 12,,
way,1098920516,КТПб-3513,,
way,540484416,Канализационно-насосная станция № 25,,
way,542723066,Полигон,,
way,330342955,РП-248,,
node,9861320889,СТП-В-25,,
way,271707525,ТП,,
way,1025857489,ТП,,
way,593473793,ТП № 1025,,
way,756664362,ТП № 1204,,
node,10068297405,ТП № 128,,
way,82621628,ТП № 1468,,
way,97992658,ТП № 2760,,
way,946969796,ТП № 2775,,
way,1106266880,ТП № 32,,
way,149944009,ТП № 4112,,
way,149943247,ТП № 4117,,
way,632087176,ТП № 4122,,
way,25321766,ТП № 4214,,
way,860568367,ТП № 4381,,
way,25320259,ТП № 4383/ЦТП № 3/626,,
way,653212371,ТП № 4440,,
way,785938595,ТП-10,,
way,593473820,ТП-1322,,
node,10091906176,ТП-185,,
way,1058285535,ТП-2927,,
way,1091893895,ТП-3214,,
node,9983563942,ТП-3467,,
way,1089883703,ТП-3470,,
way,384783628,ТП-383,,
way,1076369463,ТП-385,,
way,1069076081,ТП-4543,,
way,1098098931,ТП-464,,
way,1098098932,ТП-471,,
way,693683984,ТП-510,,
way,262247566,ТП-825,,
way,262246040,ТП-826,,
node,9865759717,Тепловой пункт,,
way,25394179,ЦТП 1/548,,
way,25322396,ЦТП № 1/628  ТП № 4442,,
way,71324250,ЦТП № 2/625,,
way,149943150,ЦТП № 3/625,,
way,25320985,ЦТП № 4/626,,
node,10091906177,ЦТП №31,,
way,25322952,ЦЦП № 4/371,,
node,10086616106,ШР 2,,
node,10013010763,ШРП-15,,
node,10091905946,ШРП-17,,
