osm_type,osm_id,name,name:be,name:ru
node,13543602008,Азярэц,,
node,13543601948,Антонава,,
node,13543601943,Анісіна Пеля,,
way,1476528062,Арцэнішына Даліна,,
node,13543601950,Балафёнава,,
node,13543601867,Баравое,,
node,13543601946,Баянішына,,
node,13543601866,Белае Балота,,
node,13543689071,Белка,,
node,13543601982,Бернікавае,,
node,10276489785,Болото Пэсоцькое,,
node,13430979686,Вацлаво,,
node,13428802420,Веселово,,
node,10276489780,Волэсьці,,
node,13543689072,Востраў,,
node,13543601942,Вужэўскае,,
node,11626022192,Габриэль,,
node,10276489794,Гевэна,,
node,13428802419,Герасименки,,
node,11612979450,Глiнiшча,,
node,11626022191,Грабовец,,
node,13543601940,Гіршава,,
node,13543689093,Дуброва Ніва,,
node,10276489788,Дэгаковій куь,,
node,13543601831,Загор'е,,
node,13543689075,Загрэбля,,
node,13543601980,Заямнае,,
node,13543601947,Змітрава,,
node,12099693060,Каменное,,
node,13543601938,Каплоўка,,
way,1476528063,Каплоўка,,
node,13543689073,Катлоўка,,
node,13543601952,Клунскае,,
node,11626061848,Клятково,,
node,13543601954,Круглае,,
node,13543689090,Курганы,,
node,11916806065,Курьяки,,
node,12956095476,Лозовая долина,,
node,13543601945,Ліпнікі,,
node,13543601941,Максімішына,,
node,12704980558,Маркутський Млин,,
node,12544300297,Меловница,,
node,13543689030,Млінок,,
node,10276489792,Московская нэвка,,
node,10276489782,Міыж,,
node,11577877894,Николаевка,,
node,13424263758,Овсяники,,
node,10276489786,Олэсыць,,
node,13543689069,Паджар,,
node,13543601939,Патапава,,
node,13543689042,Перагудава,,
node,10276489778,Пухново,,
node,13543601955,Савасцянава,,
node,13543601985,Саламянскія Горы,,
node,13543601953,Самойлавае,,
node,13543689028,Селішча,,
node,13543689092,Селішча,,
node,11832437141,Смольня,,
node,11613015728,Софiевка,,
node,13543602007,Сілін Рог,,
node,13543601868,Тапары,,
node,13428802418,Тетенки,,
node,12957244110,Трамбаловка,,
node,11612955683,Трасучы,,
node,13543689095,Уцёс,,
node,13543601951,Хадоплішча,,
way,1416466449,Хатынь,,
node,13543601981,Хвашчоўка,,
node,13543689094,Хлебава Паляна,,
node,10276489793,Хотово,,
node,13543689029,Хутар,,
node,13543601983,Цалкавае,,
node,13543601949,Цімахоўскае,,
node,13543689070,Юркі,,
node,13543601956,Якава Даліна,,
node,13543601979,Ямнае,,
