osm_type,osm_id,name,name:be,name:ru
node,11515990991,Белый Двор,,Белый Двор
node,11534910392,Валовники,,Валовники
node,11534969528,Василево,,Василево
node,11375139944,Видоки,,Видоки
node,11439787083,Вологина,,Вологина
node,11333678501,Воропанщина,,Воропанщина
node,11551741870,Вырвино,,Вырвино
node,11446852159,Глинище,,Глинище
node,11457562919,Горные,,Горные
node,11492652567,Замошье,,Замошье
node,11497685357,Зыбалишки,,Зыбалишки
node,11360506298,Каролин,,Каролин
node,11534910391,Кираи,,Кираи
node,11525596723,Кочанишки,,Кочанишки
node,11450056155,Кочаны,,Кочаны
node,11375181348,Лабецкие,,Лабецкие
node,11446852160,Локтево,,Локтево
node,11457562909,Луговое,,Луговое
node,11457562952,Микели,,Микели
node,11515902262,Микульки,,Микульки
node,11377900080,Плищино,,Плищино
node,11333627682,Репишки,,Репишки
node,11497685323,Свилишки,,Свилишки
node,11368897714,Селки,,Селки
node,11447020969,Сибары,,Сибары
node,11457562957,Теключина,,Теключина
node,11375110312,Храповщина,,Храповщина
node,11457562908,Цупово,,Цупово
node,11451818933,Юдинки 2-е,,Юдинки 2-е
node,11367025408,Янковщина,,Янковщина
node,11506831404,Яново,,Яново
node,11457562913,Янополь,,Янополь
node,11451818946,Яприно,,Яприно
node,11446704069,Ястребова,,Ястребова
node,11429641357,урочище Жвировня,,урочище Жвировня
