osm_type,osm_id,name,name:be,name:ru
relation,8049858,"Биологический заказник ""Тырвовичи""","Біялагічны заказнік ""Тырвовічы""",
relation,8049858,"Биологический заказник ""Тырвовичи""","Біялагічны заказнік ""Тырвовічы""",
way,662171110,"Ботанический сад ""Иванов хутор""",Батанічны сад «Іванаў хутар»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
relation,9201117,Водно-болотный заказник «Славгородский»,Водна-балотны заказнік «Слаўгарадскі»,
way,662173402,Гидрологический заказник «Торфяное месторождение Журавль»,Гідралагічны заказнік «Тарфяное радовішча Журавель»,
way,662170502,"Заказник ""Костёл""",Заказнік «Касцёл»,
