osm_type,osm_id,name,name:be,name:ru
way,29172806,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,29172826,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,35403194,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,458352672,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,496438893,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500881995,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500881998,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893531,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893533,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893535,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
node,2788687753,Пункт геодезической дуги Струве «Маринус». Ивацевичи,Пункт геадэзічнай дугі Струвэ «Марынус». Івацэвічы,Пункт геодезической дуги Струве. Ивацевичи
way,656557891,заказник «Фаличский Мох»,заказнік «Фаліцкі Мох»,Заказник «Фаличский Мох»
