osm_type,osm_id,name,name:be,name:ru
node,11465731706,Базовая станция сотовой подвижной электросвязи,,
node,11926155205,В память о рядовом Базилике,,
node,11802583326,Геодезический знак,,
node,12828019501,Горка,,
node,1706687479,Козья Гора,,
node,13306004212,Лысая гора,,
node,11495629390,Маяк,,
node,11608591400,Ніжэйшая кропка Камянецкага раёна,,
node,12599262416,Родник,,
node,12599262418,Родник,,
node,11799932304,Самая высокая точка Пинского района,,
node,11608533573,Таварная,,
node,11775285466,ул. Зелёная,,
