osm_type,osm_id,name,name:be,name:ru
node,5975601185,Ами,,Ами
node,4130938998,Аптека №106,,Аптека №106
node,8317750993,Битый Камень,,Битый Камень
node,9060697889,Волотовка,,Волотовка
way,424818637,Гидрологическая станция Полоцк,,Гидрологическая станция Полоцк
node,3893030200,Гора Красная,,Гора Красная
node,3892984578,Гора Петруковская,,Гора Петруковская
node,3893090163,Золотая,,Золотая
node,3893176821,Княгинья,,Княгинья
node,2936551746,Колпак,,Колпак
node,3892953747,Марина,,Марина
way,355284580,Метеорологическая площадка,,Метеорологическая площадка
way,424823071,Метеорологическая станция Верхнедвинск,,Метеорологическая станция Верхнедвинск
way,98697803,Метеорологическая станция Витебск,,Метеорологическая станция Витебск
way,424809357,Метеорологическая станция Езерище,,Метеорологическая станция Езерище
way,425338605,Метеорологическая станция Лепель,,Метеорологическая станция Лепель
way,424436423,Метеорологическая станция Орша,,Метеорологическая станция Орша
way,425335232,Метеорологическая станция Сенно,,Метеорологическая станция Сенно
way,424826179,Метеорологическая станция Шарковщина,,Метеорологическая станция Шарковщина
way,355283438,"Метеостанция ""Слуцк""",,"Метеостанция ""Слуцк"""
node,3893129038,Носова,,Носова
node,3893014636,Опенная,,Опенная
way,25394483,ПНС,,ПНС
node,8735536694,Перунова гора,,Перунова гора
node,8317837025,Пышница,,Пышница
way,200288354,"СЗАО ""БелФрост""",,"СЗАО ""БелФрост"""
node,6147499791,Сашкино,,Сашкино
node,3771944679,Светлый колодец (Святой источник Прудковский),,Светлый колодец (Святой источник Прудковский)
node,8318560803,Сивые Горы,,Сивые Горы
node,9668426894,Спорки,,Спорки
node,3893197703,Стрижева,,Стрижева
way,25394477,ТП2928,,ТП2928
node,6130335679,"Фотостудия ""Облака""",,"Фотостудия ""Облака"""
node,5738090399,Франкевичева,,Франкевичева
node,5738090398,Царица,,Царица
way,61975748,"Церковь ""Гефсимания""",,"Церковь ""Гефсимания"""
node,3907238098,Чолкин Груд,,Чолкин Груд
node,4868992381,Шиховская гора,,Шиховская гора
node,9197944385,высота Безымянная,,высота Безымянная
node,8320463501,высота Солдатская,,высота Солдатская
