osm_type,osm_id,name,name:be,name:ru
node,13543601943,Анісіна Пеля,,
way,1476528062,Арцэнішына Даліна,,
node,13543601946,Баянішына,,
node,13543601942,Вужэўскае,,
way,304077492,Горка,,
node,13543601980,Заямнае,,
way,1476528063,Каплоўка,,
way,304074701,Ляснічаскі сад,,
node,13543601941,Максімішына,,
relation,17187868,Рэкультываваны карʼер,,
relation,17189295,Рэкультываваны карʼер,,
relation,17671380,Рэкультываваны карʼер,,
node,13543601955,Савасцянава,,
node,13543601953,Самойлавае,,
node,13543601981,Хвашчоўка,,
node,13543601949,Цімахоўскае,,
node,13543601956,Якава Даліна,,
