osm_type,osm_id,name,name:be,name:ru
way,614199689,Беркова гора,,Беркова гора
relation,9612296,Болото Багон,,Болото Багон
way,1101437437,Броды,,Броды
way,508008576,Вадимов пруд,,Вадимов пруд
way,591141228,Вырубка,,Вырубка
way,484382889,Камышовый остров,,Камышовый остров
way,480006550,Коханиха,,Коханиха
way,225972548,"Лес ""Треугольник""",,"Лес ""Треугольник"""
way,25187611,Махово озеро,,Махово озеро
way,1154968240,Пеньки,,Пеньки
way,25187899,Перешитуха,,Перешитуха
way,1112755865,Рожок,,Рожок
way,485726280,Смол.,,Смол.
way,480006540,Фомино болото,,Фомино болото
way,35979979,Яночкины горы,,Яночкины горы
way,395580890,бол. Белевое,,бол. Белевое
way,775772168,болото Баково,,болото Баково
