osm_type,osm_id,name,name:be,name:ru
way,625965284,Берёзовый остров,,Берёзовый остров
way,484382889,Камышовый остров,,Камышовый остров
way,603334414,Мельничный,,Мельничный
way,608630117,Мельничный,,Мельничный
way,625965283,остров Авласек,,остров Авласек
way,343430528,остров Бездедово,,остров Бездедово
relation,10515583,остров Вележье,,остров Вележье
way,296888449,остров Великий,,остров Великий
way,489883056,остров Вол,,остров Вол
relation,7194101,остров Кий,,остров Кий
way,25537423,остров Козлячий,,остров Козлячий
way,492026221,остров Конский,,остров Конский
way,25537304,остров Липник,,остров Липник
way,42966055,остров Перемерка,,остров Перемерка
way,25537335,остров Прочиста,,остров Прочиста
relation,13167138,остров Рябиновый,,остров Рябиновый
way,25536857,остров Секира,,остров Секира
way,561979615,остров Хороший,,остров Хороший
relation,10515589,остров Хутор,,остров Хутор
