osm_type,osm_id,name,name:be,name:ru
node,11704487577,"""Кованый Дворик""",,
node,11185364670,F STUDIO | ПЕЧАТЬ | ФОТО,,
node,11409404991,АС-инженеринг,,
node,11969450693,АвтоЦентрБрест,,
node,6120868579,Агенство недвижимости «РИАЛИТИ»,,
node,3295396963,Агриматко-96,,
node,11619859293,"Администранция ранка ""Звёздный""",,
node,11805566679,"Административное здание ОАО ""Почипово""",,
way,857832641,АльМаксТранс,,
node,11704920857,Альтернатива,,
node,11481521731,Альфа Кул,,
node,11627414735,Альфа милк,,
node,11733906431,Атава техно,,
node,4056463887,Ателит,,
node,11952224485,Аярпласт,,
node,11407174358,БММ-Траст,,
node,11861953714,БЦ Монако,,
node,11407174361,Бау-Стиль,,
node,11746518542,БелЮрОбеспечение,,
node,11527934731,Белая Русь,,
node,11685158197,Белподиум,,
node,11879169565,Белтелеком,,
node,11949827897,Белтелеком,,
way,320880497,Брестагропромтехсервис,,
node,11844709395,Бресткоопстрой ЧУП Брестского Облпотребсоюза,,
way,58601638,Брестоблсельстрой,,
node,5688344155,Брестский областной союз потребительских обществ,,
node,11955164435,БурТехноМонтаж,,
node,11775221900,ВестАвто,,
node,11611038899,ВикоВест,,
node,11836691369,"ГП ""Белгипродор"" ГДО",,
node,11874389883,ГСК Транспортник 20,,
way,1223894914,Гагарин,,
node,11757334982,Гидротеплоцентр,,
node,11836691469,ДИСТАНЦИЯ ЗАЩИТНЫХ ЛЕСОНАСАЖДЕНИЙ,,
node,11451782822,Деловые технологии,,
node,11407174362,Дьюбери,,
node,11608526733,Ева-лэндагротехника,,
node,11733702397,Единый центр реализации жилья,,
node,11610287062,Желдоравтоматика,,
way,25393859,ЗАО «Техношанс»,,
way,1256920983,ЗанТекс,,
node,11573361205,Камелот,,
node,11843602569,КапитанАРТИ,,
node,11595140069,Компания ЗеДорс,,
node,11478489258,МилкТехСервис,,
node,11645745167,Монолитстрой комплект,,
node,11760437232,Национальные спортивные лотереи,,
node,11891147535,Никор Мебель,,
node,11465477065,"ОАО ""Водстройавтотранс""",,
node,11580042182,"ОАО ""ГСКБ""",,
way,1251755387,"ОАО ""Медновская птицефабрика""",,
node,10799041743,"ОАО ""Пинский мехтранс""",,
node,11709429196,"ОАО ""Ремиз""",,
node,11455102589,ОАО «Литвяны-Агро»,,
node,11454696758,ОАО Деревное,,
node,11455059920,ОАО Новый Бор,,
node,11917946713,"ОДО ""РасГар""",,
node,11944851242,ОДО Ирбис,,
way,133424760,"ООО ""Алигорекс""",,
node,11660171539,"ООО ""Астория""",,
node,11580042132,"ООО ""БТК-5""",,
node,11784607654,"ООО ""Биомика""",,
node,11660171559,"ООО ""Бурван-Трак""",,
node,4145026735,"ООО ""ВоркЭлектроникс""",,
node,11867188871,"ООО ""Дзик""",,
way,1056811436,"ООО ""КивоДем""",,
node,11844709396,"ООО ""Лествица""",,
node,11776238554,"ООО ""НПП Перантис""",,
node,11438635745,"ООО ""Полистрим ТМ""",,
node,11704487578,"ООО ""ТПК ""Строй Свой Мир""",,
way,820456178,ООО «Индитюс» (KIARA),,
node,11743374169,ООО Акрихин БиУай,,
node,11899210666,ООО Мирана,,
node,11964223924,Общественная приёмная Пинская городская организация РОО «Белая Русь»,,
way,1090433703,ПМК-43,,
node,10594246866,ПРУП Э/б им. Котовского,,
node,11963238336,Пересылка,,
node,11465346534,Пинская городская организация Белорусского красного креста,,
node,11964205730,Пинская городская организация РОО «Белая Русь»,,
node,11891412785,Пинская и Лунинецкая епархия,,
node,11828370013,Платина-груп,,
node,11837398690,Примторгсервис,,
node,11659676205,"Производственный филиал ОАО ""Савушкин продукт"" в г. Пинске",,
node,11672571972,Промтрансинвест,,
node,11222889337,Пунк выдачи Wildberries,,
node,11704920931,РСУ №1,,
node,11970541753,"СООО ""МегаБетон""",,
way,197354839,"СП ООО ""ТермоБрест""",,
node,11491712710,СПМК-15,,
node,11491712709,СПМК-9,,
node,11964223920,Секретарские услуги,,
node,11465387510,Специализированное управление №138,,
node,11539324442,Стар Бьюти,,
node,11685158196,СтеклоАрт,,
node,11465387512,Строительное управление №100,,
node,11465387511,Строительное управление №184,,
node,11465387514,Строительное управление №31,,
node,11465387513,Строительное управление №35,,
way,60701684,Стройтрест №8,,
node,4965163066,Стройцентр,,
node,11745575883,ТСС Лынькова 35,,
node,11892051498,Терсет-Вест,,
node,11733920154,Точный расчет,,
node,11701901411,УП «АгроОзяты»,,
node,11953088529,"УПЧП ""Николь""",,
way,680020322,Участок Шерешево ОАО Пружанский райагросервис,,
node,11465477067,"Филиал ""ПМУ"" ОАО """"Брестсантехмонтаж-2""",,
way,1282996118,ФоремаМебель,,
node,11465387515,"ЧПСУП ""Пинскдрев-Техэнергосервис""",,
node,11910541997,"ЧТПУП ""АллестаДрев""",,
node,11966005884,"ЧТУП ""ИнвертисТрейд""",,
node,11660171558,"ЧТУП ""МакПин Транс""",,
way,133424764,"ЧУП ""Пинскдрев-Евро-Мебель""",,
node,11407174368,Элтех,,
node,11745575884,теплодвор отопительное оборудование,,
