osm_type,osm_id,name,name:be,name:ru
node,7119413886,АвтоБел,,"ЧП ""АвтоБел"""
node,5092248421,Алло,,"Салон ""Алло"""
node,7913604585,Аренда инструментов,,Аренда инструментов multitools.by
node,5984080488,Беларускі саюз архітэктараў,,Белорусский союз архитекторов
node,5687475751,Белфакта медиа,,Белфакта Медиа
node,5843642716,Верховодко и партнеры,,Верховодко и партнёры
node,2325449491,Витебское УП «Фармация»,,"Витебское УП ""Фармация"""
node,7517839887,Витрум склады,,Имекс плитка
way,247408205,Гален,,"Ортопедический медицинский центр ""Гален"""
node,5967207487,Головной офис,,"Головной офис магазинов ""Соседи"""
way,107282925,Горвоенкомат,,Военный комиссариат города Гомеля
node,5346927781,Гранитные памятники,,"Ограды, оформление мест захоронений"
node,6063599485,ГродноТабак,,склад ГродноТабак
node,5946253786,Группа,,Группа компаний Спецсервис
node,6232794085,ГудКар,,ГудКар Автоэксперт
node,6066063086,ДРС,,ДРСУ-186
node,6003163087,ДесяткаСтрой,,ДесяткаСтрой-Плюс
node,6139194487,Детский клуб,,"Детский клуб ""Умка & ТутТа"""
way,576440699,Дорстроймонтажтрест,,"ОАО ""Дорстроймонтажтрест"""
node,4838037526,"ЗАО ""Страховая Компания"" ЭРГО""",,Евроинс Страховая Компания
node,5844098886,ЗАО Индел Ко,,"""Индел Ко"" ЗАО"
node,6398459985,ЗАСО Белнефтестрах ф-л в г. Минске,,ЗАСО Белнефтестрах ф-л в г. Минске № 1
node,6527958789,ИП Лабетик С.В.,,ЛабетикМедиа
node,3328394235,"Издательский дом ""Белый ветер""",,"ООО ""Издательство ""Выснова"""
node,10057183914,Камянецкі ўчастак электрычнай сувязі,,Каменецкий участок электрической связи
node,4339578203,Квадратный метр,,iMarket.by
node,8463130317,"Купить кирпич, блоки пгс, цемент, шифер",,"Купить кирпич, блоки пгс, цемент, шифер - ООО Кровля и Фасад"
node,5314437421,Ленточные пилорамы МВ-2000 «Технолессервис» Производство,,Ленточные пилорамы МВ-2000 «Технолессервис» Производство и продажа
node,5250667122,Мастер365,,Компания Мастер365
node,6547167581,НА'СВЯЗИ,,На связи
node,7466269185,"ОАО "" МИНСКТЕЛЕКОМСТРОЙ """,,"ОАО "" МИНСКТЕЛЕКОМСТРОЙ "" ПУ 4"
node,7405314385,"ООО ""Группа компаний ""Ресурсконтроль""",,Ресурсконтроль
node,6006680785,"ООО ""Котерс",,"ООО ""Котерс"" ОБОРУДОВАНИЕ И УПАКОВКА ДЛЯ ЖИВОТНОВОДСТВА"
node,6003162786,ООО 3Д Инвест,,"ООО ""3Д Инвест"""
node,9015011117,ООО « Инжир»,,ООО «Инжир»
node,7500361085,ООО МиксЭнерджи,,"ООО ""МиксЭнерджи"""
way,25322645,Объединённый институт машиностроения НАН Беларуси,,ГНУ «Объединённый институт машиностроения НАН Беларуси»
way,238568794,"ПУ ""МозырьГаз""",,"ПУ""Мозырьгаз"
node,7752668088,"ПФ ОАО ""Савушкин продукт"" в г.Береза",,"Производственный филиал ОАО ""Савушкин продукт"" в г.Береза"
node,6357639588,Пилорамы,,Деревообработчик
node,8873992017,Плисастрой,,ПлиссаСтрой
node,9404656418,Почетное Консульство,,Почетное Консульство Королевства Таиланд
node,6527958790,Проблеск,,Проблеск - клининговая компания
node,6139192985,Продленка,,Частная Продленка для 1 - 4 классов
node,4264290593,РУП БЕЛДОРСВЯЗЬ,,Республиканское унитарное предприятие БЕЛДОРСВЯЗЬ
node,4356572491,СТО БерёзаГАЗавтосервис,,БерезаГАЗавтосервис
node,5935670485,Слав,,Славтехстрой
node,2054071458,Сож-89,,Турфирма Сож-89
node,6190486885,Студия звукозаписи,,Студия звукозаписи 58Rhymes Records
node,7730684258,Таск,,ЗАСО ТАСК
node,9741336817,ТеплоСТАР,,"""ТеплоСТАР"" ООО"
node,4500060337,"УП ""Минсккоммунтеплосеть""",,Минские коммунальные тепловые сети
node,4694420691,Ункобел. Кеабель провод,,Ункобел. Кабель провод
node,5592296121,Фирма Дина,,Фирма Дина - торговое оборудование
node,6319178087,кацельная Белвучпрама,,кацельная Белвучцентрпрама
node,8849229948,пасольства Пакістана,,посольство Пакистана
