osm_type,osm_id,name,name:be,name:ru
node,10168488832,"""Александр Град-С""","""Аляксандр Град-С""","""Александр Град-С"""
node,4269769676,7 Вижн,7 Віжн,7 Вижн
node,5022024349,BelToll пункт обслужеиня,BelToll пункт абслугоўвання,BelToll пункт обслужеиня
node,3094482033,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,3729605090,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,4253847890,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,4946470522,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,4995026952,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5021730873,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022042150,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022125017,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022125019,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022137285,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022141689,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022178304,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022201857,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022207712,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022219600,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022237701,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022246804,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022262878,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022268814,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022332699,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026873056,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026927426,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026929527,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026936848,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026940697,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5026953861,BelToll пункт обслуживания,BelToll пункт абслугоўвання,BelToll пункт обслуживания
node,5022033564,BelToll пункт обслуживаня,BelToll пункт абслугоўвання,BelToll пункт обслуживаня
node,4464842187,Cтройкомплектпласт,"ТАА ""Будкамплектпласт""",Cтройкомплектпласт
node,4528663854,DAIKIN вентиляция кондиционеры,"DAIKIN кандыцыянеры, вентыляцыя",DAIKIN вентиляция кондиционеры
node,6408804685,F1 картинг клуб,F1 картынг клуб,F1 картинг клуб
node,9240368334,Pony express Визовый центр,Pony express Візавы цэнтр,Pony express Визовый центр
node,10091906086,RPRO.BY - Рециклинг электронных отходов,RPRO.BY - Рэцыклінг электронных адходаў,RPRO.BY - Рециклинг электронных отходов
node,5556845824,АВИ-Транс,АВІ-Транс,АВИ-Транс
node,4109383589,АИР-2007,АІР-2007,АИР-2007
node,4200505915,"АИР-2007, изготовление рекламы","АІР-2007, выраб рэкламы","АИР-2007, изготовление рекламы"
node,7778290500,Аварийная служба ЖЭС №1,Аварыйная служба ЖЭС №1,Аварийная служба ЖЭС №1
way,295643432,"Аварийно-диспетчерская служба ПУ ""Полоцкгаз""",Аварыйна-дыспетчарская служба ВК «Полацкгаз»,"Аварийно-диспетчерская служба ПУ ""Полоцкгаз"""
way,93876972,Автобаза,Аўтабаза,Автобаза
node,5017973326,Автобаза Коханово ЖКХ,Аўтабаза Коханава ЖКГ,Автобаза Коханово ЖКХ
node,1595993901,"Автобаза ОАО ""Глубокский агросервис""",Аўтабаза ААТ «Глыбоцкі аграсервіс»,"Автобаза ОАО ""Глубокский агросервис"""
node,4451342305,Автобаза железной дороги,Аўтабаза чыгункі,Автобаза железной дороги
node,2267121850,Автобусный парк г. Гродно,Аўтобусны парк г. Гродна,Автобусный парк г. Гродно
node,5257594621,Автолайтэкспресс,Аўталайтэкспрэс,Автолайтэкспресс
node,6153555716,Автолайтэкспресс,Аўталайтэкспрэс,Автолайтэкспресс
node,4393614916,Автомобильный парк №15,Аўтамабільны парк №15,Автомобильный парк №15
node,3999356848,Автострахование,Аўтастрахаванне,Автострахование
node,1822955063,Агентство Медицинского Маркетинга,Агенцтва Медычнага Маркетынгу,Агентство Медицинского Маркетинга
node,1506267028,Агентство по госрегистрации и земельному кадастру,БТІ,Агентство по госрегистрации и земельному кадастру
node,3505414616,Агропромышленный холдинг «Славянский велес»,Аграпрамысловы холдынг «Славянскi Велес»,Агропромышленный холдинг «Славянский велес»
node,6680118219,Агрохимическая и ветеринарная лабаратория,Аграхімічныя і ветэрынарная лабаратория,Агрохимическая и ветеринарная лабаратория
node,5499638321,"Адвокат Александр Данилевич, к. ю. н.","Адвакат Аляксандр Данілевіч, к. ю. н.","Адвокат Александр Данилевич, к. ю. н."
node,5555698521,Адвокат Миронов П.А.,Адвакат Міронаў П.А.,Адвокат Миронов П.А.
node,6595949525,"Адвокатское бюро ""Имею право""","Адвакацкае бюро ""Маю права""","Адвокатское бюро ""Имею право"""
node,3307711277,Адвокатское бюро «Грань права»,Адвакацкае бюро «Грань права»,Адвокатское бюро «Грань права»
node,4667326195,Адвокатура г.Бобруйска,Адвакатура г.Бабруйска,Адвокатура г.Бобруйска
node,3260037091,Адвокаты,Адвакаты,Адвокаты
node,4469964489,Адвокаты,Адвакаты,Адвокаты
node,4916844321,Адвокаты,Адвакаты,Адвокаты
node,5104618525,Адвокаты,Адвакаты,Адвокаты
node,5333492574,Адвокаты,Адвакаты,Адвокаты
node,7524561213,Адвокаты,Адвакаты,Адвокаты
node,9951287213,Адвокаты,Адвакаты,Адвокаты
way,213052540,Адм здание РЭС,Адм будынак РЭС,Адм здание РЭС
node,3318883969,Аквадизайн,Аквадызайн,Аквадизайн
node,9076698995,Акцент,Акцэнт,Акцент
node,5296364821,Алвентус,Алвентус ТАА,Алвентус
node,8739759988,Алгоритмы безопасности,Алгарытмы бяспекі,Алгоритмы безопасности
node,7410695434,Алевит Инвест,Алевіт Інвест,Алевит Инвест
node,3279323701,Александрстройсервис,Аляксандрбудсэрвіс,Александрстройсервис
node,4954796823,Альта профиль,Альта профіль,Альта профиль
node,4586819289,Альтернатива,Альтэрнатыва,Альтернатива
node,4776288223,Альтернативные технологии,Альтэрнатыўныя тэхналогіі,Альтернативные технологии
node,4309158986,Альфа-Актив,Альфа-Актыў,Альфа-Актив
node,2626473188,Алютех,Алютэх,Алютех
node,5005288549,Амбер Фильм,Амбер Фільм,Амбер Фильм
way,238839990,Амбулатория,Амбулаторыя,Амбулатория
node,5017973325,Амкодор-КЭЗ,Амкадор-КЭЗ,Амкодор-КЭЗ
