osm_type,osm_id,name,name:be,name:ru
node,5305407176,1С Предприятие,,1С Предприятие
node,4645414775,Exins центр страхования,,Exins центр страхования
node,6388911376,Mitsubishi Electric - климатическая техника,,Mitsubishi Electric - климатическая техника
node,4586873476,OO Паралимпийский комитет РБ,,OO Паралимпийский комитет РБ
node,7634394398,OOO Креативфудс-восток,,OOO Креативфудс-восток
node,4528663827,Ph2 крепеж,,Ph2 крепеж
node,8909462841,WEB Секрет,,WEB Секрет
node,5515827623,«юхансан» дистрибутор,,«юхансан» дистрибутор
node,5564336574,Інтэрнэт-крама.by,,Інтэрнэт-крама.by
node,5218639921,Авангард недвижимость,,Авангард недвижимость
node,7036664200,Авидакэ,,Авидакэ
node,7634394409,АвтоДСтехно,,АвтоДСтехно
node,7036664202,Аграбела,,Аграбела
node,4890680322,"Адвокатское бюро ""ВМП Власова, Михель и Партнеры""",,"Адвокатское бюро ""ВМП Власова, Михель и Партнеры"""
node,4061475187,"Адвокатское бюро ""Право и семейная медиация""",,"Адвокатское бюро ""Право и семейная медиация"""
node,7036664203,Аиркул,,Аиркул
node,7036664205,АйТи-ПассБел,,АйТи-ПассБел
node,7036664204,Аймал,,Аймал
node,10566848244,Айронлайн,,Айронлайн
node,7036664206,Алиден-сервис,,Алиден-сервис
node,7036664207,Алнаир,,Алнаир
node,7036664210,Алнас Тур,,Алнас Тур
node,7036664201,Альфа Премиум,,Альфа Премиум
node,7036664208,Альфа Формат Групп,,Альфа Формат Групп
node,7036664209,АльфаГео,,АльфаГео
node,8567084520,Анвиском,,Анвиском
node,7036664211,Антэй,,Антэй
node,7036664212,АпексТех,,АпексТех
node,6362057286,Арбомастер,,Арбомастер
node,7036664213,АрвиТерра,,АрвиТерра
node,5248814722,Аренда юридического адреса,,Аренда юридического адреса
node,3933853917,Арт-центр «Крок»,,Арт-центр «Крок»
node,3553823725,Ассоциация инвалидов,,Ассоциация инвалидов
node,5457253238,Ассоциация предприятий индустрии микроклимата и холода,,Ассоциация предприятий индустрии микроклимата и холода
node,7036664214,Асферум,,Асферум
node,2503787642,БУД М,,БУД М
node,7036664221,БЦ Домашевский,,БЦ Домашевский
node,3862690895,Бел Хуавэй Технолоджис,,Бел Хуавэй Технолоджис
node,7036664215,БелКристаллСервис,,БелКристаллСервис
node,7820383057,БелЛекоЦентр,,БелЛекоЦентр
node,10779597499,БелСилон,,БелСилон
node,5705979023,БелЦТН,,БелЦТН
node,3947779371,Белгипрогаз,,Белгипрогаз
node,9271464582,Белдорцентр,,Белдорцентр
node,1099883871,Белинфонет,,Белинфонет
node,5567546716,Белорусское общество охотников и рыболовов,,Белорусское общество охотников и рыболовов
node,2503768429,Белорусское товарищество инвалидов по зрению Центральное правление,,Белорусское товарищество инвалидов по зрению Центральное правление
node,7036664217,Белстройцентр,,Белстройцентр
node,5392757824,Белтранстелеком,,Белтранстелеком
node,7036664219,БестАйТи,,БестАйТи
way,248455591,"Бизнес-центр ""Оптима""",,"Бизнес-центр ""Оптима"""
way,194057458,Бизнес-центр «Строим дом»,,Бизнес-центр «Строим дом»
node,7036664220,Биллитон сервис,,Биллитон сервис
node,8788336224,Биоконд,,Биоконд
node,6477949875,Бюро Переводов Натали центр,,Бюро Переводов Натали центр
node,4313589132,"Бюро переводов ""Всё Понятно""",,"Бюро переводов ""Всё Понятно"""
node,6258837103,ВОиП Лэнд,,ВОиП Лэнд
node,7036664222,ВебСфера,,ВебСфера
node,7036664223,ВелесСнабФуд,,ВелесСнабФуд
node,6817599244,ВетАльянс,,ВетАльянс
node,5781574011,Виаполь,,Виаполь
node,5282679522,Визутех Систем,,Визутех Систем
node,5670489985,Викар Эксклюзив,,Викар Эксклюзив
node,7036664225,Внешаудит,,Внешаудит
node,7036664226,Восток Запад Трейд,,Восток Запад Трейд
node,5159598831,Гарант Недвижимость,,Гарант Недвижимость
node,7036664227,Гарант Чистоты,,Гарант Чистоты
node,7036664228,Геолинвест,,Геолинвест
node,7477932786,ГерцБел,,ГерцБел
node,7036664229,Город Мечты,,Город Мечты
node,7036664230,Грымала,,Грымала
node,6588561585,Гудранк,,Гудранк
node,7036664231,Гюзаль,,Гюзаль
node,6278589486,Дадизайн,,Дадизайн
node,7036664232,Двипром,,Двипром
way,25390331,Департамент Хлебопродуктов ОАО ХлебСервис,,Департамент Хлебопродуктов ОАО ХлебСервис
node,6119241082,Джинсовая одежда оптом,,Джинсовая одежда оптом
node,7036664233,ДювасХолодАвто,,ДювасХолодАвто
node,7755848565,Е-Климат,,Е-Климат
node,7036664234,ЕвроОкнаПлюс,,ЕвроОкнаПлюс
node,2949617264,"ЗАО ""Платежная система БЕЛКАРТ""",,"ЗАО ""Платежная система БЕЛКАРТ"""
node,6417589355,ЗАО Белмеддоставка,,ЗАО Белмеддоставка
node,6400036885,ЗАСО Белнефтестрах,,ЗАСО Белнефтестрах
node,4780064749,"ЗСАО ""Ингосстрах""",,"ЗСАО ""Ингосстрах"""
node,7036664235,Здравкурорт,,Здравкурорт
node,7036664236,Интеллмедика,,Интеллмедика
node,5298003943,КЖ-ПРОЕКТ,,КЖ-ПРОЕКТ
node,5390532531,КИП-Эксперт,,КИП-Эксперт
node,4586873591,Квалитет лайн - окна ПВХ и алюминий,,Квалитет лайн - окна ПВХ и алюминий
node,6028966723,Квартира №17,,Квартира №17
node,7036664237,Квик Колл,,Квик Колл
node,5037599827,Коллиерз Интернешнл Беларусь,,Коллиерз Интернешнл Беларусь
node,7036664238,Коммонторг,,Коммонторг
node,4585612657,Компания 5 элемент,,Компания 5 элемент
node,7036664239,Консалт ТМ Групп,,Консалт ТМ Групп
node,5840133130,"Креативное агентство. Лекторий. ""Молоко""",,"Креативное агентство. Лекторий. ""Молоко"""
node,4585612656,КристаллТрейд,,КристаллТрейд
node,7036664240,Ксил-Игроленд,,Ксил-Игроленд
node,4586873589,Купала,,Купала
node,5087191389,"Курсы польского языка ""Polonias""",,"Курсы польского языка ""Polonias"""
node,7036664241,Кэндис Групп,,Кэндис Групп
way,162066281,ЛДД №143,,ЛДД №143
node,2503787648,ЛигатураПринт,,ЛигатураПринт
node,7036664242,Литоран Групп,,Литоран Групп
node,7036664243,Логистические перспективы,,Логистические перспективы
