osm_type,osm_id,name,name:be,name:ru
node,12358213141,1-я Спакойная вуліца,1-я Спакойная вуліца,1-я Спокойная улица
node,6771080435,«Побытавыя паслугі» КПП «Дашкаўка»,«Побытавыя паслугі» КПП «Дашкаўка»,«Быт услуги» КПП «Дашковка»
way,749328619,Інтэрнацыянальная вуліца,Інтэрнацыянальная вуліца,Интернациональная улица
node,4735785592,Інфармацыйныя парталы і сэрвісы,Інфармацыйныя парталы і сэрвісы,Информационные порталы и сервисы
node,4352180689,ААТ «Крупскі льнозавод»,ААТ «Крупскі льнозавод»,ОАО «Крупский льнозавод»
node,10859748916,Аграсядзіба квітнеючыя берагі,Аграсядзіба квітнеючыя берагі,Агроусадьба цветущие берега
way,416229412,Аграсядзіба “Вузлянка”,Аграсядзіба “Вузлянка”,Агроусадьба “Вузлянка”
way,376079970,Аддзяленне сацыяльнай адаптацыі і рэабілітацыі,Аддзяленне сацыяльнай адаптацыі і рэабілітацыі,Отделение социальной адаптации и реабилитации
node,849346737,Адміністратыўны корпус «Брэстгазаапарат»,Адміністратыўны корпус «Брэстгазаапарат»,Административный корпус «Брестгазоаппарат»
node,5439782381,Адміністрацыйны будынак,Адміністрацыйны будынак,Административное здание
way,388820054,Адміністрацыя,Адміністрацыя,Администрация
node,1694224440,Адміністрацыя ААТ «Агракамбінат «Дзяржынскі»,Адміністрацыя ААТ «Агракамбінат «Дзяржынскі»,Администрация ОАО «Агрокомбинат «Дзержинский»
node,6265767846,АлдіГрад,АлдіГрад,АлдиГрад
relation,610989,Амфітэатр,Амфітэатр,Амфитеатр
node,10830845036,Арэлі Паўла,Арэлі Паўла,Качели Павла
node,10856553761,Астравецкае ПМС,Астравецкае ПМС,Островецеое ПМС
node,5163067955,Атлецік. Фітнэс-клуб,Атлецік. Фітнэс-клуб,Атлетик. Фитнес-клуб
node,3773060122,Атрад пагранічнага кантролю «Мінск»,Атрад пагранічнага кантролю «Мінск»,Отряд пограничного контроля «Минск»
node,3649060824,Беларуская дзяржаўная акадэмія мастацтваў,Беларуская дзяржаўная акадэмія мастацтваў,Белорусская государственная академия искусств
