osm_type,osm_id,name,name:be,name:ru
node,6580990677,21 Век,21 Век,21 Век
node,5528931188,Азот,Азот,Азот
node,1679317320,Брод,Брод,Брод
node,3176283400,Брод,Брод,Брод
node,3347299178,Брод,Брод,Брод
node,7034502418,Брод,Брод,Брод
node,9290707856,Брод,Брод,Брод
way,505408217,Брод,Брод,Брод
way,611548808,Газ,Газ,Газ
way,391915076,Дамба,Дамба,Дамба
way,391915120,Дамба,Дамба,Дамба
way,391915264,Дамба,Дамба,Дамба
way,391915283,Дамба,Дамба,Дамба
way,391915480,Дамба,Дамба,Дамба
way,391915779,Дамба,Дамба,Дамба
node,7599688643,Донна Роза,Донна Роза,Донна Роза
node,2659277371,ЖЭС 43,ЖЭС 43,ЖЭС 43
node,3268843915,ЖЭС 85,ЖЭС 85,ЖЭС 85
node,275211090,КПП,КПП,КПП
node,275214946,КПП,КПП,КПП
node,306065153,КПП,КПП,КПП
node,306065157,КПП,КПП,КПП
node,306065164,КПП,КПП,КПП
node,306065166,КПП,КПП,КПП
node,306065178,КПП,КПП,КПП
node,306065244,КПП,КПП,КПП
node,306066874,КПП,КПП,КПП
node,306066938,КПП,КПП,КПП
node,5364073286,КПП 1,КПП 1,КПП 1
node,10856559034,КПП №1,КПП №1,КПП №1
node,10856544330,КПП №2,КПП №2,КПП №2
node,9960051571,КРМ 17,КРМ 17,КРМ 17
node,1267422657,Караоке-бар Опера,Караоке-бар Опера,Караоке-бар Опера
node,4508276286,Крафт,Крафт,Крафт
way,502921597,Лубень,Лубень,Лубень
node,6547191214,МелГран,МелГран,МелГран
node,5321645414,Млынок,Млынок,Млынок
node,5554430686,Планета,Планета,Планета
node,5327250510,Рассветная,Рассветная,Рассветная
node,3106552250,Софт Клуб,Софт Клуб,Софт Клуб
node,455895972,Танк Т-34-85,Танк Т-34-85,Танк Т-34-85
node,7961175605,Фатынь,Фатынь,Фатынь
node,5009618007,Холм,Холм,Холм
node,7882774371,Я сам!,Я сам!,Я сам!
