osm_type,osm_id,name,name:be,name:ru
way,1441813181,1 пасека,,
way,1441812967,1. 4 СКК,,
way,1441812968,1. 4 СКК,,
way,1441812770,1.МТК-600 4000 тонн,,
way,1441813058,10 Мелок,,
relation,19706399,10. Луговые,,
way,1441813324,10.Имховая Закальное 2000т.,,
relation,19706313,100 Дубиловка,,
way,1441813230,100 крыло,,
way,1441813368,101. Орехово 2024,,
way,1441813228,101.СЛАВКАЛИЙ,,
way,1441813045,101.жоровка огороды,,
relation,19706333,101Б.Зазерье,,
relation,19706363,102 борок водоем,,
way,1441812919,102.Камья,,
way,1441812920,102.Камья,,
way,1441813188,103 Барок,,
way,1441812804,103.БОРОК КЛАДБИЩЕ,,
relation,19706339,103.У маяка,,
way,1441813363,104 Барок Пляцовой луг,,
relation,19706392,105 Барок,,
way,1441813312,105.Березак,,
way,1441813233,106 ЖОВТНИК,,
way,1441813334,106.Зимник,,
way,1441812747,106/1 БОРОК СЛЕВА,,
way,1441813243,106/3БОРОК,,
way,1441813191,107.БОРОК,,
way,1441812921,107.Зимник,,
way,1441813089,108.БОРОК СПРАВА,,
way,1441812922,108.Оступ 1,,
way,1441813095,"109,БОРОК СПРАВА",,
way,1441812889,109.Оступ 2,,
way,1441812954,11.За складом,,
way,1441813088,110.ЗА ШОЛОХОМ,,
way,1441813362,110.Орехово 2024,,
way,1441813099,111 Барок КАРЬЕР,,
way,1441813170,112 Борок ферма,,
way,1441812608,112.Дубиловка,,
way,1441812805,113.ЗА КРУГЛЕНЕЙ,,
way,1441813461,113.Сморщево,,
way,1441812757,114 столбы,,
way,1441813207,115 Сад Жоровка,,
way,1441813019,116 Нефтебаза,,
way,1441813020,116 Нефтебаза,,
way,1441813316,116.Жатково,,
way,1441813098,117 За баней,,
way,1441813370,117.Жатково,,
way,1441813148,118 За мастерскими,,
way,1441812694,"118,1ЗА МАСТЕРСКИМИ",,
way,1441812941,118.Жаткова,,
way,1441813212,119 Дубиловка,,
way,1441812886,119.Сморщево,,
way,1441812812,"12,43 возле пастбищ",,
way,1441813445,12.За садиком,,
way,1441812863,12.Комплекс отрадное 800т.,,
relation,19706373,120 Дубиловка,,
way,1441812901,120.Сморщево,,
relation,19706369,121 За Макейчиком,,
way,1441813321,121.Белькевичево,,
way,1441812839,122 А СЛОБОДКА ОГОРОДЫ,,
way,1441813106,122 Слободка,,
way,1441812947,122.Сморщево,,
way,1441812948,122.Сморщево,,
way,1441812949,122.Сморщево,,
way,1441812673,122Б,,
way,1441812819,123 Борок,,
way,1441813452,123 За Слободкой,,
way,1441813430,123. Волище,,
way,1441813431,123. Волище,,
way,1441812897,123.Волище,,
way,1441812898,123.Волище,,
way,1441813076,124 ГОРЕЛОЕ,,
way,1441812818,124. Барок,,
way,1441813366,124.Ахрамовичево,,
way,1441812800,125. Закальное,,
way,1441813364,125. Сероокого хутор 2024,,
way,1441812798,126. Закальное,,
way,1441812814,127 За больницей,,
way,1441812945,127.Гора,,
way,1441812946,127.Гора,,
way,1441812670,127/1 ляховка пастбища,,
way,1441813358,128.Коптево,,
way,1441813360,128.Шепёновка,,
way,1441813083,129 Сплошное,,
way,1441813084,129 Сплошное,,
way,1441812944,129.Березина,,
way,1441812786,129.Шепёновка,,
way,1441812877,12А За садиком,,
way,1441813177,13 А МТФ Мордвиловичи,,
way,1441812846,13 Б МТФ Мордвиловичи,,
way,1441813407,13 За Семенченей,,
way,1441813025,13. Кооператив,,
way,1441812866,13.Комплекс отрадное 3000т.,,
relation,19706372,130 Маяк,,
way,1441813303,130.Дуга,,
way,1441813304,130.Дуга,,
way,1441812783,130ЦТФ,,
way,1441813434,131 За байкал,,
way,1441813130,131 Ляховка огороды,,
way,1441813317,131.Хапфонд,,
way,1441812768,131.аляховка огороды,,
way,1441813096,132 Працавицкое,,
way,1441812782,132. за кательной,,
way,1441812884,132.За каналом,,
way,1441813091,133 Працавицкое,,
way,1441812923,133.Осовец,,
way,1441812924,133.Осовец,,
way,1441812925,133.Осовец,,
way,1441812926,133.Осовец,,
way,1441812927,133.Осовец,,
relation,19706365,134 Працавицкое,,
way,1441812903,134.Закалье,,
way,1441812904,134.Закалье,,
way,1441812905,134.Закалье,,
relation,19706371,135 Терешкова поляна,,
