osm_type,osm_id,name,name:be,name:ru
node,7563923642,Аdметнасць,Адметнасць,
node,5439782381,Административное здание,Адміністрацыйны будынак,
way,131905430,Белорусский государственный университет транспорта,Будынак Аляксандраўскай гімназіі,
node,1263077866,Бухгалтерия,Бухгалтэрыя,
node,3257446395,Бывший фольварк Глинище,Глінішча,
node,4306153190,Винотека,Вінатэка,
node,9288898309,Воркаут,Варкаўт,
node,817798558,Детский дом инвалидов,Дзіцячы дом інвалідаў,
node,1104031010,Досвитак,Дасвітак,
node,1680492810,Комната школьника,Пакой школьніка,
way,376079970,Отделение социальной адаптации и реабилитации,Аддзяленне сацыяльнай адаптацыі і рэабілітацыі,
node,1188569163,Справочная,Даведкавая,
node,1188569261,Справочная,Даведкавая,
node,1304240347,Справочная,Даведкавая,
way,346345130,"Стела ""Минск-Город Герой""","Стэла ""Мінск-Горад Герой""",
node,4625446357,Хлебный Бор,Хлебны Бор,
node,2788685278,Хозяйственный двор Биспингов,Гаспадарчы двор Біспінгаў,
relation,3547914,"площадь""Почтальона""",Плошча Паштальёна,
