osm_type,osm_id,name,name:be,name:ru
node,2628873818,«АГАТ-системы управления»,,«АГАТ-системы управления»
node,8972951632,АКРОБАТиКА,,АКРОБАТиКА
node,3036605145,Авиакасса,,Авиакасса
node,1135035804,Авоська,,Авоська
way,876015589,Аллея славы,,Аллея славы
node,6109850609,Альфа аптека №19,,Альфа аптека №19
way,815916652,Антель,,Антель
node,6588797743,Арена,,Арена
way,782445613,Базовая школа №10,,Базовая школа №10
node,2269888431,БелЧип,,БелЧип
node,3392152514,Белинвестбанк. УРМ ЦБУ №228,,Белинвестбанк. УРМ ЦБУ №228
node,7028880404,Белювелирторг,,Белювелирторг
node,306067870,Блиндажная-1,,Блиндажная-1
node,306067942,Блиндажная-2,,Блиндажная-2
node,4970688114,Братская могила солдат ВОВ,,Братская могила солдат ВОВ
node,4909037941,Велком,,Велком
way,538851766,Весна-2,,Весна-2
node,4503162286,Вход,,Вход
node,5681272474,Вырубка,,Вырубка
way,225327892,Вырубка,,Вырубка
node,3518605204,Вышка сотовой связи,,Вышка сотовой связи
node,306069917,Вязинка,,Вязинка
way,391059846,Гардероб,,Гардероб
way,461178974,Гинекологическое отделение,,Гинекологическое отделение
node,4462988390,Гирос Кебаб,,Гирос Кебаб
way,383668449,Главный корпус,,Главный корпус
node,8981924510,Глусск,,Глусск
node,306062907,Глущицы,,Глущицы
node,5390569080,ДЭУ-25,,ДЭУ-25
node,4312277989,ДЮСШ,,ДЮСШ
node,4692666613,Детская консультация,,Детская консультация
way,817652169,Детский лагерь отдыха Журавинка,,Детский лагерь отдыха Журавинка
way,457985244,Детское приемное отделение,,Детское приемное отделение
node,5151964535,ДжонФёдор,,ДжонФёдор
node,6148137708,Джунгли,,Джунгли
node,4440280530,"Дом проката ""Нужные вещи""",,"Дом проката ""Нужные вещи"""
node,7660851063,Домино'с,,Домино'с
node,3747416170,Евдокия,,Евдокия
node,6457999813,Евроопт Минимаркет,,Евроопт Минимаркет
node,6457999880,Евроопт Минимаркет,,Евроопт Минимаркет
node,6458001294,Евроопт Минимаркет,,Евроопт Минимаркет
node,4576697150,ЖКХ Поставского района,,ЖКХ Поставского района
node,4819830625,ЖЭУ-7,,ЖЭУ-7
way,232130720,Железнодорожный вокзал станции Минск-Пассажирский,,Железнодорожный вокзал станции Минск-Пассажирский
node,6217351546,Женская Консультация,,Женская Консультация
node,3881452775,ЗТП,,ЗТП
node,2431139597,Задвижка,,Задвижка
node,2431139613,Задвижка,,Задвижка
way,312839039,Зона таможенного контроля,,Зона таможенного контроля
way,498655501,Иван Хруцкий,,Иван Хруцкий
node,6258536415,Ивафарм №14,,Ивафарм №14
node,3332483022,Игровые автоматы,,Игровые автоматы
node,3236313710,Кассы,,Кассы
node,5068828305,Кассы,,Кассы
node,5506320525,Квартира на сутки,,Квартира на сутки
way,395878714,Клинический корпус,,Клинический корпус
way,456642031,Клумба,,Клумба
node,306069920,Колбики,,Колбики
node,4382329896,Кристал,,Кристал
node,306068840,Куплино,,Куплино
node,306065349,Курган Белорусский,,Курган Белорусский
node,1795639536,Ларек,,Ларек
way,605831128,Леонардо да Винчи,,Леонардо да Винчи
way,383668439,Лечебно-диагностический корпус,,Лечебно-диагностический корпус
