osm_type,osm_id,name,name:be,name:ru
node,2797607538,Автовокзал Березино,,
way,243568604,Автовокзал Березино,,
way,210176703,Автостанция Дрибин,,
node,4381806292,Автостанция Круглое,,
way,209994676,Автостанция Круглое,,
way,77739222,Автостанция Марьина Горка,,
way,605027717,Автостанция Микашевичи,,
node,4381823492,Автостанция Наровля,,
relation,7582797,Автостанция Осиповичи,,
way,159172382,Автостанция Сенно,,
way,48187635,Автостанция Столбцы,,
way,202857448,Автостанция Стрешин,,
node,4398854900,Автостанция Тимковичи,,
node,6827879391,Касцюковічы - Цэнтральная,,
