osm_type,osm_id,name,name:be,name:ru
node,10244538277,"""Ул. Подольская""",,
node,10539694970,Аўтапарк № 8,,
node,10539694975,Аўтастанцыя,,
node,10539694971,Бальніца,,
node,10539694976,Гімназія,,
node,10539694969,ЖКХ,,
node,4843551233,Завітая,,
node,4843551234,Завітая,,
node,6077026432,Завітая-1,,
node,6077026433,Завітая-1,,
node,6076850305,Завітая-2,,
node,6077026455,Завітая-2,,
node,10539694972,Камсамольская,,
node,10539694973,Камсамольская,,
node,10538580899,Караліна,,
node,10538580900,Караліна,,
node,10536939322,Караліна-1,,
node,10536939323,Караліна-1,,
node,10538964942,Мелькавічы,,
node,10538964943,Мелькавічы,,
node,10538952443,Паварот на Ляхавічы,,
node,10538952444,Паварот на Ляхавічы,,
node,10538952445,Паварот на Ляхавічы,,
node,10538952441,Паварот на Нарэйкі,,
node,10538952442,Паварот на Нарэйкі,,
node,6077026409,Паварот на Саска Ліпку,,
node,10079567500,Паварот на Саска Ліпку,,
node,6598806595,Партызанская,,
node,10539694987,Партызанская,,
node,3881052502,Плошча,,
node,5790012874,Плошча,,
node,6138990965,Райаграсэрвіс,,
node,9576065396,Ракавічы,,
node,9576065397,Ракавічы,,
node,10539694985,Салигар,,
node,10539694986,Салигар,,
node,10539694983,Швейная фабрыка,,
node,10539694984,Швейная фабрыка,,
node,10539694974,Школа № 1,,
node,3903964687,Юшавічы,,
node,3903969419,Юшавічы,,
