osm_type,osm_id,name,name:be,name:ru
node,4908715647,Агракамбінат,,Агрокомбинат
node,4908715649,Агракамбінат,,Агрокомбинат
node,4398892297,"Аздараўленчы цэнтр ""Ждановічы""",,"Оздоровительный центр ""Ждановичи"""
node,4471727292,Бурштынавая РК,,Янтарная РК
node,4900144289,Валошкавая РК,,Васильковая РК
node,1551816611,Крыжавые,,Крыжовое
node,3116773029,Крыжавые,,Крыжовые
node,1551826629,Малая Валоўшчына,,Малая Воловщина
node,4880298727,Малая Валоўшчына,,Малая Воловщина
node,4925784806,Микуліна,,Микулино
node,4925784807,Микуліна,,Микулино
node,4880299826,Перхурава,,Перхурово
node,4908775145,Пціч-1,,Птичь-1
node,4908775146,Пціч-1,,Птичь-1
node,4908775149,Пціч-3,,Птичь-3
node,4908775150,Пціч-3,,Птичь-3
node,1782647199,РКМБР Аксакаўшчына,,РКМБР Аксаковщина
node,4969264086,РКМБР Аксакаўшчына,,РКМБР Аксаковщина
node,1909049331,"п/л ""Мір""",,п/л Мир
node,4398879915,"п/л ""Мір""",,п/л Мир
node,4880300021,пов. Волма,,Поворот на Волму
node,6115968278,пов. Волма,,Поворот на Волму
node,4825893521,с/т Кунцаўшчына,,с/т Кунцевщина
node,4907786056,с/т Кунцаўшчына,,с/т Кунцевщина
node,736868962,с/т Оптыка,,с/т Оптика
node,4895222250,с/т Пчолка,,с/т Пчёлка
node,4896380984,с/т Пчолка,,с/т Пчёлка
node,4895222225,с/т Раднік,,с/т Родник
node,4900109011,чыг. ст. Ратамка,,ж/д ст. Ратомка
