osm_type,osm_id,name,name:be,name:ru
node,9925370457,Богдюки,,Богдюки
node,10002500715,Бригантина,,Бригантина
node,10002500716,Бригантина,,Бригантина
node,5814945928,Выгоничи (р.к.),,Выгоничи (р.к.)
node,5496267367,Гортоп,,Гортоп
node,9955360300,ДРСУ,,ДРСУ
node,9955360303,ДРСУ,,ДРСУ
node,931687252,ДС3,,ДС3
node,4880299829,ДС3,,ДС3
node,4812934021,Домики,,Домики
node,8810043784,Дрозды-1,,Дрозды-1
node,8810043785,Дрозды-1,,Дрозды-1
node,3329744014,Дрозды-2,,Дрозды-2
node,3329744015,Дрозды-2,,Дрозды-2
node,10002654369,Дрозды-3,,Дрозды-3
node,10002654370,Дрозды-3,,Дрозды-3
node,2773132854,Еваровщина,,Еваровщина
node,2773132855,Еваровщина,,Еваровщина
node,4665638690,Жастиное,,Жастиное
node,5609981688,Кабельщик 1,,Кабельщик 1
node,5609981709,Кабельщик 1,,Кабельщик 1
node,10002504428,Кабельщик 2,,Кабельщик 2
node,10002504429,Кабельщик 2,,Кабельщик 2
node,9924460389,Каленковичи,,Каленковичи
node,9924460395,Каленковичи,,Каленковичи
node,7756900914,КимаБел,,КимаБел
node,7756900917,КимаБел,,КимаБел
node,6903486989,Кладбище,,Кладбище
node,10002654368,Кладбище,,Кладбище
node,6903487001,Кладбище-1,,Кладбище-1
node,6903487002,Кладбище-1,,Кладбище-1
node,5834919857,Косино (р.к.),,Косино (р.к.)
node,1320757732,Косынь-1,,Косынь-1
node,5989351224,Курганье (сельсовет),,Курганье (сельсовет)
node,5989354217,Курганье (сельсовет),,Курганье (сельсовет)
node,9955360311,Ленинская-1,,Ленинская-1
node,9955360309,Ленинская-2,,Ленинская-2
node,10002653053,Лукоморье-1,,Лукоморье-1
node,10002653054,Лукоморье-1,,Лукоморье-1
node,5609986574,Лукоморье-2,,Лукоморье-2
node,5609986576,Лукоморье-2,,Лукоморье-2
node,4398904293,"МТЗ ""Колодищи""",,"МТЗ ""Колодищи"""
node,4880299830,"Магазин ""Мэтр""",,"Магазин ""Мэтр"""
node,5336694523,"Магазин ""Мэтр""",,"Магазин ""Мэтр"""
node,4426499794,Малые Новоселки,,Малые Новоселки
node,4426577389,Малые Новоселки,,Малые Новоселки
node,4398887093,"Мемориальный комплекс ""Хатынь""",,"Мемориальный комплекс ""Хатынь"""
node,5609986492,Мерабель,,Мерабель
node,5609986493,Мерабель,,Мерабель
node,5308463883,Овощевод,,Овощевод
node,5801185178,"Оздоровит.комплекс ""Ислочь-Парк""",,"Оздоровит.комплекс ""Ислочь-Парк"""
node,5801186490,"Оздоровит.комплекс ""Ислочь-Парк""",,"Оздоровит.комплекс ""Ислочь-Парк"""
node,4358995693,Озеро,,Озеро
node,10002500708,Озеро,,Озеро
node,4398887299,Остановка для маршруток (С/т Лесные поляны),,Остановка для маршруток (С/т Лесные поляны)
node,5597928822,"Остановка для рабочих ""Смолевичи Бройлер""",,"Остановка для рабочих ""Смолевичи Бройлер"""
node,930569378,ПМН-4,,ПМН-4
node,1515361046,ПМН-4,,ПМН-4
node,5762159794,Пастухи,,Пастухи
node,5762160901,Пастухи,,Пастухи
node,9955360305,Переезд,,Переезд
node,9955360306,Переезд,,Переезд
node,2124794275,Петриловка,,Петриловка
node,2801176727,Петриловка,,Петриловка
node,4426261190,Потушки,,Потушки
node,4812934121,Профилакторий БНТУ,,Профилакторий БНТУ
node,10002654349,Прудок-1,,Прудок-1
node,10002654350,Прудок-1,,Прудок-1
node,10002654351,Прудок-1,,Прудок-1
node,4092334644,Прудок-2,,Прудок-2
node,10002654352,Прудок-2,,Прудок-2
node,9870539503,РДК,,РДК
node,5791486869,РКМЦ,,РКМЦ
node,4907787221,РЦК,,РЦК
node,8340225822,РЦК,,РЦК
node,4574587884,Развилка,,Развилка
node,7760642748,Развилка,,Развилка
node,4428075511,Республиканский Интернат Ветеранов Войны и Труда,,Республиканский Интернат Ветеранов Войны и Труда
node,4128458928,Робинзон-клуб,,Робинзон-клуб
node,7598716786,С Т Колос,,С Т Колос
node,1426157093,С/т Вишневка,,С/т Вишневка
node,4397917589,С/т Лукоморье,,С/т Лукоморье
node,4198523689,С/т Птицевод,,С/т Птицевод
node,4398854906,С/т Птицевод,,С/т Птицевод
node,455943009,С/т Селена,,С/т Селена
node,5060291026,С/т Селена,,С/т Селена
node,2340783501,С/т Экспресс,,С/т Экспресс
node,4948141721,"СТ ""Мара""",,"СТ ""Мара"""
node,4128458931,"Санаторий ""Юность""",,"Санаторий ""Юность"""
node,9870524468,Сельхозтехника,,Сельхозтехника
node,9870524471,Сельхозтехника,,Сельхозтехника
node,5589268062,Совхоз,,Совхоз
node,5834902259,Совхоз,,Совхоз
node,4348357792,Спасо-Евфросиниевский монастырь,,Спасо-Евфросиниевский монастырь
node,4348358991,Спасо-Евфросиниевский монастырь,,Спасо-Евфросиниевский монастырь
node,1938799528,"Станция ""Радошковичи""",,"Станция ""Радошковичи"""
node,9867501378,"Станция ""Радошковичи""",,"Станция ""Радошковичи"""
node,4880299924,Старое Село (Р-65),,Старое Село (Р-65)
node,4908903675,Старое Село (Р-65),,Старое Село (Р-65)
node,9955360314,Суд,,Суд
node,10002504422,Участок №11,,Участок №11
node,10002504423,Участок №11,,Участок №11
node,4359008697,Участок №3,,Участок №3
node,10002500704,Участок №3,,Участок №3
node,1045813323,Учгаз,,Учгаз
node,2801176739,Учгаз,,Учгаз
node,1577008680,Юный коммунар,,Юный коммунар
node,1577008690,Юный коммунар,,Юный коммунар
node,5834448942,Янушковичи (р.к.),,Янушковичи (р.к.)
node,6122841526,аг. Путчино,,аг. Путчино
node,6109898166,аг. Черкассы,,аг. Черкассы
node,10002239269,д.Загорины,,д.Загорины
node,10002504427,д.Загорины,,д.Загорины
node,10002395726,конечная Загорины,,конечная Загорины
node,10002504424,мкрн. 6 соток,,мкрн. 6 соток
node,10002504425,мкрн. 6 соток,,мкрн. 6 соток
node,3761490403,пер. Станция Мозырь,,пер. Станция Мозырь
node,10002851905,пер. Станция Мозырь,,пер. Станция Мозырь
node,5348820044,пов. Емельяново,,пов. Емельяново
node,5348820045,пов. Емельяново,,пов. Емельяново
node,4464924583,пов. Заречная,,пов. Заречная
node,4464924584,пов. Заречная,,пов. Заречная
node,6136527073,пов. Ляховка,,пов. Ляховка
node,3148685238,пов. Мышицы,,пов. Мышицы
node,3148685239,пов. Мышицы,,пов. Мышицы
node,5766341480,пов. Отрубок (Кр. Берёза),,пов. Отрубок (Кр. Берёза)
node,5766341505,пов. Отрубок (Кр. Берёза),,пов. Отрубок (Кр. Берёза)
node,4880299923,пов. Пионино,,пов. Пионино
node,6115964574,пов. Пионино,,пов. Пионино
node,1332071408,пов. Плашево,,пов. Плашево
node,6115987667,пов. Плашево,,пов. Плашево
node,5580419155,пов. Чеботари,,пов. Чеботари
node,5580481118,пов. Чеботари,,пов. Чеботари
node,5580419151,пов. Швабы,,пов. Швабы
node,5762121699,пов. Швабы,,пов. Швабы
node,6122905181,пов. д. Путчино,,пов. д. Путчино
node,6122905357,пов. д. Путчино,,пов. д. Путчино
node,6903487037,поворот Борисковичи,,поворот Борисковичи
node,8810113214,поворот Борисковичи,,поворот Борисковичи
node,6903487067,поворот Редька,,поворот Редька
node,6903487068,поворот Редька,,поворот Редька
node,3900473844,р/к Апутак,,р/к Апутак
node,4475626258,с.т. Спектр,,с.т. Спектр
node,5834974132,"с/к ""Гаяны""",,"с/к ""Гаяны"""
node,6116135451,"с/т ""Мара""",,"с/т ""Мара"""
node,6116149303,"с/т ""Мара""",,"с/т ""Мара"""
node,6062638316,"с/т ""Экспресс""",,"с/т ""Экспресс"""
node,3966893888,с/т Зорька,,с/т Зорька
node,4398919289,с/т Зорька,,с/т Зорька
node,2783041343,с/т Мара,,с/т Мара
node,4353846061,с/т Мара,,с/т Мара
node,4911405641,с/т Меддружба,,с/т Меддружба
node,4911405642,с/т Меддружба,,с/т Меддружба
node,4398892293,с/т Планета плюс,,с/т Планета плюс
node,5978225008,с/т Солнечное,,с/т Солнечное
node,5801182064,"санаторий ""Ислочь""",,"санаторий ""Ислочь"""
node,5801183072,"санаторий ""Ислочь""",,"санаторий ""Ислочь"""
node,1509866188,ул. Великая,,ул. Великая
node,1579496731,ул. Великая,,ул. Великая
node,1519370505,ул. Набережная,,ул. Набережная
node,1567817809,ул. Набережная,,ул. Набережная
node,1597976829,ул. Новая,,ул. Новая
node,1598836825,ул. Солнечная,,ул. Солнечная
