osm_type,osm_id,name,name:be,name:ru
node,10244538277,"""Ул. Подольская""",,
node,8772203112,Барадзіно,,
node,11048068057,Гуменікі,,
node,6812630953,Дубашынски двор,,
node,11048368522,Койры,,
node,11048368523,Койры,,
node,11048368524,Койры,,
node,11048368525,Койры,,
node,6781558261,Кублишчына,,
way,794743176,Ликеро-водочный завод,,
node,4147499162,Лукать,,
node,4147499163,Лукать,,
node,4494034531,Навасельцы,,
node,4662946113,Пераезд,,
way,794743170,Переезд,,
node,4663566828,Рашкаука,,
node,1706658425,Сяляткі,,
node,11047882798,Сяляткі,,
node,11048393578,Фалевічы,,
node,11048393580,Фалевічы,,
node,6356720046,Чапуки,,
node,6356720047,Чапуки,,
way,726921451,Чапуки,,
node,6507471192,Чэрасы,,
node,6507471193,Чэрасы,,
