osm_type,osm_id,name,name:be,name:ru
node,771956997,Аўтанавучальны камбінат,Аўтанавучыльны камбінат,Автоучебный комбинат
node,4727698290,Вуліца Паркавая,Вуліца паркавая,Улица парковая
node,4305671082,"ЗАО ""Пинскдрев""",Дзіцячая бібліятэка,Детская библиотека
node,5093109776,Завулак Прамысловы,Завулак Свіслацкі,Переулок Свислочский
node,1800931171,Княжыцы (школа),Княжыцы,Княжицы (школа)
node,1954276268,Княжыцы (школа),Княжыцы,Княжицы (школа)
node,7097848075,Колибань,Калыбань,Колыбань
node,1633691603,"Магазин ""Товары для дома""",Тавары для дома,Товары для дома
node,8938291135,"Магазин ""Товары для дома""",Тавары для дома,Товары для дома
node,1677877984,Паўднёвы,вуліца Скарыны,улица Скорины
node,7095852974,Пересадочна,Перасадачная,Пересадочная
node,8814618868,Прысна-1,Прысна,Присно
node,275144641,Пушкінскі праспект,праспект Пушкінскі,проспект Пушкинский
node,1788762133,Улица 8-го Марта,Вуліца 8-га Сакавіка,кинотеатр «Родина»
node,1488283917,Цэнтральны универмаг,Цэнтральны універмаг,Центральный универмаг
node,6996565393,в. Калінавая,Калінавая,Калиновая
node,12000333673,в. Калінавая,Калінавая,Калиновая
node,1483619849,в. Палавінны Лог,Палавінны Лог,д. Половинный Лог
