osm_type,osm_id,name,name:be,name:ru
node,1759649102,Кадетское училище,Кадэцкае вучылішча,Кадетское училище
node,10695382070,Кадетское училище,Кадэцкае вучылішча,Кадетское училище
node,470072181,Копыльская,Капыльская,Копыльская
node,4232270113,Крановый завод,Кранавы завод,Крановый завод
node,4232270114,Крановый завод,Кранавы завод,Крановый завод
node,12616152245,Лучники (Центр),Лучнікі (Цэнтр),Лучники (Центр)
node,12616135558,Лучники (школа),Лучнікі (школа),Лучники (школа)
node,12616153367,Лучники (школа),Лучнікі (школа),Лучники (школа)
node,12616160209,Лучники-1,Лучнікі-1,Лучники-1
node,4232270110,Магазин стройматериалов,Крама будматэрыялаў,Магазин стройматериалов
node,4232270111,Магазин стройматериалов,Крама будматэрыялаў,Магазин стройматериалов
