osm_type,osm_id,name,name:be,name:ru
way,500977824,Здание путейцев,,
way,316020724,К Пинскгаз,,
way,1332016540,МНПЗ,,
way,1332016541,МНПЗ,,
way,1332016530,Нафтазаводмантаж,,
way,1332016531,Нафтазаводмантаж,,
way,24947929,"Подъездной путь ""Гортопсбыт""",,
way,24947942,"Подъездной путь ""Гортопсбыт""",,
way,24947988,"Подъездной путь ""Гортопсбыт""",,
way,24948057,"Подъездной путь ""Гортопсбыт""",,
way,1229934872,"Подъездной путь ""Гортопсбыт""",,
way,24948085,"Подъездной путь ""Завод СММ""",,
way,24947968,"Подъездной путь ""Западная мини-ТЭЦ""",,
way,1332016532,Спіртагарэлачны завод,,
way,1332016533,Спіртагарэлачны завод,,
way,291368268,мойка,,
way,1247284048,мойка,,
way,225822469,обкаточный путь,,
way,290985892,обкаточный путь,,
