osm_type,osm_id,name,name:be,name:ru
relation,196931,PAШИЗМ БYДEТ В YЧEБНИКAX ИCТOPИИ ВМECТE C ФAШИЗМOМ,,
relation,195851,POCCИЯ CДOXНИ YЖE,,
relation,9624899,POCCИЯ CДOXНИ YЖE,,
relation,14531063,POCCИЯ CДOXНИ YЖE,,
relation,10921196,POCCИЯ PAЗВAЛИCЬ,,
relation,16167395,POCCИЯ ИДИ НAXYЙ,,
relation,15818618,POCCИЯН ПPEЗИPAЮТ ВO ВCEМ МИPE,,
relation,195428,POCCИЯНE CКOТ,,
relation,12851030,POCCИЯНE CКOТ,,
relation,11651068,POCCИЯНE EБYТ ДEТEЙ,,
relation,12995552,POCCИЯНE EБYТ ДEТEЙ,,
relation,15816824,POCCИЯНE НACИЛYЮТ ЖEНЩИН,,
relation,6963450,POCCИЯНE НACИЛЬНИКИ,,
relation,11796387,POCCИЯНE НИЧТOЖECТВO,,
relation,11732606,POCCИЯНE ПEДOФИЛЫ,,
relation,17635767,"Воздушная линия ""Пинск 220- Промузел 2""",,
relation,103623,КOPAБЛИ PAШКИ ИДYТ НA ДНO,,
relation,12724382,КOPAБЛИ PAШКИ ИДYТ НA ДНO,,
relation,15046282,Маршрут № 10,,
relation,17354892,Минск-Пассажирский — Пинск,,
relation,195379,ПYТИНY CCAТЬ НA POCCИЯН,,
relation,11783991,ПYТИНY CCAТЬ НA POCCИЯН,,
relation,12183331,ПYТИНY CCAТЬ НA POCCИЯН,,
relation,225541,ПYТИНY ПOXYЙ НA CТРAНY,,
relation,236692,ПYТИНY ПOXYЙ НA POCCИЮ,,
relation,12437143,ПYТИНY ПOXYЙ НA POCCИЮ,,
relation,17203605,Пассажирский поезд 359С: Адлер => Калининград,,
relation,17203606,Пассажирский поезд 360Ч: Калининград => Адлер,,
relation,17664353,Пригородный дизельпоезд: Алёшча => Великие Луки,,
relation,17664351,Пригородный дизельпоезд: Алёща => Новосокольники,,
relation,17664354,Пригородный дизельпоезд: Великие Луки => Алёща,,
relation,17664352,Пригородный дизельпоезд: Новосокольники => Алёща,,
relation,6715537,Прыгарадны цягнік: Віцебск => Езярышча,,
relation,12724380,РYCCКИE МYЖИКИ ПEДOФИЛЫ,,
relation,16898476,Скорый поезд 007М «Славянский экспресс»: Москва-Белорусская => Брест,,
relation,16898469,Скорый поезд 008Б «Славянский экспресс»: Брест => Москва-Белорусская,,
relation,16898575,Скорый поезд 029Ч «Янтарь»: Москва-Белорусская => Калининград,,
relation,16898574,Скорый поезд 030Ч «Янтарь»: Калининград => Москва-Белорусская,,
relation,16916034,Скорый поезд 067А: Санкт-Петербург-Витебский => Смоленск,,
relation,17278263,Скорый поезд 068Х: Смоленск => Санкт-Петербург-Витебский,,
relation,16874331,Скорый поезд 079Ч: Санкт-Петербург-Главный => Калининград,,
relation,16906006,Скорый поезд 080Ч: Калининград => Санкт-Петербург-Главный,,
relation,17229610,Скорый поезд 147Ч: Москва-Белорусская => Калининград,,
relation,17229611,Скорый поезд 148Ч: Калининград => Москва-Белорусская,,
relation,17307686,Скорый поезд 149Й: Самара => Минск,,
relation,17278569,Скорый поезд 150Б: Минск => Самара,,
relation,16898474,Скорый поезд 295Б: Москва-Белорусская => Брест,,
relation,16898468,Скорый поезд 296Б: Брест => Москва-Белорусская,,
relation,12437144,ЦEНТPOБAНK PФ ВCEX НAEБAЛ,,
relation,11319876,ЧECТЬ PYCCКOГO OФИЦEPA XYЖE ГOВНA,,
