osm_type,osm_id,name,name:be,name:ru
relation,4000212,"""Юго-Западная"" — Воложин",,"""Юго-Западная"" — Воложин"
relation,7635230,1 Вокзал-СХТ,,1 Вокзал-СХТ
relation,8899107,1 Железнодорожный вокзал - Районная больница,,1 Железнодорожный вокзал - Районная больница
relation,1539678,"1 КДП ""Молодежный"" - КДП ""1-РУ""",,"1 КДП ""Молодежный"" - КДП ""1-РУ"""
relation,1541905,"10 КДП ""Молодежный"" - Собор - Детский городок",,"10 КДП ""Молодежный"" - Собор - Детский городок"
relation,1562760,"10А КДП ""Молодёжный"" -магазин ""Кристалл"" - Детский городок",,"10А КДП ""Молодёжный"" -магазин ""Кристалл"" - Детский городок"
relation,7853960,"11 Вокзал - КДП ""Молодежный""",,"11 Вокзал - КДП ""Молодежный"""
relation,4231908,11 Примостовая-Стадион Спартак,,11 Примостовая-Стадион Спартак
relation,1541902,"11* микрорайон Покровка - КДП ""Молодежный""",,"11* микрорайон Покровка - КДП ""Молодежный"""
relation,7853961,11А Вокзал - Сады,,11А Вокзал - Сады
relation,7853958,11А* микрорайон Покровка - Сады,,11А* микрорайон Покровка - Сады
relation,7853962,"11В Вокзал - КДП ""Молодежный""",,"11В Вокзал - КДП ""Молодежный"""
relation,7853959,"11В* микрорайон Покровка - КДП ""Молодежный""",,"11В* микрорайон Покровка - КДП ""Молодежный"""
relation,7853963,11С Вокзал - Сады,,11С Вокзал - Сады
relation,4232097,12 Примостовая-улица Кирова,,12 Примостовая-улица Кирова
relation,1541906,"12 улица Набережная - Вокзал - КДП ""1-РУ""",,"12 улица Набережная - Вокзал - КДП ""1-РУ"""
relation,1541904,"13 КДП ""Молодежный"" - санаторий ""Берёзка"" - Вокзал",,"13 КДП ""Молодежный"" - санаторий ""Берёзка"" - Вокзал"
relation,1539942,"13М улица Октябрьская-3 - санаторий ""Берёзка"" - улица Набережная",,"13М улица Октябрьская-3 - санаторий ""Берёзка"" - улица Набережная"
relation,1756463,14: внешнее кольцо,,14: внешнее кольцо
relation,1539939,"15 КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка""",,"15 КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка"""
relation,7857359,"15А КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка"" - Детский сад №1",,"15А КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка"" - Детский сад №1"
relation,7857360,"15Б КДП ""Молодёжный"" - санаторий ""Берёзка""",,"15Б КДП ""Молодёжный"" - санаторий ""Берёзка"""
relation,7857361,"15В КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка"" - Больница спелеолечения",,"15В КДП ""Молодёжный"" - Вокзал - санаторий ""Берёзка"" - Больница спелеолечения"
relation,7857413,"16 КДП ""Молодёжный"" - санаторий ""Берёзка"" - Чижевичи",,"16 КДП ""Молодёжный"" - санаторий ""Берёзка"" - Чижевичи"
relation,4231933,16 Примостовая - станция Козенки,,16 Примостовая - станция Козенки
relation,4222319,18 Воинская часть-бульвар Страконицкого,,18 Воинская часть-бульвар Страконицкого
relation,1541903,"18 Вокзал - кладбище ""Дубеи""",,"18 Вокзал - кладбище ""Дубеи"""
relation,2234264,18 Чаловской - жд Вокзал,,18 Чаловской - жд Вокзал
relation,7857556,"18Д Вокзал - кладбище ""Дубеи""",,"18Д Вокзал - кладбище ""Дубеи"""
relation,7857557,19 Вокзал - Тычины - Поместье,,19 Вокзал - Тычины - Поместье
relation,4237784,19 Примостовая-рынок Славянский,,19 Примостовая-рынок Славянский
relation,7857558,19А Вокзал - Поместье,,19А Вокзал - Поместье
relation,1540097,"1А КДП ""Молодежный"" - КДП ""1-РУ""",,"1А КДП ""Молодежный"" - КДП ""1-РУ"""
relation,1540095,"1Б КДП ""Молодежный"" - КДП ""1-РУ""",,"1Б КДП ""Молодежный"" - КДП ""1-РУ"""
relation,7840479,"1В КДП ""Молодёжный"" - КДП ""1-РУ""",,"1В КДП ""Молодёжный"" - КДП ""1-РУ"""
relation,1540094,"1М КДП ""Молодежный"" - КДП ""1-РУ""",,"1М КДП ""Молодежный"" - КДП ""1-РУ"""
relation,7635231,2 Вокзал-СХТ,,2 Вокзал-СХТ
relation,1540096,"2 КДП ""Молодежный"" - 2-РУ",,"2 КДП ""Молодежный"" - 2-РУ"
relation,4222223,2 Примостовая-Военная часть,,2 Примостовая-Военная часть
relation,7857605,2 СКР 2-Ру - Краснослободский рудник,,2 СКР 2-Ру - Краснослободский рудник
relation,7838813,"2""О"" КДП ""Молодежный"" - 2-РУ",,"2""О"" КДП ""Молодежный"" - 2-РУ"
relation,4231960,20 Примостовая-рынок Славянский,,20 Примостовая-рынок Славянский
relation,1756476,201: Калинковичи - Мозырь,,201: Калинковичи - Мозырь
relation,1756477,201: Мозырь - Калинковичи,,201: Мозырь - Калинковичи
relation,4232016,21 Примостовая-МозырьСельМаш,,21 Примостовая-МозырьСельМаш
relation,4237340,22 Примостовая-Козенки,,22 Примостовая-Козенки
relation,4237785,23 Примостовая-Мозырьсельмаш,,23 Примостовая-Мозырьсельмаш
relation,5756954,24 Примостовая-станция Козенки,,24 Примостовая-станция Козенки
relation,7857595,"25 КДП ""Молодёжный"" - Краснослобоский рудник",,"25 КДП ""Молодёжный"" - Краснослобоский рудник"
relation,11290248,"25 Краснослободский рудник - КДП ""Молодежный""",,"25 Краснослободский рудник - КДП ""Молодежный"""
relation,7838807,"2А КДП ""Молодежный"" - 2-РУ",,"2А КДП ""Молодежный"" - 2-РУ"
relation,7838808,2Б Больница - 2-РУ,,2Б Больница - 2-РУ
relation,7838809,"2В КДП ""Молодежный"" - 2-РУ",,"2В КДП ""Молодежный"" - 2-РУ"
relation,7838900,"2В* КДП ""Молодежный"" - 2-РУ",,"2В* КДП ""Молодежный"" - 2-РУ"
relation,7838810,"2И КДП ""Молодежный"" - 2-РУ",,"2И КДП ""Молодежный"" - 2-РУ"
relation,7838811,"2М КДП ""Молодежный"" - 2-РУ",,"2М КДП ""Молодежный"" - 2-РУ"
relation,7838812,"2Н КДП ""Молодежный"" - 2-РУ",,"2Н КДП ""Молодежный"" - 2-РУ"
relation,1540140,"3 КДП ""Молодежный"" - 3-РУ",,"3 КДП ""Молодежный"" - 3-РУ"
relation,1540403,"3А КДП ""Молодежный"" - 3-РУ",,"3А КДП ""Молодежный"" - 3-РУ"
relation,4222530,3А Примостовая - завод ЖБИ,,3А Примостовая - завод ЖБИ
relation,1540408,"3Б КДП ""Молодежный"" - 3-РУ",,"3Б КДП ""Молодежный"" - 3-РУ"
relation,7841635,"3В КДП ""Молодёжный"" - 3-РУ",,"3В КДП ""Молодёжный"" - 3-РУ"
relation,7841636,"3И КДП ""Молодёжный"" - 3-РУ",,"3И КДП ""Молодёжный"" - 3-РУ"
relation,1540406,"3М КДП ""Молодежный"" - 3-РУ",,"3М КДП ""Молодежный"" - 3-РУ"
relation,7841637,"3Н КДП ""Молодёжный"" - 3-РУ",,"3Н КДП ""Молодёжный"" - 3-РУ"
relation,7635311,4 Вокзал - ККП - Завод ПЭМ,,4 Вокзал - ККП - Завод ПЭМ
relation,8899156,4 Улица Береговая - Железнодорожный вокзал,,4 Улица Береговая - Железнодорожный вокзал
relation,1756469,4: внутреннее кольцо,,4: внутреннее кольцо
relation,7635232,5 Вокзал-ЖД поликлиника-СХТ,,5 Вокзал-ЖД поликлиника-СХТ
relation,4232096,5 Примостовая - мкрн Октябрьский,,5 Примостовая - мкрн Октябрьский
relation,1540407,"5 Санаторий ""Берёзка"" - КДП 1-РУ",,"5 Санаторий ""Берёзка"" - КДП 1-РУ"
relation,1540405,"5А Санаторий ""Берёзка"" - КДП 1-РУ",,"5А Санаторий ""Берёзка"" - КДП 1-РУ"
relation,7853484,5Б Проспект Мира - КДП 1-РУ,,5Б Проспект Мира - КДП 1-РУ
relation,7853485,"5В Санаторий ""Берёзка""-1 - КДП 1-РУ",,"5В Санаторий ""Берёзка""-1 - КДП 1-РУ"
relation,7853486,5Л Больница спелеолечения - КДП 1-РУ,,5Л Больница спелеолечения - КДП 1-РУ
relation,7843795,"6 КДП ""Молодёжный"" - Берёзовский рудник",,"6 КДП ""Молодёжный"" - Берёзовский рудник"
relation,4203010,6 площадь Примостовая-мкрн Заречный,,6 площадь Примостовая-мкрн Заречный
relation,7635313,6* Вокзал - Завод ПЭМ - ККП,,6* Вокзал - Завод ПЭМ - ККП
relation,7635312,6** Вокзал - Завод ПЭМ,,6** Вокзал - Завод ПЭМ
relation,7635233,6*** Вокзал-Лицей,,6*** Вокзал-Лицей
relation,7843545,"64 КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ",,"64 КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ"
relation,7843546,"64А КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ",,"64А КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ"
relation,7843547,"64Б КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ",,"64Б КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ"
relation,7843548,"64В КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ",,"64В КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ"
relation,7843549,"64Н КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ",,"64Н КДП ""Молодёжный"" - 4-РУ - ЦМЭЛ"
relation,1540139,"65 КДП ""Молодёжный"" - 4-РУ",,"65 КДП ""Молодёжный"" - 4-РУ"
relation,7843616,"65А КДП ""Молодёжный"" - 4-РУ",,"65А КДП ""Молодёжный"" - 4-РУ"
relation,7843617,"65Б КДП ""Молодёжный"" - 4-РУ",,"65Б КДП ""Молодёжный"" - 4-РУ"
relation,7843618,"65В КДП ""Молодёжный"" - 4-РУ",,"65В КДП ""Молодёжный"" - 4-РУ"
relation,7843619,"65Н КДП ""Молодёжный"" - 4-РУ",,"65Н КДП ""Молодёжный"" - 4-РУ"
relation,7635283,6и Вокзал - АП-10,,6и Вокзал - АП-10
relation,4222386,7 Примостовая-мкрн Октябрьский,,7 Примостовая-мкрн Октябрьский
relation,7853589,"8 Магазин Юбилейный - КДП ""1-РУ""",,"8 Магазин Юбилейный - КДП ""1-РУ"""
relation,4222385,8 б-р Страконицкий - ул. Бумажкова,,8 б-р Страконицкий - ул. Бумажкова
relation,6438244,8 бул. Страконицкий - ул. Заслонова,,8 бул. Страконицкий - ул. Заслонова
relation,7853590,"8А КДП ""1-РУ"" - Вокзал - Магазин Кристалл - КДП ""1-РУ""",,"8А КДП ""1-РУ"" - Вокзал - Магазин Кристалл - КДП ""1-РУ"""
relation,4211351,9 Примостовая-Новики,,9 Примостовая-Новики
relation,1540404,"9 микрорайон Покровка - санаторий ""Берёзка""",,"9 микрорайон Покровка - санаторий ""Берёзка"""
relation,7853742,"9А микрорайон Покровка - санаторий ""Берёзка"" - Детский сад №1",,"9А микрорайон Покровка - санаторий ""Берёзка"" - Детский сад №1"
relation,7853743,"9Б микрорайон Покровка - санаторий ""Берёзка""-1",,"9Б микрорайон Покровка - санаторий ""Берёзка""-1"
relation,9043752,А 2 Криница - Оржоникидзе,,А 2 Криница - Оржоникидзе
relation,11694046,А1 База ОПС - Кладбище Русино,,А1 База ОПС - Кладбище Русино
relation,11559978,А1 Кладбище Русино - Красноармейская,,А1 Кладбище Русино - Красноармейская
