osm_type,osm_id,name,name:be,name:ru
relation,11559979,Автобус 21,,
relation,11559929,Автобус 23,,
relation,11694195,Автобус 3,,
relation,11694306,Автобус 4,,
relation,7511613,Автобус 5: Полоцк - Новополоцк (через Экимань),,
relation,1735552,Автобус N4,,
relation,1756923,Автобус N8,,
relation,2882967,Автобус № 1,,
relation,5683592,Автобус № 1,,
relation,1762235,"Автобус № 1 ""Натальевск - Кольцевая""",,
relation,2884629,Автобус № 10,,
relation,2881366,Автобус № 11,,
relation,5684242,Автобус № 11,,
relation,2881367,Автобус № 12,,
relation,2886220,Автобус № 13,,
relation,7580351,Автобус № 135,,
relation,10794729,Автобус № 139. ДС Калиновского - Танковая,,
relation,2886221,Автобус № 14,,
relation,5505596,Автобус № 14,,
relation,2886219,Автобус № 15,,
relation,2126553,Автобус № 16Э,,
relation,2887382,Автобус № 18,,
relation,2887380,Автобус № 19,,
relation,2882965,Автобус № 2,,
relation,1762216,"Автобус № 2 ""Сельхозтехника - Кольцевая""",,
relation,2886451,Автобус № 20,,
relation,2904247,Автобус № 20Э,,
relation,2896210,Автобус № 21,,
relation,7544657,"Автобус № 218Э ""АС Автозаводская - Дубровка""",,
relation,2896697,Автобус № 21Э,,
relation,2915986,Автобус № 22,,
relation,2916094,Автобус № 23,,
relation,2902947,Автобус № 25,,
relation,2925566,Автобус № 25Э,,
relation,2895926,Автобус № 26,,
relation,5718737,Автобус № 26,,
relation,2998241,Автобус № 27,,
relation,5679370,Автобус № 27,,
relation,2929155,Автобус № 29,,
relation,2882964,Автобус № 3,,
relation,7616128,"Автобус № 300Э ""АВ Центральный - Национальный Аэропорт ""Минск""""",,
relation,7547819,"Автобус № 303 ""АС Автозаводская - пос. Привольный""",,
relation,2896698,Автобус № 34,,
relation,2896699,Автобус № 35,,
relation,2916017,Автобус № 36,,
relation,2925568,Автобус № 37Э,,
relation,3105468,Автобус № 39,,
relation,2882966,Автобус № 4,,
relation,2946691,Автобус № 40Э,,
relation,7581582,Автобус № 41,,
relation,7581584,Автобус № 43,,
relation,8043990,Автобус № 43: Большевик-Вокзал,,
relation,2895927,Автобус № 46,,
relation,7581583,Автобус № 47,,
relation,8037777,Автобус № 5: мкр. «Клёнковский» - Завод литья и нормалей,,
relation,2884630,Автобус № 6,,
relation,12630395,Автобус № 640: Великие Луки <=> Витебск,,
relation,8038099,Автобус № 6: Колледж художественных промыслов - Вокзал,,
relation,2884633,Автобус № 7,,
relation,5506384,Автобус № 7,,
relation,2884632,Автобус № 8,,
relation,8040152,Автобус № 8: Мильча - Вокзал,,
relation,2884631,Автобус № 9,,
relation,75826,Автобус №1,,
relation,7890133,Автобус №1,,
relation,945874,Автобус №10,,
relation,954693,Автобус №100,,
relation,8749148,Автобус №101,,
relation,954644,Автобус №102,,
relation,7937903,Автобус №103,,
relation,7962484,Автобус №104,,
relation,954748,Автобус №105,,
relation,954706,Автобус №106,,
relation,8020337,Автобус №107,,
relation,954583,Автобус №108,,
relation,11019329,Автобус №108б,,
relation,9403362,Автобус №108д,,
relation,11019338,Автобус №108п,,
relation,8752490,Автобус №109,,
relation,2219405,Автобус №10Т: Руденск - Дружный - Свичлочь,,
relation,9402110,Автобус №11,,
relation,954689,Автобус №11 - ДС Веснянка - Маршала Лосика - ДС Веснянка,,
relation,954570,Автобус №111,,
relation,954281,Автобус №112с,,
relation,9048917,Автобус №113а,,
relation,9048927,Автобус №113с,,
relation,8028884,Автобус №114с,,
relation,10590323,Автобус №115э - Вокзал - Тубдиспансер,,
relation,9422774,Автобус №116,,
relation,11019334,Автобус №117д,,
relation,10232367,Автобус №117с - ДС Чижовка - ДС Дражня,,
relation,11019332,Автобус №119с,,
relation,954646,Автобус №12,,
relation,8061766,Автобус №120,,
relation,11019337,Автобус №120д,,
relation,954270,Автобус №121,,
relation,9410181,Автобус №122э,,
relation,9417312,Автобус №124,,
relation,954262,Автобус №126 - Масюковщина - ДС Одоевского,,
relation,954264,Автобус №127,,
relation,9417820,Автобус №128 - Каменная горка-4-ст.м.Каменная горка,,
relation,11019333,Автобус №129,,
relation,949539,Автобус №13,,
relation,954261,Автобус №130 - ДС Одоевского - ТЦ Ждановичи,,
relation,8066213,Автобус №132,,
relation,11019330,Автобус №133,,
relation,8029721,Автобус №134с,,
relation,954630,Автобус №136,,
relation,10814357,Автобус №137 - ДС Кунцевщина - Водоочистительная станция,,
relation,10078723,Автобус №138 - ДС Кунцевщина - Промузел Западный,,
relation,3745367,Автобус №14,,
relation,10237453,Автобус №140 - ДС Сухарево-5 - ТЦ Ждановичи,,
relation,9410204,Автобус №141,,
relation,11019336,Автобус №141а,,
relation,11019331,Автобус №141б,,
relation,9410282,Автобус №142,,
relation,8038591,Автобус №144с,,
relation,8876678,Автобус №145с,,
relation,8876855,Автобус №146с,,
relation,8018450,Автобус №147,,
relation,8017380,Автобус №148с,,
relation,8877222,Автобус №149,,
relation,946564,Автобус №15,,
relation,8061100,Автобус №150,,
relation,9073303,Автобус №151э,,
relation,9356577,Автобус №152с - Каменная горка-5 - ДС Одоевского (Малыш),,
relation,7527564,Автобус №153,,
relation,8865869,Автобус №153д,,
relation,954596,Автобус №154,,
relation,954741,Автобус №155,,
relation,9410317,Автобус №156с,,
relation,954656,Автобус №157,,
relation,8866709,Автобус №158,,
relation,954577,Автобус №159,,
relation,954597,Автобус №15д,,
relation,954742,Автобус №16,,
relation,8865267,Автобус №160,,
relation,8865264,Автобус №160а,,
relation,8865250,Автобус №161,,
relation,8865246,Автобус №161а,,
relation,8865239,Автобус №161с,,
relation,8865207,Автобус №162,,
relation,954723,Автобус №163,,
relation,954712,Автобус №165,,
relation,8084766,Автобус №166,,
relation,8862270,Автобус №168,,
relation,8862265,Автобус №168а,,
relation,9417713,Автобус №17,,
relation,954638,Автобус №170э,,
relation,954631,Автобус №172э,,
relation,8861275,Автобус №173э,,
relation,8904874,Автобус №175э,,
relation,8063828,Автобус №176э,,
relation,8861027,Автобус №177э,,
relation,954663,Автобус №18,,
relation,8029683,Автобус №180с,,
relation,11019335,Автобус №181с,,
relation,8860865,Автобус №181э,,
relation,8860859,Автобус №183с,,
relation,8860855,Автобус №184с,,
relation,8860847,Автобус №185с,,
relation,8860836,Автобус №186,,
relation,8850931,Автобус №187,,
relation,8850885,Автобус №188с,,
relation,8843019,Автобус №189э,,
relation,8842986,Автобус №190э,,
relation,954681,Автобус №191,,
relation,8081395,Автобус №196с,,
relation,8850254,Автобус №198э,,
relation,8847891,Автобус №199с,,
relation,1767220,Автобус №1: Вокзал - Тимоново,,
relation,9435653,Автобус №1в,,
relation,3510628,Автобус №2,,
relation,7606224,Автобус №20: Подкастельцы - Автовокзал,,
relation,954578,Автобус №20с,,
relation,954724,Автобус №21,,
relation,954718,Автобус №22,,
relation,8068273,Автобус №23,,
relation,954676,Автобус №24,,
relation,949535,Автобус №25,,
relation,954591,Автобус №26,,
relation,954700,Автобус №27 - ДС Ангарская-4 - Сосновый Бор,,
relation,954657,Автобус №27д,,
relation,8023323,Автобус №28,,
relation,9418935,Автобус №29,,
relation,3017363,Автобус №2: Дер. Повишни – дер. Краковка,,
relation,1767219,Автобус №2: Хотень - Тимоново,,
relation,75835,Автобус №2с,,
relation,3531063,Автобус №3,,
relation,8020356,Автобус №30с,,
relation,954629,Автобус №31,,
relation,8067958,Автобус №32с,,
relation,74453,Автобус №33,,
relation,954697,Автобус №34,,
relation,954654,Автобус №35,,
relation,954611,Автобус №36,,
relation,954569,Автобус №37,,
relation,9417709,Автобус №38,,
relation,11016174,Автобус №38т,,
relation,954711,Автобус №39,,
relation,75849,Автобус №3с,,
relation,75867,Автобус №4,,
relation,3506866,Автобус №4,,
relation,8029643,Автобус №40,,
relation,954625,Автобус №41 - ДС Одоевского - Каменная Горка-5,,
relation,954733,Автобус №42,,
relation,9444868,Автобус №43 - ДС Дружная - Степянка,,
relation,954649,Автобус №43д,,
relation,954641,Автобус №44,,
relation,8013197,Автобус №45,,
relation,954745,Автобус №46,,
relation,9446624,Автобус №46т,,
relation,8020683,Автобус №47с,,
relation,8028822,Автобус №48,,
relation,954580,Автобус №49,,
relation,9011907,Автобус №4д,,
relation,3506789,Автобус №5,,
relation,8063129,Автобус №50с,,
relation,8420076,Автобус №51,,
relation,954684,Автобус №52,,
relation,8015136,Автобус №53,,
relation,7277776,Автобус №54,,
relation,954594,Автобус №55,,
relation,954660,Автобус №56,,
relation,8066046,Автобус №57,,
relation,954575,Автобус №58,,
relation,954721,Автобус №59,,
relation,9015471,Автобус №5д,,
relation,954665,Автобус №5э,,
relation,3530685,Автобус №6,,
relation,8063016,Автобус №6,,
relation,7278551,Автобус №60 - ДС Запад-3 - ТЦ Ждановичи,,
relation,954605,Автобус №61,,
relation,954751,Автобус №62э - ДС Запад-3 - Новинки,,
relation,7527180,Автобус №63,,
relation,8080907,Автобус №64,,
relation,954586,Автобус №65,,
relation,954690,Автобус №67,,
relation,954685,Автобус №68,,
relation,954642,Автобус №68в,,
relation,954600,Автобус №69,,
relation,3530703,Автобус №6А,,
relation,1751550,Автобус №7,,
relation,8017138,Автобус №7,,
relation,954746,Автобус №70,,
relation,9048960,Автобус №71,,
relation,954666,Автобус №72,,
relation,954623,Автобус №72д,,
relation,8063653,Автобус №73,,
relation,8081242,Автобус №74с,,
relation,8067995,Автобус №75,,
relation,954573,Автобус №77,,
relation,9418655,Автобус №78,,
relation,954677,"Автобус №79: ""АС Автозаводская - Вокзал""",,
relation,954743,Автобус №79д,,
relation,1751551,Автобус №7а,,
relation,8017137,Автобус №7а,,
relation,75893,Автобус №8,,
relation,954701,Автобус №80,,
relation,9368036,Автобус №81э,,
relation,8029771,Автобус №82с,,
relation,8066419,Автобус №84,,
relation,954568,Автобус №85с,,
relation,954714,Автобус №86,,
relation,954671,Автобус №87с - ДС Зелёный Луг-6 - АС Автозаводская,,
relation,8029544,Автобус №88с,,
relation,9404809,Автобус №89э - ДС Уручье-2 - ТЦ Ждановичи,,
relation,75902,Автобус №9,,
relation,9370323,Автобус №91,,
relation,5671263,Автобус №921,,
relation,7527514,Автобус №929,,
relation,954608,Автобус №93,,
relation,9336027,Автобус №947,,
relation,954566,Автобус №94с,,
relation,8061079,Автобус №96,,
relation,8020265,Автобус №97,,
relation,5855945,Автобус №98с,,
relation,954734,Автобус №99,,
relation,75903,Автобус №9д,,
relation,1756920,Автобус № 1,,
relation,7734078,Автозаводская линия,,
relation,2064921,Автостанция-Новая Заря,,
relation,954710,Автоубус №83э,,
relation,2650114,"Аграрный колледж - микрорайон ""Южный""",,
relation,14893981,Аўтобус 2а,,
relation,7887873,Гомель-Бацунь,,
relation,7885916,Гомель-Борченки,,
relation,7817929,Гомель-Борщовка,,
relation,7796622,Гомель-Брагин,,
relation,7796670,Гомель-Брагин,,
relation,7796707,Гомель-Брагин,,
relation,7873857,Гомель-Брянск,,
relation,7889757,Гомель-Буда-Кошелево,,
relation,7889857,Гомель-Буда-Кошелево,,
relation,8048612,Гомель-Галеевка,,
relation,7800977,Гомель-Горки,,
relation,7838979,Гомель-Добруш,,
relation,7814926,Гомель-Ельск,,
relation,7823787,Гомель-Комарин,,
relation,7837452,Гомель-Корма,,
relation,7838337,Гомель-Корма,,
relation,7838894,Гомель-Костюковичи,,
relation,7842968,Гомель-Кричев,,
relation,7852811,Гомель-Лельчицы,,
relation,7854581,Гомель-Лельчицы,,
relation,7848482,Гомель-Новополоцк,,
relation,7859109,Гомель-Октябрьский,,
relation,7867595,Гомель-Октябрьский,,
relation,7879080,Гомель-Орёл,,
relation,7873822,Гомель-Речица,,
relation,7874230,Гомель-Рогачев,,
relation,7874643,Гомель-Рогачев,,
relation,7932972,Гомель-Санкт-Петербург,,
relation,7885328,Гомель-Смычек,,
relation,7966919,Гомель-Солигорск,,
relation,2650031,Лесхоз - Консервный завод,,
relation,2952093,Маршрутное такси № 1,,
relation,2901540,Маршрутное такси № 10,,
relation,2930844,Маршрутное такси № 11,,
relation,2901539,Маршрутное такси № 12,,
relation,2901538,Маршрутное такси № 17,,
relation,2902829,Маршрутное такси № 18,,
relation,2901002,Маршрутное такси № 2,,
relation,3495416,Маршрутное такси № 22,,
relation,2930949,Маршрутное такси № 3,,
relation,2902788,Маршрутное такси № 32,,
relation,2904177,Маршрутное такси № 35,,
relation,2941707,Маршрутное такси № 8,,
relation,2072097,Марьина Горка - Минск,,
relation,2082238,Марьина Горка - Пуховичи,,
relation,2082243,Марьина Горка — Дубровка,,
relation,2643582,"Микрорайон ""Солнечный"" - Мясокомбинат",,
relation,2650082,"Микрорайон ""Солнечный"" - улица Новопроектная",,
relation,2650150,"Микрорайон ""Солнечный"" - улица Рокоссовского",,
relation,2650176,"Микрорайон ""Южный"" - Очистные сооружения",,
relation,2082239,Новая Заря - Криница,,
relation,9983669,Полоцк — Поставы,,
relation,3550845,Речица-Горваль,,
relation,1756408,Трамвай СТ,,
relation,3823370,Трамвай № 1,,
relation,3823520,Трамвай № 2,,
relation,3822945,Трамвай № 3,,
relation,3824263,Трамвай № 6,,
relation,3823035,Трамвай № 7,,
relation,3824316,Трамвай № 8,,
relation,3824285,Трамвай № 9,,
relation,8810705,Трамвай №11: Д/C Зелёный Луг — пр-т Независимости,,
relation,6820173,"Трамвай №3: ""ДС Озеро - Д/С Серебрянка""",,
relation,7569032,"Трамвай №4: ""ДС Озеро - пл. Мясникова""",,
relation,75939,Трамвай №5: Д/С Озеро - Д/С Зелёный Луг,,
relation,75919,Трамвай №6: Д/С Зелёный Луг - Д/С Серебрянка,,
relation,7571262,"Трамвай №7: ""ДС Серебрянка - пл.Мясникова""",,
relation,6802766,Трамвай №9,,
relation,1756625,Троллейбус 4,,
relation,1756647,Троллейбус 6,,
relation,2904296,Троллейбус № 1,,
relation,2904298,Троллейбус № 10,,
relation,3852046,Троллейбус № 10,,
relation,2908403,Троллейбус № 11,,
relation,7353603,Троллейбус № 11,,
relation,2904297,Троллейбус № 12,,
relation,8971228,Троллейбус № 12,,
relation,2924884,Троллейбус № 13,,
relation,2904331,Троллейбус № 14,,
relation,2924929,Троллейбус № 15,,
relation,2917179,Троллейбус № 16,,
relation,2924928,Троллейбус № 17,,
relation,2908404,Троллейбус № 2,,
relation,3850254,Троллейбус № 2,,
relation,2908409,Троллейбус № 3,,
relation,3850314,Троллейбус № 3,,
relation,2908407,Троллейбус № 4,,
relation,3850357,Троллейбус № 4,,
relation,2908406,Троллейбус № 5,,
relation,3850421,Троллейбус № 5,,
relation,2908405,Троллейбус № 6,,
relation,3851097,Троллейбус № 6,,
relation,3851141,Троллейбус № 7,,
relation,2904332,Троллейбус № 8,,
relation,3851353,Троллейбус № 8,,
relation,2908408,Троллейбус № 9,,
relation,3852014,Троллейбус № 9,,
relation,1757516,Троллейбус №10,,
relation,8081176,Троллейбус №10,,
relation,7911097,"Троллейбус №10 ""Вокзал-Завод самоходных комбайнов""",,
relation,1757517,Троллейбус №11,,
relation,7917711,"Троллейбус №11 ""Завод литья и нормалей-Технический университет""",,
relation,7911206,"Троллейбус №12 ""Солнечная-Гидропривод""",,
relation,954606,"Троллейбус №12: ""ДС Лермонтова - пл. Бангалор""",,
relation,954752,Троллейбус №13,,
relation,954747,Троллейбус №14 - Д/С Масюковщина - Городской вал,,
relation,7915342,"Троллейбус №15 ""Вокзал-Волотова""",,
relation,4456008,Троллейбус №15 - Д/С Лошица - Д/С Дражня,,
relation,7917773,"Троллейбус №16 ""Вокзал-микрорайон ""Кленковский""",,
relation,954705,Троллейбус №16 - Д/С Чижовка-1 - Вокзал,,
relation,7917828,"Троллейбус №17 ""стадион ""Гомесльмаш""-микрорайон ""Кленковский""",,
relation,954662,Троллейбус №17 - Д/С Дражня - Чижовка-6,,
relation,7963303,"Троллейбус №18 ""стадион ""Гомесльмаш-завод ""Крісталл""",,
relation,7966888,"Троллейбус №19 ""Солнечная-Вокзал""",,
relation,8023529,Троллейбус №19 - ДС Серебрянка - ДС Курасовщина,,
relation,14722693,"Троллейбус №1: ""Областная больница – Автовокзал""",,
relation,14723716,"Троллейбус №2 - Дворец спорта ""Виктория"" - Свердлова",,
relation,8003859,"Троллейбус №20 ""Солнечная-Гидропривод""",,
relation,954686,Троллейбус №20 - Д/С Серебрянка - Вокзал,,
relation,8004378,"Троллейбус №21 ""Завод самоходных комбайнов-Волотова""",,
relation,954601,Троллейбус №22 - Д/С Карастояновой – ст.м. пл.Я.Коласа,,
relation,7896640,"Троллейбус №23 ""Химзавод-Волотова""",,
relation,954702,Троллейбус №24 - ДС Лошица-2 - ДС Серебрянка,,
relation,7900885,"Троллейбус №25 ""Солнечная-микрорайон ""Кленковский""",,
relation,8066013,Троллейбус №25 - ДС Кунцевщина - ДС Малиновка-4,,
relation,954659,Троллейбус №26 - Д/С Чижовка-1 - ст.м. Автозаводская,,
relation,8014216,Троллейбус №27 - Д/С Курасовщина - Д/С Дружная,,
relation,2625035,Троллейбус №2: Сикорского - Вокзал,,
relation,1757518,Троллейбус №3,,
relation,7901589,"Троллейбус №3 ""Завод ""Кристалл""-Солнечная""",,
relation,14724184,"Троллейбус №3 - Дворец спорта ""Виктория"" - Свердлова",,
relation,954640,Троллейбус №30 - ДС Малинина - Вокзал,,
relation,8065918,Троллейбус №31 - ДС Кунцевщина - ДС Семашко,,
relation,8086567,Троллейбус №32 - ДС Малиновка-4 - ст.м. Петровщина,,
relation,954670,Троллейбус №39 - ДС Юго-Запад - Саперов,,
relation,1757519,Троллейбус №3к,,
relation,1757520,Троллейбус №4,,
relation,7917683,"Троллейбус №4 ""Вокзал-Завод литья и нормалей""",,
relation,14864573,Троллейбус №4 - КСМ - Автовокзал,,
relation,9337390,Троллейбус №40 - ДС Карастояновой - ДС Юго-Запад,,
relation,8058776,Троллейбус №42 - ДС Уручье-4 - ДС Дражня,,
relation,8014374,Троллейбус №43эл - ДС Серова - ДС Дружная,,
