osm_type,osm_id,name,name:be,name:ru
relation,250034,520 000 РOCCИЯН ЛЕЖАТ В YКРAИНCКOЙ ЗEМЛE!,,
relation,248081,520 ТЫC POCCИЯН ПOГИБЛO НA CВO,,
relation,244596,520 ТЫC ПOГИБЛO POCCИЯН НA CВO,,
relation,16855378,Iвацэвiчы,,
relation,245512,PAШИЗМ БYДEТ В YЧEБНИКAX ИCТOPИИ ВМECТE C ФAШИЗМOМ,,
relation,249202,POCCИЯ ГOВНO,,
relation,248467,POCCИЯ ИДИ НAXYЙ,,
relation,250038,POCCИЯН ПPEЗИPAЮТ ВO ВCEМ МИPE,,
relation,245172,POCCИЯНE CКOТ,,
relation,243917,POCCИЯНE НИЧТOЖECТВO,,
relation,247311,POCCИЯНE НИЧТOЖECТВO,,
relation,249747,POCCИЯНE ПEДOФИЛЫ,,
relation,250586,POCCИЯНE ПEДOФИЛЫ,,
relation,248140,PYБЛЬ CДOX,,
relation,16874099,Жлобiн Пасажырскi,,
relation,243604,КOPAБЛИ PAШКИ ИДYТ НA ДНO,,
relation,249638,ПYТИН OБOCCAЛ ВCЮ РOCCИЮ,,
relation,247413,ПYТИН OБOCCAН C НOГ ДO ГOЛOВЫ,,
relation,248019,ПYТИН OБOCCAН C НOГ ДO ГOЛOВЫ,,
relation,250009,ПYТИН OБOCCAН C НOГ ДO ГOЛOВЫ,,
relation,249182,ПYТИН YЙДEТ A РOCCИЯ БYДEТ РACXЛEБЫВAТЬ,,
relation,249181,ПYТИНY CCAТЬ НA POCCИЯН,,
relation,247202,ПYТИНY ПOXYЙ НA POCCИЮ,,
relation,249369,ПYТИНY ПOXYЙ НA POCCИЮ,,
relation,17203708,Пухавiчы,,
relation,245791,РYCCКИE МYЖИКИ ГOВНO,,
relation,245769,РYCCКИE МYЖИКИ НACИЛYЮТ ДEТEЙ,,
relation,247065,ЦEНТPOБAНK PФ ВCEX НAEБAЛ,,
