osm_type,osm_id,name,name:be,name:ru
relation,12347827,Batoro traktas / тракт Батория,тракт Баторыя,тракт Батория
relation,12346115,Juodasis kelias / Чорны тракт,Чорны тракт,Чёрный тракт
relation,7478499,Kena - Молодечно,Кена Паненская - Молодечно,Кяна - Молодечно
relation,12430846,Napoleono traktas / Наполеоновский тракт,Напалеонаўскі тракт,Наполеоновский тракт
relation,8041234,Автобус № 43: Вокзал -Большевик,Аўтобус № 43: Вакзал – Бальшавік,Автобус № 43: Вокзал – Большевик
relation,7930174,Автобус № 940: Гомель => Санкт-Петербург,Аўтобус Гомель => Санкт-Пецярбург,Автобус Гомель => Санкт-Петербург
relation,2122886,Автобус №16: Вишневец — улица Белые Росы,Аўтобус №16: Вішнявец — вуліца Белыя Росы,Автобус № 16: Вишневец — улица Белые Росы
relation,9325776,Автобус №19 - ДС Карастаянавай - Сляпянка,Аўтобус №19 - ДС Карастаянавай - Сляпянка,Автобус №19 - ДС Карастояновой - Слепянка
relation,2884623,Автобус №5: Райсельхозтехника — Лапенки,Аўтобус №5: Райсельгастэхніка — Лапенкі,Автобус № 5: Райсельхозтехника — Лапенки
relation,2884624,Автобус №6: Больница № 3 — улица Репина,Аўтобус №6: Бальніца №3 — вуліца Рэпіна,Автобус № 6: Больница № 3 — улица Репина
relation,2884625,Автобус №7: КСМ — Вишневец,Аўтобус №7: КБМ — Вішнявец,Автобус № 7: КСМ — Вишневец
relation,12981785,Гомель - Чернігів,Гомель — Чарнігаў,Гомель - Чернигов
relation,1467415,ДС Уручье-2 - ст. Колодищи,ДС Уручча-2 - ст. Калодзішчы,А343 ДС Уручье-2 - ст. Колодищи
relation,8214264,Дружба,Нафтаправод Дружба,Дружба нефтепровод
relation,1642853,Друя - Варапаева,Друя-Варапаева,Друя-Воропаево
relation,7505408,Ковель - Хотислав,Ковель - Хаціслаў,Ковель — Хотислав
relation,2904176,Маршрутное такси №35: Фолюш — Облпсихдиспансер,Маршрутнае таксі №35: Фолюш — Аблпсіхдыспансер,Маршрутное такси № 35: Фолюш — Облпсихдиспансер
relation,14395015,Некрашуны – Рытань – Литвяны до автомобильной дороги Н-6214 Ворона – Быстрица – Петраполь – Жарнели,Некрашуны – Рытань – Литвяны до автомобильной дороги Н-6214 Варона – Быстрыца – Петраполь – Жарнэлі,Некрашуны – Рытань – Літвяны да аўтамабільнай дарогі Н-6214 Ворона – Быстрица – Петраполь – Жарнели
relation,12476762,Памежная паласа - Border line,Памежная паласа,Пограничная полоса
relation,2315832,Подъезд к хутору Кутишки от автомобильной дороги Н-6904 Кемелишки — Жусины — Гваздикяны,Пад'езд да хутара Куцішкі ад аўтамабільнай дарогі Н-6904 Кемелишки – Жусины – Гваздикяны,Подъезд к хутору Кутишки от автомобильной дороги Н-6904 Кемелішкі — Жусіны — Гваздзікяны
relation,2318315,Слободка — Трокеники-1,Слободка – Трокеники-1,Слабодка — Трокенікі-1
relation,75961,Трамвай №11 - ДС Зелёный Луг - пр-т Независимости,Трамвай №11 - ДC Зялёны Луг - пр-т Незалежнасці,Трамвай №11 - ДC Зелёный Луг - пр-т Независимости
relation,2270171,"Троллейбус № 1: ""Гидропривод-Вокзал""",Тралейбус № 1: Гідрапрывод → Вакзал,Троллейбус № 1: Гидропривод → Вокзал
relation,2373293,Троллейбус №10: Фолюш — Девятовка,Тралейбус №10: Фолюш — Дзевятоўка,Троллейбус № 10: Фолюш — Девятовка
relation,2904295,Троллейбус №1: Азот — Фолюш,Тралейбус №1: Азот — Фолюш,Троллейбус № 1: Азот — Фолюш
relation,10537900,Троллейбус №23: Грандичи-3 — улица Одельская,Тралейбус №23: 	Грандзічы-3 — вуліца Адэльская,Троллейбус № 23: Грандичи-3 – Улица Одельская
relation,12981784,Чернігів - Овруч,Чарнігаў – Оўруч,Чернигов - Овруч
relation,13366053,Шляхам Тызангаўза - Szlakiem Tyzenhauza,Шляхам Тызангаўза,Шляхом Тызенгауза
