osm_type,osm_id,name,name:be,name:ru
relation,11019329,Автобус №108б,,
relation,11019338,Автобус №108п,,
relation,8752490,Автобус №109,,
relation,954637,Автобус №110 - АС Автозаводская - Сосны,,
relation,954595,Автобус №110а - АС Автозаводская - Сосны,,
relation,11019334,Автобус №117д,,
relation,11019332,Автобус №119с,,
relation,11019337,Автобус №120д,,
relation,11019333,Автобус №129,,
relation,11019330,Автобус №133,,
relation,11019336,Автобус №141а,,
relation,11019331,Автобус №141б,,
relation,9073303,Автобус №151э,,
relation,954596,Автобус №154,,
relation,8865267,Автобус №160,,
relation,8865264,Автобус №160а,,
relation,8865250,Автобус №161,,
relation,8865246,Автобус №161а,,
relation,8865239,Автобус №161с,,
relation,8862270,Автобус №168,,
relation,8862265,Автобус №168а,,
relation,954631,Автобус №172э,,
relation,8904874,Автобус №175э,,
relation,11019335,Автобус №181с,,
relation,8860865,Автобус №181э,,
relation,8860859,Автобус №183с,,
relation,8860836,Автобус №186,,
relation,8842986,Автобус №190э,,
relation,8847891,Автобус №199с,,
relation,11016174,Автобус №38т,,
relation,954684,Автобус №52,,
relation,9015471,Автобус №5д,,
relation,9404929,Автобус №63д - ДС Уручье-2 - Фогеля (Малыш),,
relation,9048960,Автобус №71,,
relation,9404650,Автобус №76э - ДС Ангарская-4 - ТЦ Ждановичи,,
relation,9336027,Автобус №947,,
