osm_type,osm_id,name,name:be,name:ru
node,11833048617,Дом молитвы христиан Веры Евангельской,,
node,12188958185,Капліца,,
way,1317081544,Капліца,,
node,12188971406,Капліца пач. XX ст.,,
way,1297281752,Келья им. Николая Чудотворца,,
way,1246133631,Костёл Пресвятого Сердца Иисуса Христа,,
way,897106204,Купель,,
way,1275046548,Купель,,
node,11919892728,Лечебная Сосна,,
node,11805456762,Придорожная часовня,,
way,260130806,Приход храма Святого мученика Иоанна Воина,,
way,301640334,Река жизни,,
node,12189539231,Руіны капліцы (унутры крыж).,,
node,12180410602,Фундамент костела,,
way,236060293,Храм Богоявления Господня,,
way,417593050,Храм Святителя Николая Чудотворца,,
way,421327265,Храм Святого апостола Иоанна Богослова,,
way,810163111,Храм апостола Фомы,,
node,12063910878,Храм в честь преподобной Евфросинии Полоцкой,,
way,1231397888,Храм иконы Божией Матери «Знамение»,,
way,1031595175,Храм св. Валентины Минской,,
way,1240845739,Храма Святого мученика Иоанна Воина,,
node,8324664526,Царква,,
node,12189605827,Царква,,
way,666315700,Царква Св. Серафіма Сароўскага,,
node,12000968070,Церковь,,
way,443138755,Церковь Владимирской иконы Божией Матери,,
node,306062102,Церковь Господа Иисуса Христа,,
way,775698006,"Церковь ЕХБ ""Надежда""",,
way,644805151,Церковь евангелистов,,
way,651075745,Часовня,,
node,11805456730,Часовня Георгия Победоносца,,
