osm_type,osm_id,name,name:be,name:ru
way,380720106,Баптистская церковь,,Баптистская церковь
node,5718051305,Божий следок,,Божий следок
node,4352970764,Братская могила д.Сухая миля (сожжена),,Братская могила д.Сухая миля (сожжена)
node,3640353126,Братская могила солдат 1-й мировой войны,,Братская могила солдат 1-й мировой войны
way,122115449,"Дом молитвы церкви ХВЕ ""Благодать""",,"Дом молитвы церкви ХВЕ ""Благодать"""
way,420561225,Зов Христа,,Зов Христа
node,5688069021,Камень-следовик,,Камень-следовик
way,462760855,Капличка,,Капличка
way,499577478,Колокольня 18в,,Колокольня 18в
way,367299480,Костел св. Иоанна Крестителя,,Костел св. Иоанна Крестителя
way,254878379,Костел св. Михаила Архангела,,Костел св. Михаила Архангела
way,334669704,Костёл Матери Божьей Фатимской,,Костёл Матери Божьей Фатимской
way,429245677,Костёл Спасения Святого Духа,,Костёл Спасения Святого Духа
way,237085502,Костёл святого Алексея 1907г,,Костёл святого Алексея 1907г
way,377376146,Костёл святого Максимилиана (1998),,Костёл святого Максимилиана (1998)
way,373990241,Костёл святого Михаила Архангела (1999),,Костёл святого Михаила Архангела (1999)
way,377430838,Костёл святых апостолов Петра и Павла (1991),,Костёл святых апостолов Петра и Павла (1991)
node,3787573028,Крест на месте Костёла,,Крест на месте Костёла
way,755869989,Кресто-Воздвиженский храм,,Кресто-Воздвиженский храм
way,412977908,Купель Логойской иконы Божией Матери,,Купель Логойской иконы Божией Матери
node,5718051268,Место костела,,Место костела
node,5656687622,Место старой протестантской церкви,,Место старой протестантской церкви
way,454998358,Мечеть,,Мечеть
way,40389153,Молитвенный дом ВСЕХБ,,Молитвенный дом ВСЕХБ
way,41773773,Молитвенный дом ВСЕХБ,,Молитвенный дом ВСЕХБ
way,840857180,Община Новая Враджамандала,,Община Новая Враджамандала
way,626668232,"Памятник жителям д. Городок, погибшим от нацистских захватчиков",,"Памятник жителям д. Городок, погибшим от нацистских захватчиков"
way,991573259,"Площадь ""Памяти"" и ""Вечный огонь"" в честь каждого четвёртого погибшего беларуса во время ВОВ 1941 - 1945 гг.",,"Площадь ""Памяти"" и ""Вечный огонь"" в честь каждого четвёртого погибшего беларуса во время ВОВ 1941 - 1945 гг."
way,597286935,Покровская церковь,,Покровская церковь
node,4603492002,Православный храм,,Православный храм
node,5618336822,Православный храм святителя Николая Чудотворца,,Православный храм святителя Николая Чудотворца
node,3836440858,Придорожный крест,,Придорожный крест
way,62044547,Приход свт. Николая Чудотворца,,Приход свт. Николая Чудотворца
node,5941129628,Приход храма великомученика Георгия Победоносца,,Приход храма великомученика Георгия Победоносца
node,6813662385,"РО ХВЕ ""Церковь Благодать Иисуса""",,"РО ХВЕ ""Церковь Благодать Иисуса"""
node,6979623388,Римско-католический приход «Святой Анны»,,Римско-католический приход «Святой Анны»
node,4349743265,Санктуарий,,Санктуарий
way,437477611,Св. Георгия Победоносца,,Св. Георгия Победоносца
way,454998800,Свет народам,,Свет народам
way,196969235,Свято-Георгиевская Церковь,,Свято-Георгиевская Церковь
way,238959224,Свято-Николаевская церковь,,Свято-Николаевская церковь
way,370698275,Свято-Николаевская церковь,,Свято-Николаевская церковь
way,221336666,Свято-Никольская церковь,,Свято-Никольская церковь
way,215601102,Свято-Покровский храм,,Свято-Покровский храм
node,7900043878,Слово веры,,Слово веры
way,669357791,Храм  воздвижения Креста Господня,,Храм  воздвижения Креста Господня
node,9127869324,Храм (нижний) мученика Трифона,,Храм (нижний) мученика Трифона
way,377344109,Храм Архангела Михаила (2006),,Храм Архангела Михаила (2006)
way,290903356,Храм Воздвижения Креста Господня (2010),,Храм Воздвижения Креста Господня (2010)
way,688036088,Храм Воздвижения Честного и Животворящего Креста Господня,,Храм Воздвижения Честного и Животворящего Креста Господня
way,343964137,Храм Всех святых (2003),,Храм Всех святых (2003)
way,452934077,Храм Георгия Победоносца,,Храм Георгия Победоносца
way,478989720,Храм Дмитрия Донского,,Храм Дмитрия Донского
way,156482966,Храм Иосифа Обручника,,Храм Иосифа Обручника
way,238971861,Храм Матери Божьей Фатимской,,Храм Матери Божьей Фатимской
way,201574810,Храм Минской иконы Божией Матери,,Храм Минской иконы Божией Матери
way,373912213,Храм Покрова Пресвятой Богородицы (1997),,Храм Покрова Пресвятой Богородицы (1997)
way,378358324,Храм Покрова Пресвятой Богородицы (2005),,Храм Покрова Пресвятой Богородицы (2005)
way,378439710,Храм Покрова Пресвятой Богородицы (2007),,Храм Покрова Пресвятой Богородицы (2007)
way,382276212,Храм Преображения Господня (1998),,Храм Преображения Господня (1998)
way,180724900,Храм Преображения Господня (2004),,Храм Преображения Господня (2004)
way,1018907744,Храм Рождества Иоанна Предтечи,,Храм Рождества Иоанна Предтечи
way,375713538,Храм Рождества Иоанна Предтечи (1996),,Храм Рождества Иоанна Предтечи (1996)
way,111434746,Храм Рождества Пресвятой Богородицы (2000),,Храм Рождества Пресвятой Богородицы (2000)
way,237082829,Храм Рождества Пресвятой Богородицы (2008),,Храм Рождества Пресвятой Богородицы (2008)
way,238903457,Храм Рождества Христова (2002),,Храм Рождества Христова (2002)
way,379089846,Храм Рождества Христова (2007),,Храм Рождества Христова (2007)
way,436571881,Храм Святителя Николая Чудотворца (1952),,Храм Святителя Николая Чудотворца (1952)
way,532363807,Храм Святой Великомученицы Варвары,,Храм Святой Великомученицы Варвары
way,633264116,Храм Святой Троицы (1826г.),,Храм Святой Троицы (1826г.)
way,683679043,Храм Святой праведной Анны,,Храм Святой праведной Анны
way,128546755,Храм в честь Святой Троицы (1825),,Храм в честь Святой Троицы (1825)
way,586588407,Храм в честь Святой Троицы 1891г.,,Храм в честь Святой Троицы 1891г.
way,780947896,Храм в честь Собора Всех Белорусских Святых,,Храм в честь Собора Всех Белорусских Святых
way,519389681,Храм в честь Тихвинской иконы Богоматери (дерев.),,Храм в честь Тихвинской иконы Богоматери (дерев.)
way,375425848,Храм в честь иконы Божией Матери «Купятицкая»,,Храм в честь иконы Божией Матери «Купятицкая»
way,956594924,Храм в честь иконы Божией Матери «Млекопитательница»,,Храм в честь иконы Божией Матери «Млекопитательница»
way,376871098,Храм великомученика Георгия Победоносца (1955),,Храм великомученика Георгия Победоносца (1955)
way,292821236,Храм великомученика Димитрия Солунского (1850),,Храм великомученика Димитрия Солунского (1850)
way,487149019,Храм вмч.Параскевы Пятницы (1840г.),,Храм вмч.Параскевы Пятницы (1840г.)
node,4523490192,Храм во имя Иоанна Воина,,Храм во имя Иоанна Воина
way,522465795,Храм во имя Иоанна Воина,,Храм во имя Иоанна Воина
way,362554396,Храм во имя Свв. Космы и Дамиана 1875г.,,Храм во имя Свв. Космы и Дамиана 1875г.
node,9216164229,Храм во имя Свт. Николая Чудотворца 19в.,,Храм во имя Свт. Николая Чудотворца 19в.
way,37676272,Храм иконы Божией Матери «Утоли моя печали»,,Храм иконы Божией Матери «Утоли моя печали»
node,6782402689,Храм князя Владимира,,Храм князя Владимира
way,382276211,Храм крестильный святого Иоанна Предтечи,,Храм крестильный святого Иоанна Предтечи
node,6122121885,Храм преподобной Евфросинии Полоцкой,,Храм преподобной Евфросинии Полоцкой
way,237105287,Храм преподобной Евфросинии Полоцкой (2007),,Храм преподобной Евфросинии Полоцкой (2007)
way,382306335,Храм равноапостольных Мефодия и Кирилла (2000),,Храм равноапостольных Мефодия и Кирилла (2000)
way,286174055,Храм свв. Праотец,,Храм свв. Праотец
way,524459661,Храм святителя Николая Чудотворца,,Храм святителя Николая Чудотворца
way,39490003,Храм святителя Николая Чудотворца (1990),,Храм святителя Николая Чудотворца (1990)
way,382062762,Храм святителя Николая Чудотворца (1995),,Храм святителя Николая Чудотворца (1995)
way,382328095,Храм святителя Николая Чудотворца (2006),,Храм святителя Николая Чудотворца (2006)
way,263218164,Храм святителя Феодосия Черниговского,,Храм святителя Феодосия Черниговского
way,375384061,Храм святого Георгия,,Храм святого Георгия
way,382252878,Храм святого Иоанна Предтечи,,Храм святого Иоанна Предтечи
way,678482938,Храм святой блаженной Матроны Московской,,Храм святой блаженной Матроны Московской
way,375604045,Храм святых бессребреников Космы и Дамиана,,Храм святых бессребреников Космы и Дамиана
way,363811104,Храм христиан веры евангельской Новая Жизнь,,Храм христиан веры евангельской Новая Жизнь
way,48186791,ЦЕРКОВЬ ХВЕ,,ЦЕРКОВЬ ХВЕ
way,133978579,"Церковь ""Благодать""",,"Церковь ""Благодать"""
way,32680378,Церковь Баптистов,,Церковь Баптистов
way,477955327,"Церковь Богоматери ""Избавительницы""",,"Церковь Богоматери ""Избавительницы"""
way,301595656,Церковь Божьих даров,,Церковь Божьих даров
node,4598463690,"Церковь ЕХБ ""Свет жизни""",,"Церковь ЕХБ ""Свет жизни"""
way,376357244,Церковь Иисуса Христа,,Церковь Иисуса Христа
way,301595571,"Церковь РО ХПЕ ""Свет миру""",,"Церковь РО ХПЕ ""Свет миру"""
