osm_type,osm_id,name,name:be,name:ru
way,932095325,Звонница,,Звонница
way,808938011,Каплица Непорочного Сердца Девы Марии,,Каплица Непорочного Сердца Девы Марии
way,975359482,Каплица Святой Параскевы Пятницы,,Каплица Святой Параскевы Пятницы
way,381064602,Крестильня-колокольня (1995),,Крестильня-колокольня (1995)
way,456217359,"Купель ""На крестах""",,"Купель ""На крестах"""
way,688229302,Купель Ксении Петербургской,,Купель Ксении Петербургской
way,396611510,Купель целителя Пантелеймона,,Купель целителя Пантелеймона
way,401564960,Купель-часовня Покрова Божьей Матери,,Купель-часовня Покрова Божьей Матери
way,327110487,Приписная часовня прихода храма Святой Живоначальной Троицы,,Приписная часовня прихода храма Святой Живоначальной Троицы
way,381315599,Храм Воздвижения Креста Господня (1782),,Храм Воздвижения Креста Господня (1782)
way,353080136,Храм Явления Божией Матери,,Храм Явления Божией Матери
way,380600399,Храм-часовня пророка Илии,,Храм-часовня пророка Илии
way,396926305,Часовня Богоявленская,,Часовня Богоявленская
way,785657277,Часовня Воздвижения Животворящего Креста,,Часовня Воздвижения Животворящего Креста
way,290649598,Часовня Воздвижения Креста Господня (2002),,Часовня Воздвижения Креста Господня (2002)
way,688229301,Часовня Иоанна Крестителя,,Часовня Иоанна Крестителя
way,371350295,Часовня Мартина Туровского,,Часовня Мартина Туровского
way,493218767,Часовня Параскевы Пятницы,,Часовня Параскевы Пятницы
way,515634627,Часовня Параскевы Пятницы,,Часовня Параскевы Пятницы
way,514983339,Часовня Святого Духа,,Часовня Святого Духа
way,363164165,Часовня Святого Пантелеймона,,Часовня Святого Пантелеймона
way,450235906,Часовня Святого Яна,,Часовня Святого Яна
way,1028676138,Часовня Святого пророка Илии,,Часовня Святого пророка Илии
way,649281206,Часовня Святого пророка Иоанна Предтечи,,Часовня Святого пророка Иоанна Предтечи
way,1052422016,Часовня Святого страстотерпца царевича Алексия,,Часовня Святого страстотерпца царевича Алексия
way,407749118,Часовня Сергия Радонежского,,Часовня Сергия Радонежского
way,332154017,Часовня Сошествия Святого Духа,,Часовня Сошествия Святого Духа
way,406159074,Часовня Спаса Нерукотворного Образа,,Часовня Спаса Нерукотворного Образа
way,649225431,Часовня Успения Божьей Матери,,Часовня Успения Божьей Матери
way,381453340,Часовня благоверного князя Александра Невского (19в.),,Часовня благоверного князя Александра Невского (19в.)
way,953567206,Часовня блаженной Валентины,,Часовня блаженной Валентины
way,543386720,Часовня в честь иконы Казанской Божьей Матери,,Часовня в честь иконы Казанской Божьей Матери
way,458480477,Часовня в честь святой Семьи,,Часовня в честь святой Семьи
way,976487667,"Часовня в честь святых мучеников Гурия, Самона и Авива",,"Часовня в честь святых мучеников Гурия, Самона и Авива"
way,378615813,Часовня и купель,,Часовня и купель
way,249675092,Часовня иконы Божией Матери «Неупиваемая Чаша» (2006),,Часовня иконы Божией Матери «Неупиваемая Чаша» (2006)
way,380229797,Часовня кладбищенская (1857),,Часовня кладбищенская (1857)
way,380543550,Часовня кладбищенская Воскресения Христова,,Часовня кладбищенская Воскресения Христова
way,378351751,Часовня кладбищенская Рождества Пресвятой Богородицы,,Часовня кладбищенская Рождества Пресвятой Богородицы
way,379071886,Часовня кладбищенская благоверных князей Бориса и Глеба,,Часовня кладбищенская благоверных князей Бориса и Глеба
way,380651310,Часовня кладбищенская праведного Лазаря,,Часовня кладбищенская праведного Лазаря
way,397461448,Часовня княгини Ольги (2008),,Часовня княгини Ольги (2008)
way,465419273,Часовня мученика Валериана Новицкого,,Часовня мученика Валериана Новицкого
way,685964991,Часовня на месте дома священника,,Часовня на месте дома священника
way,798117777,Часовня правосл. св. Николая (дерев.),,Часовня правосл. св. Николая (дерев.)
way,169886334,Часовня преп. Серафима Саровского,,Часовня преп. Серафима Саровского
way,380641734,Часовня придорожная (1899),,Часовня придорожная (1899)
way,380613889,Часовня придорожная (18в.),,Часовня придорожная (18в.)
way,379740091,Часовня придорожная (19в.),,Часовня придорожная (19в.)
way,376961570,Часовня придорожня,,Часовня придорожня
way,688229310,Часовня св.Георгия,,Часовня св.Георгия
way,548586797,Часовня святителя Николая Чудотворца,,Часовня святителя Николая Чудотворца
way,1069013475,Часовня святителя Николая Чудотворца,,Часовня святителя Николая Чудотворца
way,946629844,Часовня святого Войцеха Адальберта,,Часовня святого Войцеха Адальберта
way,308746145,Часовня святого Пио (2004),,Часовня святого Пио (2004)
way,29141473,Часовня святого Роха,,Часовня святого Роха
way,1052330295,Часовня святых Петра и Февронии,,Часовня святых Петра и Февронии
way,1039866791,Часовня-колокольня Покрова Пресвятой Богородицы,,Часовня-колокольня Покрова Пресвятой Богородицы
way,229923515,Часовня-купель св. Параскевы Пятницы,,Часовня-купель св. Параскевы Пятницы
way,1069074261,Часовня-усыпальница Вендорффов 19в.,,Часовня-усыпальница Вендорффов 19в.
way,1069074262,Часовня-усыпальница Еленских 19в.,,Часовня-усыпальница Еленских 19в.
way,708615322,Часоня Святого Пантелеймона,,Часоня Святого Пантелеймона
way,494786319,храм Преображения Господня (Святого Спаса),,храм Преображения Господня (Святого Спаса)
way,634224500,часовня в честь русских солдат 1706 г.,,часовня в честь русских солдат 1706 г.
