osm_type,osm_id,name,name:be,name:ru
way,263717644,"""Церковь Делателей Господних"" ХВЕ",,"""Церковь Делателей Господних"" ХВЕ"
way,431573593,Водосвятная часовня,,Водосвятная часовня
way,122115449,"Дом молитвы церкви ХВЕ ""Благодать""",,"Дом молитвы церкви ХВЕ ""Благодать"""
way,29124937,Домовая церковь Святителя Николая Чудотворца,,Домовая церковь Святителя Николая Чудотворца
way,517409647,Домовая церковь преп. Амвросия Оптинского,,Домовая церковь преп. Амвросия Оптинского
way,192961951,Кастёл святого Станислава Костки,,Кастёл святого Станислава Костки
way,254878379,Костел св. Михаила Архангела,,Костел св. Михаила Архангела
relation,61787,Костёл Благовещения Пресвятой Девы Марии и монастырь бригиток,,Костёл Благовещения Пресвятой Девы Марии и монастырь бригиток
way,334669704,Костёл Матери Божьей Фатимской,,Костёл Матери Божьей Фатимской
way,237085502,Костёл святого Алексея 1907г,,Костёл святого Алексея 1907г
way,377376146,Костёл святого Максимилиана (1998),,Костёл святого Максимилиана (1998)
way,373990241,Костёл святого Михаила Архангела (1999),,Костёл святого Михаила Архангела (1999)
way,377430838,Костёл святых апостолов Петра и Павла (1991),,Костёл святых апостолов Петра и Павла (1991)
way,381567302,Малый храм в честь Введения во храм Пресвятой Богородицы (2013),,Малый храм в честь Введения во храм Пресвятой Богородицы (2013)
way,29148890,Надежда Церковь Евангельских Христиан Баптистов РО,,Надежда Церковь Евангельских Христиан Баптистов РО
way,412107599,Новоапостальская церковь,,Новоапостальская церковь
way,139281140,Приход храма преподобномученника Серафима архимандрита Жировицкого,,Приход храма преподобномученника Серафима архимандрита Жировицкого
way,437477611,Св. Георгия Победоносца,,Св. Георгия Победоносца
way,289516071,Свято Александра Невского Церковь,,Свято Александра Невского Церковь
way,345163526,Свято-Георгиевский храм,,Свято-Георгиевский храм
way,370698275,Свято-Николаевская церковь,,Свято-Николаевская церковь
way,221336666,Свято-Никольская церковь,,Свято-Никольская церковь
way,29125300,Свято-Ольгинская Церковь,,Свято-Ольгинская Церковь
way,287254771,Свято-Петро-Павловская православная церковь,,Свято-Петро-Павловская православная церковь
way,215601102,Свято-Покровский храм,,Свято-Покровский храм
way,68389809,Свято-Преображенская православная церковь,,Свято-Преображенская православная церковь
way,235266529,Собор Александра Невского,,Собор Александра Невского
way,669357791,Храм  воздвижения Креста Господня,,Храм  воздвижения Креста Господня
way,377344109,Храм Архангела Михаила (2006),,Храм Архангела Михаила (2006)
way,407222057,Храм Архангела Михаила (2009),,Храм Архангела Михаила (2009)
way,320972893,Храм Богоявления,,Храм Богоявления
way,549578171,Храм Воздвижения Креста Господня,,Храм Воздвижения Креста Господня
way,289504294,Храм Воздвижения Креста Господня (2009),,Храм Воздвижения Креста Господня (2009)
way,290903356,Храм Воздвижения Креста Господня (2010),,Храм Воздвижения Креста Господня (2010)
way,688036088,Храм Воздвижения Честного и Животворящего Креста Господня,,Храм Воздвижения Честного и Животворящего Креста Господня
way,297492213,Храм Вознесения Господня 1890г,,Храм Вознесения Господня 1890г
way,343964137,Храм Всех святых (2003),,Храм Всех святых (2003)
way,452934077,Храм Георгия Победоносца,,Храм Георгия Победоносца
way,896171835,Храм Георгия Победоносца,,Храм Георгия Победоносца
way,459216157,Храм Грузинской иконы Божией Матери,,Храм Грузинской иконы Божией Матери
way,478989720,Храм Дмитрия Донского,,Храм Дмитрия Донского
way,189687170,Храм Жировицкой иконы Божией Матери,,Храм Жировицкой иконы Божией Матери
way,293149186,Храм Иверской иконы Божией Матери,,Храм Иверской иконы Божией Матери
way,328907952,Храм Иверской иконы Божией Матери,,Храм Иверской иконы Божией Матери
way,121815399,Храм Иконы Божьей Матери,,Храм Иконы Божьей Матери
way,441472406,Храм Иоанна Предтечи,,Храм Иоанна Предтечи
way,316773456,Храм Манефы Гомельской,,Храм Манефы Гомельской
way,238971861,Храм Матери Божьей Фатимской,,Храм Матери Божьей Фатимской
way,201574810,Храм Минской иконы Божией Матери,,Храм Минской иконы Божией Матери
way,281829199,Храм Нерукотворного Образа Господня,,Храм Нерукотворного Образа Господня
way,338595840,Храм Новомучеников и исповедников земли Белорусской,,Храм Новомучеников и исповедников земли Белорусской
way,154218452,Храм Покрова Пресвятой Богородицы (1866),,Храм Покрова Пресвятой Богородицы (1866)
way,125084864,Храм Покрова Пресвятой Богородицы (1980),,Храм Покрова Пресвятой Богородицы (1980)
way,373912213,Храм Покрова Пресвятой Богородицы (1997),,Храм Покрова Пресвятой Богородицы (1997)
way,378358324,Храм Покрова Пресвятой Богородицы (2005),,Храм Покрова Пресвятой Богородицы (2005)
way,378439710,Храм Покрова Пресвятой Богородицы (2007),,Храм Покрова Пресвятой Богородицы (2007)
way,382276212,Храм Преображения Господня (1998),,Храм Преображения Господня (1998)
way,260417740,Храм Преображения Господня (2003),,Храм Преображения Господня (2003)
way,180724900,Храм Преображения Господня (2004),,Храм Преображения Господня (2004)
way,1018907744,Храм Рождества Иоанна Предтечи,,Храм Рождества Иоанна Предтечи
way,375713538,Храм Рождества Иоанна Предтечи (1996),,Храм Рождества Иоанна Предтечи (1996)
way,371246172,Храм Рождества Пресвятой Богородицы (1883),,Храм Рождества Пресвятой Богородицы (1883)
way,111434746,Храм Рождества Пресвятой Богородицы (2000),,Храм Рождества Пресвятой Богородицы (2000)
way,237082829,Храм Рождества Пресвятой Богородицы (2008),,Храм Рождества Пресвятой Богородицы (2008)
way,238903457,Храм Рождества Христова (2002),,Храм Рождества Христова (2002)
way,379089846,Храм Рождества Христова (2007),,Храм Рождества Христова (2007)
way,436571881,Храм Святителя Николая Чудотворца (1952),,Храм Святителя Николая Чудотворца (1952)
way,371463796,Храм Святителя Николая Чудотворца (1992),,Храм Святителя Николая Чудотворца (1992)
way,306109877,Храм Святого Александра Невского,,Храм Святого Александра Невского
way,571659930,Храм Святого Архангела Михаила,,Храм Святого Архангела Михаила
way,511150151,Храм Святого Архангела Михаила (1993г),,Храм Святого Архангела Михаила (1993г)
way,374245516,Храм Святого Духа (1911),,Храм Святого Духа (1911)
way,532363807,Храм Святой Великомученицы Варвары,,Храм Святой Великомученицы Варвары
way,239750679,Храм Святой Живоначальной Троицы (1909),,Храм Святой Живоначальной Троицы (1909)
way,239113574,Храм Святой Живоначальной Троицы 1780г,,Храм Святой Живоначальной Троицы 1780г
way,633264116,Храм Святой Троицы (1826г.),,Храм Святой Троицы (1826г.)
way,683679043,Храм Святой праведной Анны,,Храм Святой праведной Анны
way,242270953,Храм Сергия Радонежского,,Храм Сергия Радонежского
way,437155667,Храм Сергия Радонежского,,Храм Сергия Радонежского
way,201384853,Храм Собора Белорусских святых (1995),,Храм Собора Белорусских святых (1995)
way,316773685,Храм Тихвинской иконы Божией Матери,,Храм Тихвинской иконы Божией Матери
way,321089563,Храм Успения Пресвятой Богородицы 1642г,,Храм Успения Пресвятой Богородицы 1642г
way,554305006,Храм Чуда святого Архангела Михаила,,Храм Чуда святого Архангела Михаила
way,193209661,Храм в честь Воздвижения Креста Господня,,Храм в честь Воздвижения Креста Господня
way,461139347,Храм в честь Рождества Пресвятой Богородицы,,Храм в честь Рождества Пресвятой Богородицы
way,586588407,Храм в честь Святой Троицы 1891г.,,Храм в честь Святой Троицы 1891г.
way,519389681,Храм в честь Тихвинской иконы Богоматери (дерев.),,Храм в честь Тихвинской иконы Богоматери (дерев.)
way,334879715,Храм в честь Успения Пресвятой Богородицы 1927Г.,,Храм в честь Успения Пресвятой Богородицы 1927Г.
way,381785451,"Храм в честь иконы Божией Матери ""Споручница грешных""",,"Храм в честь иконы Божией Матери ""Споручница грешных"""
way,375425848,Храм в честь иконы Божией Матери «Купятицкая»,,Храм в честь иконы Божией Матери «Купятицкая»
way,956594924,Храм в честь иконы Божией Матери «Млекопитательница»,,Храм в честь иконы Божией Матери «Млекопитательница»
way,376871098,Храм великомученика Георгия Победоносца (1955),,Храм великомученика Георгия Победоносца (1955)
way,77874256,Храм великомученика Георгия Победоносца (2003),,Храм великомученика Георгия Победоносца (2003)
way,292821236,Храм великомученика Димитрия Солунского (1850),,Храм великомученика Димитрия Солунского (1850)
way,377439967,Храм великомученика и целителя Пантелеимона (1995),,Храм великомученика и целителя Пантелеимона (1995)
way,487149019,Храм вмч.Параскевы Пятницы (1840г.),,Храм вмч.Параскевы Пятницы (1840г.)
way,288273864,Храм во Имя Святых Апостолов Петра и Павла (1745),,Храм во Имя Святых Апостолов Петра и Павла (1745)
way,522465795,Храм во имя Иоанна Воина,,Храм во имя Иоанна Воина
way,266783670,Храм во имя Св. Архистратига Михаила,,Храм во имя Св. Архистратига Михаила
way,598032947,Храм во имя Св. Великомученика Георгия Победоносца 1863Г.,,Храм во имя Св. Великомученика Георгия Победоносца 1863Г.
way,363269263,Храм во имя Святителя Николая Чудотворца,,Храм во имя Святителя Николая Чудотворца
way,295199147,Храм во имя Святителя Николая Чудотворца 1801Г.,,Храм во имя Святителя Николая Чудотворца 1801Г.
way,803058406,Храм во имя преподобного Серафима Саровского,,Храм во имя преподобного Серафима Саровского
way,308956629,Храм во имя св. преподобной Марфы,,Храм во имя св. преподобной Марфы
way,645699560,"Храм иконы Божией Матери ""Скоропослушница""",,"Храм иконы Божией Матери ""Скоропослушница"""
way,374258635,Храм иконы Божией Матери «В скорбех и печалех Утешение» (2000),,Храм иконы Божией Матери «В скорбех и печалех Утешение» (2000)
way,318146350,Храм иконы Божией Матери «Взыскание погибших»,,Храм иконы Божией Матери «Взыскание погибших»
way,242407629,Храм иконы Божией Матери «Всех скорбящих Радость»,,Храм иконы Божией Матери «Всех скорбящих Радость»
way,381100128,Храм иконы Божией Матери «Живоносный Источник» (1994),,Храм иконы Божией Матери «Живоносный Источник» (1994)
way,37676272,Храм иконы Божией Матери «Утоли моя печали»,,Храм иконы Божией Матери «Утоли моя печали»
way,382276211,Храм крестильный святого Иоанна Предтечи,,Храм крестильный святого Иоанна Предтечи
way,377593101,Храм преподобного Елисея Лавришевского,,Храм преподобного Елисея Лавришевского
way,238676494,Храм преподобного Мартина Туровского,,Храм преподобного Мартина Туровского
way,244799315,Храм преподобного Никиты Исповедника,,Храм преподобного Никиты Исповедника
way,377632790,Храм преподобной Евфросинии Полоцкой,,Храм преподобной Евфросинии Полоцкой
way,237105287,Храм преподобной Евфросинии Полоцкой (2007),,Храм преподобной Евфросинии Полоцкой (2007)
way,381767494,Храм преподобномученика Афанасия Брестского (1933),,Храм преподобномученика Афанасия Брестского (1933)
way,381757376,Храм преподобномученика Серафима Жировицкого (2002),,Храм преподобномученика Серафима Жировицкого (2002)
way,281568698,Храм пророка Илии (2009),,Храм пророка Илии (2009)
way,336520567,Храм равноаостольной Марии Магдалины (1991),,Храм равноаостольной Марии Магдалины (1991)
way,382306335,Храм равноапостольных Мефодия и Кирилла (2000),,Храм равноапостольных Мефодия и Кирилла (2000)
way,286174055,Храм свв. Праотец,,Храм свв. Праотец
way,863102375,Храм святителя Василия Великого,,Храм святителя Василия Великого
way,757513851,Храм святителя Иоасафа Белгородского,,Храм святителя Иоасафа Белгородского
way,387066952,Храм святителя Луки Войно-Ясенецкого,,Храм святителя Луки Войно-Ясенецкого
way,362751603,Храм святителя Луки архиепископа Симферопольского и Крымского,,Храм святителя Луки архиепископа Симферопольского и Крымского
way,39490003,Храм святителя Николая Чудотворца (1990),,Храм святителя Николая Чудотворца (1990)
way,382062762,Храм святителя Николая Чудотворца (1995),,Храм святителя Николая Чудотворца (1995)
way,382328095,Храм святителя Николая Чудотворца (2006),,Храм святителя Николая Чудотворца (2006)
way,239338299,Храм святителя Феодосия Черниговского,,Храм святителя Феодосия Черниговского
way,263218164,Храм святителя Феодосия Черниговского,,Храм святителя Феодосия Черниговского
way,375384061,Храм святого Георгия,,Храм святого Георгия
way,382252878,Храм святого Иоанна Предтечи,,Храм святого Иоанна Предтечи
way,371246174,Храм святого Иоанна Предтечи (1812),,Храм святого Иоанна Предтечи (1812)
way,326061118,Храм святого великомученика Георгия Победоносца (2012),,Храм святого великомученика Георгия Победоносца (2012)
way,678482938,Храм святой блаженной Матроны Московской,,Храм святой блаженной Матроны Московской
way,239338427,Храм святой великомученицы Параскевы Пятницы,,Храм святой великомученицы Параскевы Пятницы
way,870272419,Храм святой преподобной Евфросинии Полоцкой (новый храм),,Храм святой преподобной Евфросинии Полоцкой (новый храм)
way,325020466,Храм святой преподобной Евфросинии Полоцкой (старый храм),,Храм святой преподобной Евфросинии Полоцкой (старый храм)
way,375604045,Храм святых бессребреников Космы и Дамиана,,Храм святых бессребреников Космы и Дамиана
way,363811104,Храм христиан веры евангельской Новая Жизнь,,Храм христиан веры евангельской Новая Жизнь
way,456199199,Храм целителя Пантелеймона,,Храм целителя Пантелеймона
way,263219089,Храма святителя Тихона Задонского,,Храма святителя Тихона Задонского
way,133978579,"Церковь ""Благодать""",,"Церковь ""Благодать"""
way,312588801,"Церковь ""Благодать""",,"Церковь ""Благодать"""
node,1577954014,Церковь (дерев.; руины),,Церковь (дерев.; руины)
way,477955327,"Церковь Богоматери ""Избавительницы""",,"Церковь Богоматери ""Избавительницы"""
way,301595656,Церковь Божьих даров,,Церковь Божьих даров
way,395942180,Церковь Дмитрия Солунского,,Церковь Дмитрия Солунского
way,315853458,Церковь Евангельских христиан-баптистов,,Церковь Евангельских христиан-баптистов
node,1576504066,Церковь Казанской иконы Богоматери (дерев.),,Церковь Казанской иконы Богоматери (дерев.)
node,306065392,Церковь Покровская 2004г,,Церковь Покровская 2004г
way,851518161,Церковь Покровская 2004г,,Церковь Покровская 2004г
way,987652753,Церковь Ризоположения Пресвятой Богородицы (дерев.),,Церковь Ризоположения Пресвятой Богородицы (дерев.)
way,291501139,Церковь Рождества Богородицы (2012),,Церковь Рождества Богородицы (2012)
node,306065469,Церковь Св. Михаила Архангела,,Церковь Св. Михаила Архангела
node,1576504602,Церковь Спасо-Преображенская (дерев.),,Церковь Спасо-Преображенская (дерев.)
way,204718310,Церковь Троицкая (дерев.),,Церковь Троицкая (дерев.)
way,102421242,Церковь ХВЕ,,Церковь ХВЕ
