osm_type,osm_id,name,name:be,name:ru
way,377102587,Братская могила семьи Габрусик,,
way,321458878,Гончарское кладбище,,
node,11833048617,Дом молитвы христиан Веры Евангельской,,
way,364563810,Западное кладбище,,
way,1277934931,Кладбище д.Красная Слобода,,
way,1274463903,Кладбище солдат 1-й мировой войны,,
way,1246133631,Костёл Пресвятого Сердца Иисуса Христа,,
way,897106204,Купель,,
way,1275046548,Купель,,
way,607780007,Могілкі (камяні),,
way,199834713,Молодежное кладбище,,
way,323243970,Оснежицкое кладбище,,
node,11891412785,Пинская и Лунинецкая епархия,,
node,11805456762,Придорожная часовня,,
way,260130806,Приход храма Святого мученика Иоанна Воина,,
way,380730713,Раснянскія могілкі,,
node,11891412784,Свято-Варваринский Пинский женский монастырь,,
way,1264970590,Территория храма Святителя Николая Чудотворца,,
way,417593050,Храм Святителя Николая Чудотворца,,
way,421327265,Храм Святого апостола Иоанна Богослова,,
way,1231397888,Храм иконы Божией Матери «Знамение»,,
way,1031595175,Храм св. Валентины Минской,,
way,1240845739,Храма Святого мученика Иоанна Воина,,
way,666315700,Царква Св. Серафіма Сароўскага,,
way,443138755,Церковь Владимирской иконы Божией Матери,,
way,775698006,"Церковь ЕХБ ""Надежда""",,
way,644805151,Церковь евангелистов,,
way,651075745,Часовня,,
node,11805456730,Часовня Георгия Победоносца,,
