osm_type,osm_id,name,name:be,name:ru
way,846950567,Воскресная школа,Нядзельная школа,Воскресная школа
node,11961763882,Детский лагерь,Дзіцячы лагер,Детский лагерь
node,3508968771,Лагерь «Acting Camp»,Лагер «Acting Camp»,Лагерь «Acting Camp»
node,6691138545,Лагерь «Acting Camp»,Лагер «Acting Camp»,Лагерь «Acting Camp»
node,12038483727,Лагерь «Лето в городе»,Лагер «Лета ў горадзе»,Лагерь «Лето в городе»
way,380722442,Руины Синагоги Главной (19в.),Сінагога (19ст.),Руины Синагоги Главной (19в.)
way,58877985,Свято-Рождество-Богородицкий женский монастырь,Свята-Раства-Багародзіцкі жаночы манастыр,Свято-Рождество-Богородицкий женский монастырь
way,1016993375,Храм святых апостолов Петра и Павла,Царква,Храм святых апостолов Петра и Павла
way,1272594352,Часовня в честь Георгия Победоносца и святителя Николая Чудотворца,Капліца ў гонар Георгія Пабеданосца ды свяціцеля Мікалая Цудатворца,Часовня в честь Георгия Победоносца и святителя Николая Чудотворца
way,1196519563,Часовня святого преподобного Сергия Радонежского,Капліца святога прападобнага Сергія Раданежскага,Часовня святого преподобного Сергия Радонежского
way,367998581,часовня,капліца,часовня
