osm_type,osm_id,name,name:be,name:ru
node,2766728158,Волна,Хваля,Огонёк
way,33174355,Дворец водного спорта,Палац воднага спорту,"Кафе ""Акватория"""
node,9207323314,Динозаврия,Дыназаўрыя,ДИНОЗАВРиЯ
node,1037385693,Клуб айкидо Mumonkan,Клуб айкідо Муманкан,Клуб айкидо Мумонкан
node,1037436513,Клуб айкидо Mumonkan,Клуб айкідо Муманкан,Клуб айкидо Мумонкан
node,8235591517,Конно,Конна,"Конно-спортивный клуб ""Believe"""
way,264320894,Минск-Арена,Мінск-Арэна,Минск Арена
way,292848094,Минск-Арена,Мінск-Арэна,Минск Арена
way,204117718,Парк Аллея героев,Алея герояў,Аллея героев
way,67858082,Тренажерные залы,Трэнажорныя залы,Элинги
