osm_type,osm_id,name,name:be,name:ru
way,150443417,"""Стадион"" Докшиц",,"""Стадион"" Докшиц"
way,461936286,10-я площадка,,10-я площадка
way,43111394,2-й корпус санатория,,2-й корпус санатория
node,4350751908,АДРЕНАЛИН,,АДРЕНАЛИН
way,98000282,"Автодром ""КГАТК""",,"Автодром ""КГАТК"""
way,225686684,Автодром Витебского учебно-курсового комбината,,Автодром Витебского учебно-курсового комбината
way,321801530,Автодром Московской РОС ДОСААФ,,Автодром Московской РОС ДОСААФ
node,5229048300,"Агроусадьба ""Бавария""",,"Агроусадьба ""Бавария"""
node,10100630422,"Агроусадьба ""Валерия""",,"Агроусадьба ""Валерия"""
node,5122802352,"Агроусадьба ""Ива""",,"Агроусадьба ""Ива"""
way,972123944,"Агроусадьба ""Контакузовка""",,"Агроусадьба ""Контакузовка"""
way,597832788,Агроусадьба «Новое городище»,,Агроусадьба «Новое городище»
node,2749305688,Адреналин,,Адреналин
node,3080143713,Адреналин,,Адреналин
node,4583705991,Адреналин,,Адреналин
node,6449009285,Адреналин,,Адреналин
node,9700639345,Адреналин,,Адреналин
node,2525748335,Айкидо,,Айкидо
node,2766728027,Актам,,Актам
way,245998239,Активный парк Мистерия,,Активный парк Мистерия
node,4574481789,Акула,,Акула
node,3233063753,Алиса Стар,,Алиса Стар
way,160424575,Альбатрос,,Альбатрос
way,729682223,Альком Тур,,Альком Тур
node,4724073075,Альтернативный двор,,Альтернативный двор
node,4511020695,Анатомия,,Анатомия
node,4743243223,Анокса,,Анокса
way,549595584,"Ансамбль ""Белые росы""",,"Ансамбль ""Белые росы"""
node,6139057030,Аполло,,Аполло
node,4883618721,Аргумент,,Аргумент
node,3933853619,Арт-центр «Крок»,,Арт-центр «Крок»
node,7669048385,АсТерра,,АсТерра
node,5949279587,Атлантик,,Атлантик
node,6431603052,Атлет,,Атлет
node,6164218587,Атлетизм и грация,,Атлетизм и грация
node,6164264185,Атлетизм и грация,,Атлетизм и грация
node,3103415829,Атлетический зал,,Атлетический зал
node,5155722629,Афина-Паллада,,Афина-Паллада
node,4350873792,Афродита,,Афродита
node,3298951409,"База отдыха ""Вторчермета""",,"База отдыха ""Вторчермета"""
way,603724322,"База отдыха ""Доманово""",,"База отдыха ""Доманово"""
way,542288928,"База отдыха ""Зеленый луг""",,"База отдыха ""Зеленый луг"""
way,542288929,"База отдыха ""Лесные дали""",,"База отдыха ""Лесные дали"""
way,263590718,"База отдыха ""Милоград""",,"База отдыха ""Милоград"""
node,3298951410,"База отдыха ""Облгаз""",,"База отдыха ""Облгаз"""
way,715536327,"База отдыха ""Озёрный рай""",,"База отдыха ""Озёрный рай"""
way,366839933,"База отдыха ""Табея""",,"База отдыха ""Табея"""
node,3298951411,"База отдыха ""Телеком""",,"База отдыха ""Телеком"""
way,595613522,База отдыха «Бережки»,,База отдыха «Бережки»
way,830837355,База отдыха Берёзка,,База отдыха Берёзка
node,3298951412,База отдыха колхоза,,База отдыха колхоза
node,5374459032,Базилион,,Базилион
node,4428696291,Базиллион,,Базиллион
way,288913547,"Банно-оздоровительный комплекс ""Вишневец""",,"Банно-оздоровительный комплекс ""Вишневец"""
node,278461297,"Банно-оздоровительный комплекс ""Сухарево""",,"Банно-оздоровительный комплекс ""Сухарево"""
way,190574782,"Банно-оздоровительный комплекс ""Шабаны""",,"Банно-оздоровительный комплекс ""Шабаны"""
way,213376079,Банный комплекс,,Банный комплекс
way,629944758,Банный комплекс,,Банный комплекс
node,4453222585,Банька,,Банька
node,4976759322,Банька в Песках,,Банька в Песках
way,676491659,Банька на выбор,,Банька на выбор
way,278276550,Баня,,Баня
way,587233802,Баня,,Баня
way,597678984,Баня,,Баня
node,3328055340,Баня (забр.),,Баня (забр.)
way,254387147,Баня Горького,,Баня Горького
way,278847031,Баня Конева,,Баня Конева
node,7643267318,Баня Лосева,,Баня Лосева
way,151590615,Баня ПМК,,Баня ПМК
way,239389281,Баня Тереховка,,Баня Тереховка
node,9656304300,Баня на Иссе,,Баня на Иссе
way,1092130404,Баня по-черному,,Баня по-черному
node,5713927621,Баня у Виктора Афанасьевича,,Баня у Виктора Афанасьевича
way,25324871,Баня № 3,,Баня № 3
node,762439330,Баня № 9,,Баня № 9
node,4485241389,Баня №1,,Баня №1
way,204548896,Баня №1,,Баня №1
way,25325206,Баня №12,,Баня №12
way,242265529,Баня №2,,Баня №2
way,204783491,Баня №4,,Баня №4
way,453006390,Баня №4,,Баня №4
way,181227451,Баня №6,,Баня №6
node,2644733907,Баня-сауна,,Баня-сауна
node,1107002074,"Бассейн ""Комсомолец""",,"Бассейн ""Комсомолец"""
way,87933176,"Бассейн ""СДЮШ олимпийского резерва""",,"Бассейн ""СДЮШ олимпийского резерва"""
node,2547430948,Бассейн БГУИР,,Бассейн БГУИР
node,5393830621,Баттерфляй,,Баттерфляй
node,6736020487,Батут,,Батут
node,5831557887,"Батутный центр ""Гравитация""",,"Батутный центр ""Гравитация"""
way,39949085,Беговая дорожка СШ№ 9,,Беговая дорожка СШ№ 9
node,2766728033,Белая тропа,,Белая тропа
node,3268846144,"Бильярд, Клапштос",,"Бильярд, Клапштос"
node,4998138523,Бицепс,,Бицепс
node,4359773993,Бодрость,,Бодрость
node,4309159112,Боулинг-клуб «Космик»,,Боулинг-клуб «Космик»
node,5239826091,Бумажник,,Бумажник
way,837634634,Бывшее здание бани,,Бывшее здание бани
way,968081917,"Бывший ""Сосновый бор""",,"Бывший ""Сосновый бор"""
node,5198189156,Бэби-Клаб,,Бэби-Клаб
node,9950901050,В гостях у водяного,,В гостях у водяного
way,617774423,ВИП зона Балтика18+,,ВИП зона Балтика18+
