osm_type,osm_id,name,name:be,name:ru
node,12960254597,Актёрский лагерь,Лагер «Acting Camp»,Актёрский лагерь
node,11961763882,Детский лагерь,Дзіцячы лагер,Детский лагерь
node,3508968771,Лагерь «Acting Camp»,Лагер «Acting Camp»,Лагерь «Acting Camp»
node,12038483727,Лагерь «Лето в городе»,Лагер «Лета ў горадзе»,Лагерь «Лето в городе»
way,683898798,Налибокская пуща,Налібоцкая пушча,Налибокская пуща
way,635387142,"Оздоровительный лагерь ""Беларусь""","Аздараўленчы лагер ""Беларусь""","Оздоровительный лагерь ""Беларусь"""
way,1094506096,Рассвет-Любань,Світанне-Любань,Рассвет-Любань
way,169589358,Санаторий «Радон»,Санаторый «Радон»,Санаторий «Радон»
node,8841826881,Санаторий Солнышко,Санаторый Сонейка,Санаторий Солнышко
node,2766722627,Санаторий Сосновый бор,Санаторый Сасновы бор,Санаторий Сосновый бор
node,2766722622,Случь,Случ,Случь
