osm_type,osm_id,name,name:be,name:ru
node,3102229849,"""Сфера"" боулинг",,
way,1090659560,F1-Картинг Минск,,
node,6013516554,Olympiс Gym&Fight,,
node,4528663825,Satori - школа йоги,,
node,8684180157,Vimpex Sport Магазин №2,,
node,1426982412,VimpexSport спорттовары,,
way,779171917,XCO Динамо,,
way,1041235343,XCO Динамо,,
node,8032528736,Американка,,
way,37047440,Бильярдная,,
node,1590396231,Бильярдный бар,,
node,2629133177,Бильярдный клуб «Фарт»,,
node,3704526800,Бильярдный клуб №1,,
node,9732840781,Будь в форме,,
node,5922170373,Вип денсер,,
node,8038938149,Водные братья,,
node,6419800203,Высшая Лига,,
node,7638022808,Гродненская специализированная детско-юношеская школа олимпийского резерва по теннису,,
node,7119105415,Гродненский аэроклуб,,
node,1376627775,ДЮСШ «Торпедо»,,
way,114823142,Картинг клуб «Вираж»,,
way,226847245,Квон,,
way,25319028,Манеж,,
way,510460135,Минский аэроклуб ДОСААФ,,
way,459047206,"Отделение троеборья ГС УСУ ""МО ЦОР по КС и СП""",,
way,416783378,Площадка страйкбола,,
way,693172954,Пневматический тир,,
node,5806552572,Спортивная школа плавания Swimming.by,,
node,5806597678,Спортивная школа плавания swimming.by,,
node,5806597680,Спортивная школа плавания swimming.by,,
node,5806597681,Спортивная школа плавания swimming.by,,
node,4329672567,Студия йоги YogaStudio.by,,
way,517306794,Учебный автодром,,
way,365852795,Учебный автодром Минского государственного автомеханического колледжа,,
way,449251351,Учебный автодром воинской части,,
node,1576058067,ФК Минск,,
node,8319722252,"ФСК ""Олимпик""-единоборства и фитнес",,
node,1417603517,"Фитнес для женщин ""FitCurves""",,
node,5305407191,Фитнес-клуб T-REX STUDIO,,
node,7463126865,"Центр обучения плаванию ""Penguin""",,
node,1958054793,Школа ирландского танца «Феникс»,,
way,492819592,Школьный тир,,
node,4815200623,Этаж Larry,,
node,306063112,Юла,,
node,306065971,Ямайка,,
way,966033377,тир,,
